Adair, Chuck Grassley, Republican, 78.1
Adams, Chuck Grassley, Republican, 74.4
Allamakee, Chuck Grassley, Republican, 73
Appanoose, Chuck Grassley, Republican, 68.9
Audubon, Chuck Grassley, Republican, 70.8
Benton, Chuck Grassley, Republican, 71.2
Black Hawk, Chuck Grassley, Republican, 65.4
Boone, Chuck Grassley, Republican, 66.3
Bremer, Chuck Grassley, Republican, 77.6
Buchanan, Chuck Grassley, Republican, 71.5
Buena Vista, Chuck Grassley, Republican, 76.3
Butler, Chuck Grassley, Republican, 80.1
Calhoun, Chuck Grassley, Republican, 77.2
Carroll, Chuck Grassley, Republican, 73.9
Cass, Chuck Grassley, Republican, 78.9
Cedar, Chuck Grassley, Republican, 69.5
Cerro Gordo, Chuck Grassley, Republican, 67.9
Cherokee, Chuck Grassley, Republican, 75.3
Chickasaw, Chuck Grassley, Republican, 77.6
Clarke, Chuck Grassley, Republican, 69.5
Clay, Chuck Grassley, Republican, 73.9
Clayton, Chuck Grassley, Republican, 73.6
Clinton, Chuck Grassley, Republican, 62.6
Crawford, Chuck Grassley, Republican, 76.1
Dallas, Chuck Grassley, Republican, 69.3
Davis, Chuck Grassley, Republican, 69.2
Decatur, Chuck Grassley, Republican, 74.6
Delaware, Chuck Grassley, Republican, 76.3
Des Moines, Chuck Grassley, Republican, 52.1
Dickinson, Chuck Grassley, Republican, 70.8
Dubuque, Chuck Grassley, Republican, 63
Emmet, Chuck Grassley, Republican, 66.6
Fayette, Chuck Grassley, Republican, 73.8
Floyd, Chuck Grassley, Republican, 75
Franklin, Chuck Grassley, Republican, 80.7
Fremont, Chuck Grassley, Republican, 74.6
Greene, Chuck Grassley, Republican, 71.7
Grundy, Chuck Grassley, Republican, 83.5
Guthrie, Chuck Grassley, Republican, 72.2
Hamilton, Chuck Grassley, Republican, 72.7
Hancock, Chuck Grassley, Republican, 77.8
Hardin, Chuck Grassley, Republican, 75.6
Harrison, Chuck Grassley, Republican, 72
Henry, Chuck Grassley, Republican, 70.5
Howard, Chuck Grassley, Republican, 74.5
Humboldt, Chuck Grassley, Republican, 80.1
Ida, Chuck Grassley, Republican, 81.4
Iowa, Chuck Grassley, Republican, 75.3
Jackson, Chuck Grassley, Republican, 68.5
Jasper, Chuck Grassley, Republican, 65.7
Jefferson, Chuck Grassley, Republican, 59
Johnson, Chuck Grassley, Republican, 53.3
Jones, Chuck Grassley, Republican, 73.6
Keokuk, Chuck Grassley, Republican, 75
Kossuth, Chuck Grassley, Republican, 73.3
Lee, Chuck Grassley, Republican, 50.1
Linn, Chuck Grassley, Republican, 64.5
Louisa, Chuck Grassley, Republican, 69
Lucas, Chuck Grassley, Republican, 74.1
Lyon, Chuck Grassley, Republican, 85
Madison, Chuck Grassley, Republican, 70.6
Mahaska, Chuck Grassley, Republican, 78.4
Marion, Chuck Grassley, Republican, 71.9
Marshall, Chuck Grassley, Republican, 69.1
Mills, Chuck Grassley, Republican, 77.2
Mitchell, Chuck Grassley, Republican, 74.8
Monona, Chuck Grassley, Republican, 72.2
Monroe, Chuck Grassley, Republican, 69.5
Montgomery, Chuck Grassley, Republican, 80.8
Muscatine, Chuck Grassley, Republican, 67.3
O'Brien, Chuck Grassley, Republican, 82.4
Osceola, Chuck Grassley, Republican, 82.5
Page, Chuck Grassley, Republican, 81.9
Palo Alto, Chuck Grassley, Republican, 67.6
Plymouth, Chuck Grassley, Republican, 81.2
Pocahontas, Chuck Grassley, Republican, 76
Polk, Chuck Grassley, Republican, 64.7
Pottawattamie, Chuck Grassley, Republican, 68.6
Poweshiek, Chuck Grassley, Republican, 67.6
Ringgold, Chuck Grassley, Republican, 77.1
Sac, Chuck Grassley, Republican, 79.5
Scott, Chuck Grassley, Republican, 66.2
Shelby, Chuck Grassley, Republican, 76.1
Sioux, Chuck Grassley, Republican, 90.9
Story, Chuck Grassley, Republican, 64.4
Tama, Chuck Grassley, Republican, 72.9
Taylor, Chuck Grassley, Republican, 75.4
Union, Chuck Grassley, Republican, 73.2
Van Buren, Chuck Grassley, Republican, 71.8
Wapello, Chuck Grassley, Republican, 60.1
Warren, Chuck Grassley, Republican, 66.7
Washington, Chuck Grassley, Republican, 72.9
Wayne, Chuck Grassley, Republican, 70.8
Webster, Chuck Grassley, Republican, 68
Winnebago, Chuck Grassley, Republican, 74.9
Winneshiek, Chuck Grassley, Republican, 73.5
Woodbury, Chuck Grassley, Republican, 68.5
Worth, Chuck Grassley, Republican, 72.6
Wright, Chuck Grassley, Republican, 73.5
