Abbeville, Ernest Hollings, Democrat, 59.1
Aiken, Bob Inglis, Republican, 56.1
Allendale, Ernest Hollings, Democrat, 79.8
Anderson, Bob Inglis, Republican, 52.6
Bamberg, Ernest Hollings, Democrat, 78.2
Barnwell, Ernest Hollings, Democrat, 63
Beaufort, Bob Inglis, Republican, 51.4
Berkeley, Ernest Hollings, Democrat, 54.5
Calhoun, Ernest Hollings, Democrat, 61.2
Charleston, Ernest Hollings, Democrat, 60.2
Cherokee, Ernest Hollings, Democrat, 49.5
Chester, Ernest Hollings, Democrat, 64.1
Chesterfield, Ernest Hollings, Democrat, 64.5
Clarendon, Ernest Hollings, Democrat, 69.3
Colleton, Ernest Hollings, Democrat, 62.8
Darlington, Ernest Hollings, Democrat, 58.7
Dillon, Ernest Hollings, Democrat, 70.9
Dorchester, Ernest Hollings, Democrat, 50.9
Edgefield, Ernest Hollings, Democrat, 57.4
Fairfield, Ernest Hollings, Democrat, 71.8
Florence, Ernest Hollings, Democrat, 56
Georgetown, Ernest Hollings, Democrat, 58
Greenville, Bob Inglis, Republican, 59.8
Greenwood, Ernest Hollings, Democrat, 50.2
Hampton, Ernest Hollings, Democrat, 79.2
Horry, Bob Inglis, Republican, 48.7
Jasper, Ernest Hollings, Democrat, 74.1
Kershaw, Ernest Hollings, Democrat, 51.5
Lancaster, Ernest Hollings, Democrat, 58
Laurens, Ernest Hollings, Democrat, 53
Lee, Ernest Hollings, Democrat, 73.6
Lexington, Bob Inglis, Republican, 56.8
McCormick, Ernest Hollings, Democrat, 58.4
Marion, Ernest Hollings, Democrat, 72.3
Marlboro, Ernest Hollings, Democrat, 76.4
Newberry, Ernest Hollings, Democrat, 53.9
Oconee, Bob Inglis, Republican, 55.4
Orangeburg, Ernest Hollings, Democrat, 72
Pickens, Bob Inglis, Republican, 62
Richland, Ernest Hollings, Democrat, 62.7
Saluda, Ernest Hollings, Democrat, 56.8
Spartanburg, Bob Inglis, Republican, 54.1
Sumter, Ernest Hollings, Democrat, 59.1
Union, Ernest Hollings, Democrat, 53.7
Williamsburg, Ernest Hollings, Democrat, 74.2
York, Bob Inglis, Republican, 53.3
