Adair, Brad Henry, Democrat, 46.3
Alfalfa, Steve Largent, Republican, 47.2
Atoka, Brad Henry, Democrat, 63.6
Beaver, Steve Largent, Republican, 65.6
Beckham, Brad Henry, Democrat, 47.7
Blaine, Brad Henry, Democrat, 45.8
Bryan, Brad Henry, Democrat, 61.8
Caddo, Brad Henry, Democrat, 50.9
Canadian, Steve Largent, Republican, 50.5
Carter, Brad Henry, Democrat, 52.8
Cherokee, Brad Henry, Democrat, 51.2
Choctaw, Brad Henry, Democrat, 63.9
Cimarron, Steve Largent, Republican, 71
Cleveland, Steve Largent, Republican, 44.7
Coal, Brad Henry, Democrat, 66.5
Comanche, Steve Largent, Republican, 41.7
Cotton, Brad Henry, Democrat, 43.2
Craig, Brad Henry, Democrat, 49.9
Creek, Brad Henry, Democrat, 41.9
Custer, Steve Largent, Republican, 42.7
Delaware, Brad Henry, Democrat, 44.8
Dewey, Brad Henry, Democrat, 44.4
Ellis, Steve Largent, Republican, 45
Garfield, Steve Largent, Republican, 47.7
Garvin, Brad Henry, Democrat, 51
Grady, Brad Henry, Democrat, 43.7
Grant, Steve Largent, Republican, 44
Greer, Brad Henry, Democrat, 49.4
Harmon, Brad Henry, Democrat, 50.2
Harper, Steve Largent, Republican, 45.1
Haskell, Brad Henry, Democrat, 60
Hughes, Brad Henry, Democrat, 57.4
Jackson, Steve Largent, Republican, 50.1
Jefferson, Brad Henry, Democrat, 53.7
Johnston, Brad Henry, Democrat, 66.8
Kay, Steve Largent, Republican, 46.5
Kingfisher, Steve Largent, Republican, 49.5
Kiowa, Brad Henry, Democrat, 55.9
Latimer, Brad Henry, Democrat, 60.6
Le Flore, Brad Henry, Democrat, 58.3
Lincoln, Brad Henry, Democrat, 43.7
Logan, Steve Largent, Republican, 44.8
Love, Brad Henry, Democrat, 64.2
McClain, Steve Largent, Republican, 42.2
McCurtain, Brad Henry, Democrat, 60
McIntosh, Brad Henry, Democrat, 53.4
Major, Steve Largent, Republican, 53.3
Marshall, Brad Henry, Democrat, 63.1
Mayes, Brad Henry, Democrat, 51.8
Murray, Brad Henry, Democrat, 59.8
Muskogee, Brad Henry, Democrat, 48.7
Noble, Steve Largent, Republican, 41.8
Nowata, Brad Henry, Democrat, 46.8
Okfuskee, Brad Henry, Democrat, 55
Oklahoma, Steve Largent, Republican, 48.3
Okmulgee, Brad Henry, Democrat, 52.3
Osage, Brad Henry, Democrat, 49.3
Ottawa, Brad Henry, Democrat, 52
Pawnee, Brad Henry, Democrat, 45.3
Payne, Brad Henry, Democrat, 43.6
Pittsburg, Brad Henry, Democrat, 54.9
Pontotoc, Brad Henry, Democrat, 52.1
Pottawatomie, Brad Henry, Democrat, 55.1
Pushmataha, Brad Henry, Democrat, 61.9
Roger Mills, Steve Largent, Republican, 44.2
Rogers, Brad Henry, Democrat, 42.1
Seminole, Brad Henry, Democrat, 57.2
Sequoyah, Brad Henry, Democrat, 54.8
Stephens, Steve Largent, Republican, 44.1
Texas, Steve Largent, Republican, 65.3
Tillman, Brad Henry, Democrat, 47.9
Tulsa, Steve Largent, Republican, 48.2
Wagoner, Steve Largent, Republican, 40.9
Washington, Steve Largent, Republican, 50.6
Washita, Brad Henry, Democrat, 47.6
Woods, Brad Henry, Democrat, 46.5
Woodward, Steve Largent, Republican, 46.2
