Baker, Richard M Nixon, Republican, 55.32
Benton, Richard M Nixon, Republican, 56.34
Clackamas, Richard M Nixon, Republican, 53.49
Clatsop, George McGovern, Democrat, 47.58
Columbia, George McGovern, Democrat, 48.82
Coos, George McGovern, Democrat, 50.74
Crook, Richard M Nixon, Republican, 52.56
Curry, Richard M Nixon, Republican, 51.77
Deschutes, Richard M Nixon, Republican, 52.28
Douglas, Richard M Nixon, Republican, 57.73
Gilliam, Richard M Nixon, Republican, 62.21
Grant, Richard M Nixon, Republican, 60.35
Harney, Richard M Nixon, Republican, 59.13
Hood River, Richard M Nixon, Republican, 53.96
Jackson, Richard M Nixon, Republican, 57.75
Jefferson, Richard M Nixon, Republican, 56.38
Josephine, Richard M Nixon, Republican, 58.55
Klamath, Richard M Nixon, Republican, 58.93
Lake, Richard M Nixon, Republican, 61.03
Lane, Richard M Nixon, Republican, 48.62
Lincoln, Richard M Nixon, Republican, 51.56
Linn, Richard M Nixon, Republican, 54.21
Malheur, Richard M Nixon, Republican, 67.36
Marion, Richard M Nixon, Republican, 57.51
Morrow, Richard M Nixon, Republican, 52.77
Multnomah, George McGovern, Democrat, 49.6
Polk, Richard M Nixon, Republican, 57.56
Sherman, George McGovern, Democrat, 64.91
Tillamook, Richard M Nixon, Republican, 51.22
Umatilla, Richard M Nixon, Republican, 57.94
Union, Richard M Nixon, Republican, 56.46
Wallowa, Richard M Nixon, Republican, 62.28
Wasco, Richard M Nixon, Republican, 51.7
Washington, Richard M Nixon, Republican, 58.43
Wheeler, Richard M Nixon, Republican, 60.31
Yamhill, Richard M Nixon, Republican, 58.51
