Anderson, Richard M Nixon, Republican, 66.03
Bedford, Richard M Nixon, Republican, 59.73
Benton, Richard M Nixon, Republican, 61.83
Bledsoe, Richard M Nixon, Republican, 65.9
Blount, Richard M Nixon, Republican, 73.85
Bradley, Richard M Nixon, Republican, 77.26
Campbell, Richard M Nixon, Republican, 73.41
Cannon, Richard M Nixon, Republican, 62.38
Carroll, Richard M Nixon, Republican, 69.28
Carter, Richard M Nixon, Republican, 82.15
Cheatham, Richard M Nixon, Republican, 60.1
Chester, Richard M Nixon, Republican, 71.7
Claiborne, Richard M Nixon, Republican, 73.94
Clay, Richard M Nixon, Republican, 59.01
Cocke, Richard M Nixon, Republican, 85.62
Coffee, Richard M Nixon, Republican, 66.18
Crockett, Richard M Nixon, Republican, 75.4
Cumberland, Richard M Nixon, Republican, 73.78
Davidson, Richard M Nixon, Republican, 61.3
Decatur, Richard M Nixon, Republican, 64.79
DeKalb, Richard M Nixon, Republican, 60.66
Dickson, Richard M Nixon, Republican, 56.55
Dyer, Richard M Nixon, Republican, 75.94
Fayette, Richard M Nixon, Republican, 59.75
Fentress, Richard M Nixon, Republican, 75.5
Franklin, Richard M Nixon, Republican, 57.51
Gibson, Richard M Nixon, Republican, 71.05
Giles, Richard M Nixon, Republican, 57.69
Grainger, Richard M Nixon, Republican, 76.54
Greene, Richard M Nixon, Republican, 76.89
Grundy, Richard M Nixon, Republican, 54.49
Hamblen, Richard M Nixon, Republican, 76.39
Hamilton, Richard M Nixon, Republican, 70.62
Hancock, Richard M Nixon, Republican, 81.59
Hardeman, Richard M Nixon, Republican, 66
Hardin, Richard M Nixon, Republican, 76.29
Hawkins, Richard M Nixon, Republican, 72.31
Haywood, Richard M Nixon, Republican, 59.45
Henderson, Richard M Nixon, Republican, 77.64
Henry, Richard M Nixon, Republican, 60.61
Hickman, Richard M Nixon, Republican, 56.06
Houston, George McGovern, Democrat, 50.43
Humphreys, Richard M Nixon, Republican, 52.17
Jackson, George McGovern, Democrat, 52.19
Jefferson, Richard M Nixon, Republican, 80.26
Johnson, Richard M Nixon, Republican, 87.08
Knox, Richard M Nixon, Republican, 71.56
Lake, Richard M Nixon, Republican, 65.69
Lauderdale, Richard M Nixon, Republican, 64.4
Lawrence, Richard M Nixon, Republican, 67.9
Lewis, George McGovern, Democrat, 50.62
Lincoln, Richard M Nixon, Republican, 61.84
Loudon, Richard M Nixon, Republican, 75.12
Macon, Richard M Nixon, Republican, 75.67
Madison, Richard M Nixon, Republican, 72.31
Marion, Richard M Nixon, Republican, 63.56
Marshall, Richard M Nixon, Republican, 59.23
Maury, Richard M Nixon, Republican, 66.28
McMinn, Richard M Nixon, Republican, 70.56
McNairy, Richard M Nixon, Republican, 73.23
Meigs, Richard M Nixon, Republican, 64.34
Monroe, Richard M Nixon, Republican, 65.52
Montgomery, Richard M Nixon, Republican, 56.4
Moore, Richard M Nixon, Republican, 61.04
Morgan, Richard M Nixon, Republican, 69.59
Obion, Richard M Nixon, Republican, 70.36
Overton, Richard M Nixon, Republican, 54.17
Perry, George McGovern, Democrat, 50.08
Pickett, Richard M Nixon, Republican, 72.23
Polk, Richard M Nixon, Republican, 60.58
Putnam, Richard M Nixon, Republican, 60.39
Rhea, Richard M Nixon, Republican, 72.5
Roane, Richard M Nixon, Republican, 70.1
Robertson, Richard M Nixon, Republican, 56.43
Rutherford, Richard M Nixon, Republican, 64.12
Scott, Richard M Nixon, Republican, 79.24
Sequatchie, Richard M Nixon, Republican, 64.58
Sevier, Richard M Nixon, Republican, 86.38
Shelby, Richard M Nixon, Republican, 65.32
Smith, Richard M Nixon, Republican, 56.84
Stewart, George McGovern, Democrat, 56.74
Sullivan, Richard M Nixon, Republican, 71.64
Sumner, Richard M Nixon, Republican, 66.11
Tipton, Richard M Nixon, Republican, 71.52
Trousdale, Richard M Nixon, Republican, 53.9
Unicoi, Richard M Nixon, Republican, 81.35
Union, Richard M Nixon, Republican, 76.26
Van Buren, Richard M Nixon, Republican, 61.61
Warren, Richard M Nixon, Republican, 60.49
Washington, Richard M Nixon, Republican, 74.79
Wayne, Richard M Nixon, Republican, 79.79
Weakley, Richard M Nixon, Republican, 71.48
White, Richard M Nixon, Republican, 60.42
Williamson, Richard M Nixon, Republican, 71.53
Wilson, Richard M Nixon, Republican, 65.77
