Adams, Richard M Nixon, Republican, 67.16
Alcorn, Richard M Nixon, Republican, 83.28
Amite, Richard M Nixon, Republican, 68.94
Attala, Richard M Nixon, Republican, 79.5
Benton, Richard M Nixon, Republican, 66.35
Bolivar, Richard M Nixon, Republican, 66.12
Calhoun, Richard M Nixon, Republican, 90.37
Carroll, Richard M Nixon, Republican, 73.31
Chickasaw, Richard M Nixon, Republican, 84.66
Choctaw, Richard M Nixon, Republican, 86.57
Claiborne, George McGovern, Democrat, 57
Clarke, Richard M Nixon, Republican, 81.56
Clay, Richard M Nixon, Republican, 71.39
Coahoma, Richard M Nixon, Republican, 61.56
Copiah, Richard M Nixon, Republican, 73.11
Covington, Richard M Nixon, Republican, 84.09
DeSoto, Richard M Nixon, Republican, 80.88
Forrest, Richard M Nixon, Republican, 80.56
Franklin, Richard M Nixon, Republican, 78.73
George, Richard M Nixon, Republican, 92.9
Greene, Richard M Nixon, Republican, 83.52
Grenada, Richard M Nixon, Republican, 75.09
Hancock, Richard M Nixon, Republican, 86.28
Harrison, Richard M Nixon, Republican, 84.02
Hinds, Richard M Nixon, Republican, 77.82
Holmes, George McGovern, Democrat, 51.73
Humphreys, Richard M Nixon, Republican, 69.01
Issaquena, Richard M Nixon, Republican, 60.8
Itawamba, Richard M Nixon, Republican, 89.2
Jackson, Richard M Nixon, Republican, 88.68
Jasper, Richard M Nixon, Republican, 78.47
Jefferson, George McGovern, Democrat, 55.87
Jefferson Davis, Richard M Nixon, Republican, 72.83
Jones, Richard M Nixon, Republican, 83.79
Kemper, Richard M Nixon, Republican, 75.25
Lafayette, Richard M Nixon, Republican, 76.89
Lamar, Richard M Nixon, Republican, 88.38
Lauderdale, Richard M Nixon, Republican, 81.79
Lawrence, Richard M Nixon, Republican, 81.7
Leake, Richard M Nixon, Republican, 79.13
Lee, Richard M Nixon, Republican, 82.6
Leflore, Richard M Nixon, Republican, 75.58
Lincoln, Richard M Nixon, Republican, 86.01
Lowndes, Richard M Nixon, Republican, 78.7
Madison, Richard M Nixon, Republican, 57.2
Marion, Richard M Nixon, Republican, 79.4
Marshall, Richard M Nixon, Republican, 62.1
Monroe, Richard M Nixon, Republican, 84.1
Montgomery, Richard M Nixon, Republican, 76.32
Neshoba, Richard M Nixon, Republican, 88.22
Newton, Richard M Nixon, Republican, 88.05
Noxubee, Richard M Nixon, Republican, 66.28
Oktibbeha, Richard M Nixon, Republican, 75.56
Panola, Richard M Nixon, Republican, 70.61
Pearl River, Richard M Nixon, Republican, 88.04
Perry, Richard M Nixon, Republican, 84.14
Pike, Richard M Nixon, Republican, 72.08
Pontotoc, Richard M Nixon, Republican, 89.45
Prentiss, Richard M Nixon, Republican, 91.12
Quitman, Richard M Nixon, Republican, 74.41
Rankin, Richard M Nixon, Republican, 85.19
Scott, Richard M Nixon, Republican, 79.95
Sharkey, Richard M Nixon, Republican, 67.94
Simpson, Richard M Nixon, Republican, 85.87
Smith, Richard M Nixon, Republican, 92.35
Stone, Richard M Nixon, Republican, 88.49
Sunflower, Richard M Nixon, Republican, 73.27
Tallahatchie, Richard M Nixon, Republican, 77.37
Tate, Richard M Nixon, Republican, 75.74
Tippah, Richard M Nixon, Republican, 85.87
Tishomingo, Richard M Nixon, Republican, 89.23
Tunica, Richard M Nixon, Republican, 62.19
Union, Richard M Nixon, Republican, 87.91
Walthall, Richard M Nixon, Republican, 79.66
Warren, Richard M Nixon, Republican, 71.97
Washington, Richard M Nixon, Republican, 63.78
Wayne, Richard M Nixon, Republican, 82.08
Webster, Richard M Nixon, Republican, 89.15
Wilkinson, Richard M Nixon, Republican, 52.65
Winston, Richard M Nixon, Republican, 78.64
Yalobusha, Richard M Nixon, Republican, 77.53
Yazoo, Richard M Nixon, Republican, 72.58
