Autauga, Richard M Nixon, Republican, 75.17
Baldwin, Richard M Nixon, Republican, 82.2
Barbour, Richard M Nixon, Republican, 70.92
Bibb, Richard M Nixon, Republican, 78.44
Blount, Richard M Nixon, Republican, 79.36
Bullock, George McGovern, Democrat, 50.56
Butler, Richard M Nixon, Republican, 76.45
Calhoun, Richard M Nixon, Republican, 76.93
Chambers, Richard M Nixon, Republican, 79.21
Cherokee, Richard M Nixon, Republican, 71.89
Chilton, Richard M Nixon, Republican, 82.88
Choctaw, Richard M Nixon, Republican, 60.74
Clarke, Richard M Nixon, Republican, 70.89
Clay, Richard M Nixon, Republican, 88.24
Cleburne, Richard M Nixon, Republican, 85.2
Coffee, Richard M Nixon, Republican, 80.06
Colbert, Richard M Nixon, Republican, 67.71
Conecuh, Richard M Nixon, Republican, 74.81
Coosa, Richard M Nixon, Republican, 77.2
Covington, Richard M Nixon, Republican, 85.27
Crenshaw, Richard M Nixon, Republican, 72.87
Cullman, Richard M Nixon, Republican, 79.54
Dale, Richard M Nixon, Republican, 83.14
Dallas, Richard M Nixon, Republican, 60.53
DeKalb, Richard M Nixon, Republican, 71.27
Elmore, Richard M Nixon, Republican, 79.9
Escambia, Richard M Nixon, Republican, 82.19
Etowah, Richard M Nixon, Republican, 72.95
Fayette, Richard M Nixon, Republican, 83.53
Franklin, Richard M Nixon, Republican, 75.23
Geneva, Richard M Nixon, Republican, 84.33
Greene, George McGovern, Democrat, 68.32
Hale, Richard M Nixon, Republican, 59.22
Henry, Richard M Nixon, Republican, 79.56
Houston, Richard M Nixon, Republican, 83.46
Jackson, Richard M Nixon, Republican, 65.91
Jefferson, Richard M Nixon, Republican, 68.05
Lamar, Richard M Nixon, Republican, 80.56
Lauderdale, Richard M Nixon, Republican, 71.66
Lawrence, Richard M Nixon, Republican, 75.61
Lee, Richard M Nixon, Republican, 74.94
Limestone, Richard M Nixon, Republican, 73.21
Lowndes, George McGovern, Democrat, 54.9
Macon, George McGovern, Democrat, 62.21
Madison, Richard M Nixon, Republican, 73.42
Marengo, Richard M Nixon, Republican, 65.05
Marion, Richard M Nixon, Republican, 85.38
Marshall, Richard M Nixon, Republican, 74.45
Mobile, Richard M Nixon, Republican, 73.15
Monroe, Richard M Nixon, Republican, 74.82
Montgomery, Richard M Nixon, Republican, 71.86
Morgan, Richard M Nixon, Republican, 76.85
Perry, Richard M Nixon, Republican, 49.13
Pickens, Richard M Nixon, Republican, 67.33
Pike, Richard M Nixon, Republican, 76.66
Randolph, Richard M Nixon, Republican, 75.14
Russell, Richard M Nixon, Republican, 66.73
St. Clair, Richard M Nixon, Republican, 79.82
Shelby, Richard M Nixon, Republican, 81.24
Sumter, George McGovern, Democrat, 50.12
Talladega, Richard M Nixon, Republican, 73.12
Tallapoosa, Richard M Nixon, Republican, 78.71
Tuscaloosa, Richard M Nixon, Republican, 70.15
Walker, Richard M Nixon, Republican, 78.79
Washington, Richard M Nixon, Republican, 74.73
Wilcox, George McGovern, Democrat, 54.74
Winston, Richard M Nixon, Republican, 86.14
