Accomack, Jim Gilmore, Republican, 62.3
Albemarle, Jim Gilmore, Republican, 54.4
Alexandria, Don Beyer, Democrat, 61.4
Alleghany, Jim Gilmore, Republican, 56.8
Amelia, Jim Gilmore, Republican, 62.3
Amherst, Jim Gilmore, Republican, 56.4
Appomattox, Jim Gilmore, Republican, 55
Arlington, Don Beyer, Democrat, 62
Augusta, Jim Gilmore, Republican, 71.8
Bath, Jim Gilmore, Republican, 54.6
Bedford County, Jim Gilmore, Republican, 66.2
Bedford City, Jim Gilmore, Republican, 50.2
Bland, Jim Gilmore, Republican, 66.3
Botetourt, Jim Gilmore, Republican, 66
Bristol, Jim Gilmore, Republican, 58.8
Brunswick, Don Beyer, Democrat, 51.9
Buchanan, Don Beyer, Democrat, 50.4
Buckingham, Jim Gilmore, Republican, 52.4
Buena Vista, Jim Gilmore, Republican, 57
Campbell, Jim Gilmore, Republican, 65
Caroline, Don Beyer, Democrat, 50.1
Carroll, Jim Gilmore, Republican, 66.4
Charles City, Don Beyer, Democrat, 62.6
Charlotte, Jim Gilmore, Republican, 61.4
Charlottesville, Don Beyer, Democrat, 60.2
Chesapeake, Jim Gilmore, Republican, 57
Chesterfield, Jim Gilmore, Republican, 67.2
Clarke, Jim Gilmore, Republican, 56.3
Clifton Forge, Don Beyer, Democrat, 54.9
Colonial Heights, Jim Gilmore, Republican, 75.1
Covington, Don Beyer, Democrat, 51.3
Craig, Jim Gilmore, Republican, 59.8
Culpeper, Jim Gilmore, Republican, 64.5
Cumberland, Jim Gilmore, Republican, 62.1
Danville, Jim Gilmore, Republican, 59.1
Dickenson, Don Beyer, Democrat, 49.6
Dinwiddie, Jim Gilmore, Republican, 58.6
Emporia, Jim Gilmore, Republican, 57.5
Essex, Jim Gilmore, Republican, 56.8
Fairfax County, Jim Gilmore, Republican, 52.5
Fairfax, Jim Gilmore, Republican, 52.5
Falls Church, Don Beyer, Democrat, 65.1
Fauquier, Jim Gilmore, Republican, 65.2
Floyd, Jim Gilmore, Republican, 61
Fluvanna, Jim Gilmore, Republican, 64
Franklin County, Jim Gilmore, Republican, 58.5
Franklin City, Don Beyer, Democrat, 50.3
Frederick, Jim Gilmore, Republican, 68.8
Fredericksburg, Don Beyer, Democrat, 54
Galax, Jim Gilmore, Republican, 58.4
Giles, Jim Gilmore, Republican, 55.9
Gloucester, Jim Gilmore, Republican, 62.3
Goochland, Jim Gilmore, Republican, 60.8
Grayson, Jim Gilmore, Republican, 60.6
Greene, Jim Gilmore, Republican, 68.9
Greensville, Don Beyer, Democrat, 54.4
Halifax, Jim Gilmore, Republican, 62
Hampton, Don Beyer, Democrat, 51.5
Hanover, Jim Gilmore, Republican, 70.5
Harrisonburg, Jim Gilmore, Republican, 60.3
Henrico, Jim Gilmore, Republican, 59.2
Henry, Jim Gilmore, Republican, 54.4
Highland, Jim Gilmore, Republican, 64.9
Hopewell, Jim Gilmore, Republican, 63
Isle of Wight, Jim Gilmore, Republican, 56.9
James City, Jim Gilmore, Republican, 58.3
King and Queen, Jim Gilmore, Republican, 49.8
King George, Jim Gilmore, Republican, 56.9
King William, Jim Gilmore, Republican, 60.4
Lancaster, Jim Gilmore, Republican, 62
Lee, Jim Gilmore, Republican, 60.1
Lexington, Don Beyer, Democrat, 52.8
Loudoun, Jim Gilmore, Republican, 59.7
Louisa, Jim Gilmore, Republican, 56
Lunenburg, Jim Gilmore, Republican, 58.8
Lynchburg, Jim Gilmore, Republican, 55.5
Madison, Jim Gilmore, Republican, 63.1
Manassas, Jim Gilmore, Republican, 61.3
Manassas Park, Jim Gilmore, Republican, 70.1
Martinsville, Don Beyer, Democrat, 50.4
Mathews, Jim Gilmore, Republican, 61.9
Mecklenburg, Jim Gilmore, Republican, 61.7
Middlesex, Jim Gilmore, Republican, 59.9
Montgomery, Jim Gilmore, Republican, 53.5
Nelson, Don Beyer, Democrat, 49.9
New Kent, Jim Gilmore, Republican, 62.7
Newport News, Jim Gilmore, Republican, 52.7
Norfolk, Don Beyer, Democrat, 57.9
Northampton, Jim Gilmore, Republican, 48.9
Northumberland, Jim Gilmore, Republican, 63.1
Norton, Don Beyer, Democrat, 53.2
Nottoway, Jim Gilmore, Republican, 54.8
Orange, Jim Gilmore, Republican, 61.8
Page, Jim Gilmore, Republican, 62.3
Patrick, Jim Gilmore, Republican, 60.2
Petersburg, Don Beyer, Democrat, 67.4
Pittsylvania, Jim Gilmore, Republican, 67.8
