Accomack, George Allen, Republican, 52.8
Albemarle, Chuck Robb, Democrat, 51.8
Alleghany, George Allen, Republican, 55.4
Amelia, George Allen, Republican, 64.9
Amherst, George Allen, Republican, 57.7
Appomattox, George Allen, Republican, 61.2
Arlington, Chuck Robb, Democrat, 66.2
Augusta, George Allen, Republican, 69.3
Bath, George Allen, Republican, 63.4
Bedford, George Allen, Republican, 66.7
Bland, George Allen, Republican, 67.7
Botetourt, George Allen, Republican, 64
Brunswick, Chuck Robb, Democrat, 56.7
Buchanan, Chuck Robb, Democrat, 58.9
Buckingham, George Allen, Republican, 52.4
Campbell, George Allen, Republican, 64.6
Caroline, Chuck Robb, Democrat, 52.1
Carroll, George Allen, Republican, 64.8
Charles City, Chuck Robb, Democrat, 65.3
Charlotte, George Allen, Republican, 58.6
Chesterfield, George Allen, Republican, 62.6
Clarke, George Allen, Republican, 56.2
Craig, George Allen, Republican, 64.8
Culpeper, George Allen, Republican, 63.2
Cumberland, George Allen, Republican, 57.5
Dickenson, Chuck Robb, Democrat, 53.6
Dinwiddie, George Allen, Republican, 56.2
Essex, George Allen, Republican, 53
Fairfax, Chuck Robb, Democrat, 52
Fauquier, George Allen, Republican, 61.8
Floyd, George Allen, Republican, 62.6
Fluvanna, George Allen, Republican, 58.1
Franklin, George Allen, Republican, 62.5
Frederick, George Allen, Republican, 66.9
Giles, George Allen, Republican, 54.9
Gloucester, George Allen, Republican, 60.9
Goochland, George Allen, Republican, 60.9
Grayson, George Allen, Republican, 62.7
Greene, George Allen, Republican, 63
Greensville, Chuck Robb, Democrat, 58.3
Halifax, George Allen, Republican, 54.5
Hanover, George Allen, Republican, 68
Henrico, George Allen, Republican, 54.1
Henry, George Allen, Republican, 57
Highland, George Allen, Republican, 65.6
Isle of Wight, George Allen, Republican, 55.8
James City, George Allen, Republican, 54.6
King and Queen, George Allen, Republican, 52.8
King George, George Allen, Republican, 59.1
King William, George Allen, Republican, 62.1
Lancaster, George Allen, Republican, 60.6
Lee, George Allen, Republican, 56.2
Loudoun, George Allen, Republican, 57.4
Louisa, George Allen, Republican, 56.8
Lunenburg, George Allen, Republican, 54.9
Madison, George Allen, Republican, 60.8
Mathews, George Allen, Republican, 62.1
Mecklenburg, George Allen, Republican, 58.5
Middlesex, George Allen, Republican, 60.1
Montgomery, George Allen, Republican, 51.5
Nelson, George Allen, Republican, 50.3
New Kent, George Allen, Republican, 63.7
Northampton, Chuck Robb, Democrat, 55.9
Northumberland, George Allen, Republican, 60.9
Nottoway, George Allen, Republican, 52.9
Orange, George Allen, Republican, 58.1
Page, George Allen, Republican, 65.5
Patrick, George Allen, Republican, 66.1
Pittsylvania, George Allen, Republican, 65.5
Powhatan, George Allen, Republican, 70.1
Prince Edward, Chuck Robb, Democrat, 50.5
Prince George, George Allen, Republican, 60.9
Prince William, George Allen, Republican, 54
Pulaski, George Allen, Republican, 57.2
Rappahannock, George Allen, Republican, 55.1
Richmond, George Allen, Republican, 62.2
Roanoke, George Allen, Republican, 59.2
Rockbridge, George Allen, Republican, 58.7
Rockingham, George Allen, Republican, 72.9
Russell, George Allen, Republican, 50.1
Scott, George Allen, Republican, 63
Shenandoah, George Allen, Republican, 67.5
Smyth, George Allen, Republican, 60.2
Southampton, Chuck Robb, Democrat, 52
Spotsylvania, George Allen, Republican, 58.3
Stafford, George Allen, Republican, 59.1
Surry, Chuck Robb, Democrat, 58.5
Sussex, Chuck Robb, Democrat, 55.6
Tazewell, George Allen, Republican, 55.3
Warren, George Allen, Republican, 60.4
Washington, George Allen, Republican, 62.8
Westmoreland, Chuck Robb, Democrat, 50.9
Wise, George Allen, Republican, 52.2
Wythe, George Allen, Republican, 64.5
York, George Allen, Republican, 57.7
Alexandria City, Chuck Robb, Democrat, 65.8
Bedford City, George Allen, Republican, 51.2
Bristol City, George Allen, Republican, 59.4
Buena Vista City, George Allen, Republican, 52.4
Charlottesville City, Chuck Robb, Democrat, 69.5
Chesapeake City, George Allen, Republican, 51.8
Clifton Forge City, Chuck Robb, Democrat, 59.2
Colonial Heights City, George Allen, Republican, 70.2
Covington City, Chuck Robb, Democrat, 54.7
Danville City, George Allen, Republican, 52.2
Emporia City, Chuck Robb, Democrat, 52
Fairfax City, Chuck Robb, Democrat, 50.5
Falls Church City, Chuck Robb, Democrat, 63.8
Franklin City, Chuck Robb, Democrat, 57.8
Fredericksburg City, Chuck Robb, Democrat, 57.9
Galax City, George Allen, Republican, 54.1
Hampton City, Chuck Robb, Democrat, 60.1
Harrisonburg City, George Allen, Republican, 57.9
Hopewell City, George Allen, Republican, 56.7
Lexington City, Chuck Robb, Democrat, 56.6
Lynchburg City, George Allen, Republican, 52.6
Manassas City, George Allen, Republican, 56.7
Manassas Park City, George Allen, Republican, 59.2
Martinsville City, Chuck Robb, Democrat, 52.7
Newport News City, Chuck Robb, Democrat, 54.9
Norfolk City, Chuck Robb, Democrat, 65.2
Norton City, Chuck Robb, Democrat, 51.4
Petersburg City, Chuck Robb, Democrat, 77.3
Poquoson City, George Allen, Republican, 67.1
Portsmouth City, Chuck Robb, Democrat, 64.8
Radford City, Chuck Robb, Democrat, 51.1
Richmond City, Chuck Robb, Democrat, 69
Roanoke City, Chuck Robb, Democrat, 55.3
Salem City, George Allen, Republican, 56.5
Staunton City, George Allen, Republican, 55.3
Suffolk City, Chuck Robb, Democrat, 52.5
Virginia Beach City, George Allen, Republican, 53.9
Waynesboro City, George Allen, Republican, 58.2
Williamsburg City, Chuck Robb, Democrat, 56.5
Winchester City, George Allen, Republican, 55
