Appling, Zell Miller, Democrat, 52.5
Atkinson, Zell Miller, Democrat, 57.4
Bacon, Zell Miller, Democrat, 55.4
Baker, Zell Miller, Democrat, 65.9
Baldwin, Zell Miller, Democrat, 53.8
Banks, Zell Miller, Democrat, 56.1
Barrow, Mack Mattingly, Republican, 49.4
Bartow, Zell Miller, Democrat, 56.2
Ben Hill, Zell Miller, Democrat, 66.5
Berrien, Zell Miller, Democrat, 62.3
Bibb, Zell Miller, Democrat, 60.3
Bleckley, Zell Miller, Democrat, 49.5
Brantley, Zell Miller, Democrat, 50
Brooks, Zell Miller, Democrat, 61.5
Bryan, Zell Miller, Democrat, 50.1
Bulloch, Zell Miller, Democrat, 59.4
Burke, Zell Miller, Democrat, 59.6
Butts, Zell Miller, Democrat, 58.1
Calhoun, Zell Miller, Democrat, 73.4
Camden, Zell Miller, Democrat, 59.4
Candler, Zell Miller, Democrat, 56.4
Carroll, Zell Miller, Democrat, 56.8
Catoosa, Zell Miller, Democrat, 60.2
Charlton, Zell Miller, Democrat, 61.4
Chatham, Zell Miller, Democrat, 59.9
Chattahoochee, Zell Miller, Democrat, 62
Chattooga, Zell Miller, Democrat, 61.9
Cherokee, Mack Mattingly, Republican, 51
Clarke, Zell Miller, Democrat, 62.6
Clay, Zell Miller, Democrat, 67.9
Clayton, Zell Miller, Democrat, 72.3
Clinch, Zell Miller, Democrat, 65.6
Cobb, Zell Miller, Democrat, 52.1
Coffee, Zell Miller, Democrat, 57.5
Colquitt, Zell Miller, Democrat, 53.3
Columbia, Mack Mattingly, Republican, 52.3
Cook, Zell Miller, Democrat, 64.5
Coweta, Mack Mattingly, Republican, 49.998
Crawford, Zell Miller, Democrat, 54.1
Crisp, Zell Miller, Democrat, 56.4
Dade, Zell Miller, Democrat, 56.1
Dawson, Zell Miller, Democrat, 49
Decatur, Zell Miller, Democrat, 59.9
DeKalb, Zell Miller, Democrat, 74.2
Dodge, Zell Miller, Democrat, 51.6
Dooly, Zell Miller, Democrat, 61.8
Dougherty, Zell Miller, Democrat, 67.9
Douglas, Zell Miller, Democrat, 55.9
Early, Zell Miller, Democrat, 69.6
Echols, Zell Miller, Democrat, 61.9
Effingham, Zell Miller, Democrat, 49.1
Elbert, Zell Miller, Democrat, 65.9
Emanuel, Zell Miller, Democrat, 60.4
Evans, Zell Miller, Democrat, 56.7
Fannin, Zell Miller, Democrat, 59.6
Fayette, Mack Mattingly, Republican, 49.4
Floyd, Zell Miller, Democrat, 60.3
Forsyth, Mack Mattingly, Republican, 55.7
Franklin, Zell Miller, Democrat, 59.8
Fulton, Zell Miller, Democrat, 65.6
Gilmer, Zell Miller, Democrat, 56.4
Glascock, Zell Miller, Democrat, 51.7
Glynn, Mack Mattingly, Republican, 52.1
Gordon, Zell Miller, Democrat, 59.8
Grady, Zell Miller, Democrat, 62.7
Greene, Zell Miller, Democrat, 59.5
Gwinnett, Zell Miller, Democrat, 49.6
Habersham, Zell Miller, Democrat, 49
Hall, Zell Miller, Democrat, 50.4
Hancock, Zell Miller, Democrat, 73.8
Haralson, Zell Miller, Democrat, 59
Harris, Zell Miller, Democrat, 50.5
Hart, Zell Miller, Democrat, 52.7
Heard, Zell Miller, Democrat, 63
Henry, Zell Miller, Democrat, 49.1
Houston, Zell Miller, Democrat, 55.4
Irwin, Zell Miller, Democrat, 57.8
Jackson, Zell Miller, Democrat, 53.6
Jasper, Zell Miller, Democrat, 54.7
Jeff Davis, Zell Miller, Democrat, 56.4
Jefferson, Zell Miller, Democrat, 55.8
Jenkins, Zell Miller, Democrat, 59
Johnson, Zell Miller, Democrat, 48.2
Jones, Zell Miller, Democrat, 54.8
Lamar, Zell Miller, Democrat, 60.3
Lanier, Zell Miller, Democrat, 69.1
Laurens, Zell Miller, Democrat, 57.4
Lee, Mack Mattingly, Republican, 49
Liberty, Zell Miller, Democrat, 65.6
Lincoln, Zell Miller, Democrat, 60.7
Long, Zell Miller, Democrat, 55.3
Lowndes, Zell Miller, Democrat, 62.7
Lumpkin, Zell Miller, Democrat, 60.1
McDuffie, Zell Miller, Democrat, 56.2
McIntosh, Zell Miller, Democrat, 63.3
Macon, Zell Miller, Democrat, 69.4
Madison, Zell Miller, Democrat, 49.3
Marion, Zell Miller, Democrat, 66.5
Meriwether, Zell Miller, Democrat, 66.7
Miller, Zell Miller, Democrat, 58.5
Mitchell, Zell Miller, Democrat, 69.4
Monroe, Zell Miller, Democrat, 54.5
Montgomery, Zell Miller, Democrat, 54.9
Morgan, Zell Miller, Democrat, 56.2
Murray, Zell Miller, Democrat, 59.8
Muscogee, Zell Miller, Democrat, 65.3
Newton, Zell Miller, Democrat, 54.9
Oconee, Zell Miller, Democrat, 51.1
Oglethorpe, Zell Miller, Democrat, 59.1
Paulding, Zell Miller, Democrat, 50.1
Peach, Zell Miller, Democrat, 56.9
Pickens, Zell Miller, Democrat, 53.1
Pierce, Mack Mattingly, Republican, 46.9
Pike, Zell Miller, Democrat, 50.1
Polk, Zell Miller, Democrat, 62.7
Pulaski, Zell Miller, Democrat, 58.5
Putnam, Zell Miller, Democrat, 56.5
Quitman, Zell Miller, Democrat, 63.9
Rabun, Zell Miller, Democrat, 56.4
Randolph, Zell Miller, Democrat, 67.9
Richmond, Zell Miller, Democrat, 63.9
Rockdale, Zell Miller, Democrat, 52.1
Schley, Zell Miller, Democrat, 56.4
Screven, Zell Miller, Democrat, 59.3
Seminole, Zell Miller, Democrat, 69.4
Spalding, Zell Miller, Democrat, 51
Stephens, Zell Miller, Democrat, 56.4
Stewart, Zell Miller, Democrat, 71.9
Sumter, Zell Miller, Democrat, 63.6
Talbot, Zell Miller, Democrat, 69.6
Taliaferro, Zell Miller, Democrat, 73.7
Tattnall, Zell Miller, Democrat, 53.6
Taylor, Zell Miller, Democrat, 66.4
Telfair, Zell Miller, Democrat, 62.8
Terrell, Zell Miller, Democrat, 59.3
Thomas, Zell Miller, Democrat, 63.5
Tift, Zell Miller, Democrat, 50.9
Toombs, Mack Mattingly, Republican, 48.5
Towns, Zell Miller, Democrat, 68.3
Treutlen, Zell Miller, Democrat, 61.2
Troup, Zell Miller, Democrat, 59.1
Turner, Zell Miller, Democrat, 63.3
Twiggs, Zell Miller, Democrat, 65.2
Union, Zell Miller, Democrat, 67.2
Upson, Zell Miller, Democrat, 58.1
Walker, Zell Miller, Democrat, 59.2
Walton, Zell Miller, Democrat, 51.4
Ware, Zell Miller, Democrat, 58.3
Warren, Zell Miller, Democrat, 58.2
Washington, Zell Miller, Democrat, 60.4
Wayne, Zell Miller, Democrat, 53
Webster, Zell Miller, Democrat, 70.1
Wheeler, Zell Miller, Democrat, 61.7
White, Zell Miller, Democrat, 56.6
Whitfield, Zell Miller, Democrat, 48.7
Wilcox, Zell Miller, Democrat, 52.1
Wilkes, Zell Miller, Democrat, 58.1
Wilkinson, Zell Miller, Democrat, 61.4
Worth, Zell Miller, Democrat, 57.6
