Appling, Woodrow Wilson, Democrat, 71.95
Bacon, Woodrow Wilson, Democrat, 86.19
Baker, Woodrow Wilson, Democrat, 82.23
Baldwin, Woodrow Wilson, Democrat, 84.4
Banks, Woodrow Wilson, Democrat, 80.21
Barrow, Woodrow Wilson, Democrat, 74.01
Bartow, Woodrow Wilson, Democrat, 76.02
Ben Hill, Woodrow Wilson, Democrat, 81.53
Berrien, Woodrow Wilson, Democrat, 96.29
Bibb, Woodrow Wilson, Democrat, 88.77
Bleckley, Woodrow Wilson, Democrat, 94.76
Brooks, Woodrow Wilson, Democrat, 88.33
Bryan, Woodrow Wilson, Democrat, 91.9
Bulloch, Woodrow Wilson, Democrat, 92.4
Burke, Woodrow Wilson, Democrat, 95.33
Butts, Woodrow Wilson, Democrat, 88.28
Calhoun, Woodrow Wilson, Democrat, 96.01
Camden, Woodrow Wilson, Democrat, 96.91
Campbell, Woodrow Wilson, Democrat, 78.03
Candler, Woodrow Wilson, Democrat, 94.04
Carroll, Woodrow Wilson, Democrat, 75.33
Catoosa, Woodrow Wilson, Democrat, 72.06
Charlton, Woodrow Wilson, Democrat, 72.84
Chatham, Woodrow Wilson, Democrat, 79.42
Chattahoochee, Woodrow Wilson, Democrat, 94.55
Chattooga, Woodrow Wilson, Democrat, 79.46
Cherokee, Woodrow Wilson, Democrat, 53.17
Clarke, Woodrow Wilson, Democrat, 87.8
Clay, Woodrow Wilson, Democrat, 92.21
Clayton, Woodrow Wilson, Democrat, 86.89
Clinch, Woodrow Wilson, Democrat, 85.98
Cobb, Woodrow Wilson, Democrat, 75.4
Coffee, Woodrow Wilson, Democrat, 93.35
Colquitt, Woodrow Wilson, Democrat, 85.35
Columbia, Woodrow Wilson, Democrat, 95.6
Coweta, Woodrow Wilson, Democrat, 91.4
Crawford, Woodrow Wilson, Democrat, 98.56
Crisp, Woodrow Wilson, Democrat, 84.73
Dade, Woodrow Wilson, Democrat, 88.89
Dawson, Woodrow Wilson, Democrat, 59.3
Decatur, Woodrow Wilson, Democrat, 88.37
DeKalb, Woodrow Wilson, Democrat, 88.99
Dodge, Woodrow Wilson, Democrat, 88.84
Dooly, Woodrow Wilson, Democrat, 95.96
Dougherty, Woodrow Wilson, Democrat, 93.93
Douglas, Woodrow Wilson, Democrat, 74.95
Early, Woodrow Wilson, Democrat, 97.14
Echols, Woodrow Wilson, Democrat, 100
Effingham, Woodrow Wilson, Democrat, 86.21
Elbert, Woodrow Wilson, Democrat, 90.56
Emanuel, Woodrow Wilson, Democrat, 83.61
Evans, Woodrow Wilson, Democrat, 78.4
Fannin, Eugene V Debs, Progressive, 51.29
Fayette, Woodrow Wilson, Democrat, 83.87
Floyd, Woodrow Wilson, Democrat, 83.05
Forsyth, Woodrow Wilson, Democrat, 74.03
Franklin, Woodrow Wilson, Democrat, 86.03
Fulton, Woodrow Wilson, Democrat, 79.19
Gilmer, Woodrow Wilson, Democrat, 47.56
Glascock, Eugene V Debs, Progressive, 53.79
Glynn, Woodrow Wilson, Democrat, 85.48
Gordon, Woodrow Wilson, Democrat, 70.04
Grady, Woodrow Wilson, Democrat, 84.59
Greene, Woodrow Wilson, Democrat, 76.64
Gwinnett, Woodrow Wilson, Democrat, 75.64
Habersham, Woodrow Wilson, Democrat, 69.45
Hall, Woodrow Wilson, Democrat, 76.59
Hancock, Woodrow Wilson, Democrat, 91.53
Haralson, Woodrow Wilson, Democrat, 47.75
Harris, Woodrow Wilson, Democrat, 91.06
Hart, Woodrow Wilson, Democrat, 74.33
Heard, Woodrow Wilson, Democrat, 85.74
Henry, Woodrow Wilson, Democrat, 83.86
Houston, Woodrow Wilson, Democrat, 92.64
Irwin, Woodrow Wilson, Democrat, 90.14
Jackson, Woodrow Wilson, Democrat, 87.26
