Adams, Woodrow Wilson, Democrat, 49.49
Barnes, Woodrow Wilson, Democrat, 51.57
Benson, Charles Evans Hughes, Republican, 53.3
Billings, Charles Evans Hughes, Republican, 49.12
Bottineau, Woodrow Wilson, Democrat, 47
Bowman, Woodrow Wilson, Democrat, 59.51
Burke, Woodrow Wilson, Democrat, 55.84
Burleigh, Woodrow Wilson, Democrat, 48.73
Cass, Woodrow Wilson, Democrat, 49.85
Cavalier, Charles Evans Hughes, Republican, 55.08
Dickey, Charles Evans Hughes, Republican, 50.12
Divide, Woodrow Wilson, Democrat, 52.95
Dunn, Woodrow Wilson, Democrat, 62.53
Eddy, Woodrow Wilson, Democrat, 51.75
Emmons, Charles Evans Hughes, Republican, 63.15
Foster, Woodrow Wilson, Democrat, 53.6
Golden Valley, Woodrow Wilson, Democrat, 54.93
Grand Forks, Woodrow Wilson, Democrat, 54.66
Griggs, Woodrow Wilson, Democrat, 52.39
Hettinger, Charles Evans Hughes, Republican, 53.67
Kidder, Woodrow Wilson, Democrat, 46.07
LaMoure, Charles Evans Hughes, Republican, 47.59
Logan, Charles Evans Hughes, Republican, 64.14
McHenry, Woodrow Wilson, Democrat, 59.57
McIntosh, Charles Evans Hughes, Republican, 77.36
McKenzie, Woodrow Wilson, Democrat, 47.17
McLean, Woodrow Wilson, Democrat, 47.81
Mercer, Charles Evans Hughes, Republican, 64.15
Morton, Charles Evans Hughes, Republican, 56.35
Mountrail, Woodrow Wilson, Democrat, 55.67
Nelson, Charles Evans Hughes, Republican, 50.98
Oliver, Charles Evans Hughes, Republican, 47.79
Pembina, Charles Evans Hughes, Republican, 50.71
Pierce, Woodrow Wilson, Democrat, 49.69
Ramsey, Woodrow Wilson, Democrat, 51.13
Ransom, Woodrow Wilson, Democrat, 49.04
Renville, Woodrow Wilson, Democrat, 59.99
Richland, Charles Evans Hughes, Republican, 53.25
Rolette, Woodrow Wilson, Democrat, 50.8
Sargent, Charles Evans Hughes, Republican, 52.61
Sheridan, Charles Evans Hughes, Republican, 70.05
Sioux, Charles Evans Hughes, Republican, 50.11
Slope, Woodrow Wilson, Democrat, 58.54
Stark, Charles Evans Hughes, Republican, 58.1
Steele, Charles Evans Hughes, Republican, 53.31
Stutsman, Woodrow Wilson, Democrat, 50.67
Towner, Woodrow Wilson, Democrat, 50.53
Traill, Charles Evans Hughes, Republican, 64.62
Walsh, Woodrow Wilson, Democrat, 52.54
Ward, Woodrow Wilson, Democrat, 56.74
Wells, Charles Evans Hughes, Republican, 58.58
Williams, Woodrow Wilson, Democrat, 55.4
