#, Woodrow Wilson, Democrat, 0
Accomack County, Woodrow Wilson, Democrat, 1745
Albemarle County, Woodrow Wilson, Democrat, 1376
Alexandria County, Woodrow Wilson, Democrat, 515
Alleghany County, Woodrow Wilson, Democrat, 544
Amelia County, Woodrow Wilson, Democrat, 403
Amherst County, Woodrow Wilson, Democrat, 1142
Appomattox County, Woodrow Wilson, Democrat, 700
Augusta County, Woodrow Wilson, Democrat, 1751
Bath County, Woodrow Wilson, Democrat, 387
Bedford County, Woodrow Wilson, Democrat, 1628
Bland County, Charles Evans Hughes, Republican, 420
Botetourt County, Woodrow Wilson, Democrat, 900
Brunswick County, Woodrow Wilson, Democrat, 772
Buchanan County, Charles Evans Hughes, Republican, 827
Buckingham County, Woodrow Wilson, Democrat, 625
Campbell County, Woodrow Wilson, Democrat, 1007
Caroline County, Woodrow Wilson, Democrat, 637
Carroll County, Charles Evans Hughes, Republican, 1424
Charles City County, Woodrow Wilson, Democrat, 139
Charlotte County, Woodrow Wilson, Democrat, 856
Chesterfield County, Woodrow Wilson, Democrat, 699
Clarke County, Woodrow Wilson, Democrat, 590
Craig County, Woodrow Wilson, Democrat, 369
Culpeper County, Woodrow Wilson, Democrat, 849
Cumberland County, Woodrow Wilson, Democrat, 446
Dickenson County, Charles Evans Hughes, Republican, 753
Dinwiddie County, Woodrow Wilson, Democrat, 592
Elizabeth City County, Woodrow Wilson, Democrat, 411
Essex County, Woodrow Wilson, Democrat, 302
Fairfax County, Woodrow Wilson, Democrat, 1179
Fauquier County, Woodrow Wilson, Democrat, 1204
Floyd County&#91;a&#93;, Charles Evans Hughes, Republican, 893
Fluvanna County&#91;a&#93;, Woodrow Wilson, Democrat, 513
Franklin County, Woodrow Wilson, Democrat, 1481
Frederick County, Woodrow Wilson, Democrat, 1194
Giles County, Woodrow Wilson, Democrat, 839
Gloucester County, Woodrow Wilson, Democrat, 582
Goochland County, Woodrow Wilson, Democrat, 413
Grayson County, Charles Evans Hughes, Republican, 1244
Greene County, Charles Evans Hughes, Republican, 239
Greensville County, Woodrow Wilson, Democrat, 392
Halifax County, Woodrow Wilson, Democrat, 1781
Hanover County, Woodrow Wilson, Democrat, 760
Henrico County, Woodrow Wilson, Democrat, 690
Henry County, Woodrow Wilson, Democrat, 851
Highland County, Woodrow Wilson, Democrat, 370
Isle of Wight County, Woodrow Wilson, Democrat, 679
James City County, Woodrow Wilson, Democrat, 127
King and Queen County, Woodrow Wilson, Democrat, 271
King George County, Woodrow Wilson, Democrat, 223
King William County, Woodrow Wilson, Democrat, 342
Lancaster County, Woodrow Wilson, Democrat, 461
