Allegany, Charles Evans Hughes, Republican, 51.56
Anne Arundel, Woodrow Wilson, Democrat, 57.77
Baltimore, Woodrow Wilson, Democrat, 53.6
Baltimore City, Woodrow Wilson, Democrat, 53.58
Calvert, Charles Evans Hughes, Republican, 49.82
Caroline, Woodrow Wilson, Democrat, 52.94
Carroll, Woodrow Wilson, Democrat, 51.66
Cecil, Woodrow Wilson, Democrat, 55.91
Charles, Charles Evans Hughes, Republican, 48.06
Dorchester, Woodrow Wilson, Democrat, 51.69
Frederick, Woodrow Wilson, Democrat, 50.67
Garrett, Charles Evans Hughes, Republican, 61.21
Harford, Woodrow Wilson, Democrat, 58.36
Howard, Woodrow Wilson, Democrat, 57.57
Kent, Woodrow Wilson, Democrat, 52.29
Montgomery, Woodrow Wilson, Democrat, 55.52
Prince George's, Woodrow Wilson, Democrat, 51.87
Queen Anne's, Woodrow Wilson, Democrat, 63.05
Somerset, Charles Evans Hughes, Republican, 53.69
St. Mary's, Woodrow Wilson, Democrat, 55.27
Talbot, Woodrow Wilson, Democrat, 53.29
Washington, Woodrow Wilson, Democrat, 50.83
Wicomico, Woodrow Wilson, Democrat, 55.47
Worcester, Woodrow Wilson, Democrat, 55.87
