#, Charles Evans Hughes, Republican, 0
Addison, Eugene V Debs, Progressive, NaN
Bennington, Eugene V Debs, Progressive, NaN
Caledonia, Eugene V Debs, Progressive, NaN
Chittenden, Charles Evans Hughes, Republican, 3786
Essex, Eugene V Debs, Progressive, NaN
Franklin, Eugene V Debs, Progressive, NaN
Grand Isle, Eugene V Debs, Progressive, NaN
Lamoille, Charles Evans Hughes, Republican, 1474
Orange, Eugene V Debs, Progressive, NaN
Orleans, Eugene V Debs, Progressive, NaN
Rutland, Charles Evans Hughes, Republican, 5926
Washington, Charles Evans Hughes, Republican, 4216
Windham, Charles Evans Hughes, Republican, 3375
Windsor, Charles Evans Hughes, Republican, 4236
