Aurora, Woodrow Wilson, Democrat, 49.69
Beadle, Woodrow Wilson, Democrat, 50.29
Bennett, Woodrow Wilson, Democrat, 74.75
Bon Homme, Woodrow Wilson, Democrat, 49.75
Brookings, Charles Evans Hughes, Republican, 51.79
Brown, Woodrow Wilson, Democrat, 45.48
Brule, Woodrow Wilson, Democrat, 55.71
Buffalo, Woodrow Wilson, Democrat, 68.68
Butte, Woodrow Wilson, Democrat, 57.69
Campbell, Charles Evans Hughes, Republican, 77.4
Charles Mix, Woodrow Wilson, Democrat, 57.23
Clark, Charles Evans Hughes, Republican, 52.71
Clay, Woodrow Wilson, Democrat, 53.74
Codington, Charles Evans Hughes, Republican, 51.82
Corson, Woodrow Wilson, Democrat, 53.78
Custer, Woodrow Wilson, Democrat, 52.42
Davison, Charles Evans Hughes, Republican, 50.48
Day, Charles Evans Hughes, Republican, 61.21
Deuel, Charles Evans Hughes, Republican, 59.35
Dewey, Woodrow Wilson, Democrat, 50.6
Douglas, Charles Evans Hughes, Republican, 57.48
Edmunds, Charles Evans Hughes, Republican, 55.46
Fall River, Woodrow Wilson, Democrat, 56.08
Faulk, Charles Evans Hughes, Republican, 52.89
Grant, Charles Evans Hughes, Republican, 55.31
Gregory, Charles Evans Hughes, Republican, 51.86
Haakon, Woodrow Wilson, Democrat, 48.87
Hamlin, Charles Evans Hughes, Republican, 57.82
Hand, Woodrow Wilson, Democrat, 50.79
Hanson, Charles Evans Hughes, Republican, 51.1
Harding, Woodrow Wilson, Democrat, 47.72
Hughes, Charles Evans Hughes, Republican, 51.13
Hutchinson, Charles Evans Hughes, Republican, 73.2
Hyde, Charles Evans Hughes, Republican, 55.58
Jackson, Charles Evans Hughes, Republican, 49.39
Jerauld, Charles Evans Hughes, Republican, 48.42
Kingsbury, Charles Evans Hughes, Republican, 51.8
Lake, Charles Evans Hughes, Republican, 55.04
Lawrence, Woodrow Wilson, Democrat, 49.42
Lincoln, Charles Evans Hughes, Republican, 60.29
Lyman, Woodrow Wilson, Democrat, 48.95
Marshall, Woodrow Wilson, Democrat, 49.92
McCook, Charles Evans Hughes, Republican, 52.19
McPherson, Charles Evans Hughes, Republican, 80.06
Meade, Woodrow Wilson, Democrat, 54.57
Mellette, Woodrow Wilson, Democrat, 52.4
Miner, Charles Evans Hughes, Republican, 52.21
Minnehaha, Charles Evans Hughes, Republican, 52.64
Moody, Charles Evans Hughes, Republican, 49.09
Pennington, Woodrow Wilson, Democrat, 51.64
Perkins, Woodrow Wilson, Democrat, 47.91
Potter, Charles Evans Hughes, Republican, 54.58
Roberts, Charles Evans Hughes, Republican, 47.17
Sanborn, Woodrow Wilson, Democrat, 53.04
Spink, Charles Evans Hughes, Republican, 48.61
Stanley, Woodrow Wilson, Democrat, 57.38
Sully, Charles Evans Hughes, Republican, 50.45
Tripp, Woodrow Wilson, Democrat, 54.4
Turner, Charles Evans Hughes, Republican, 56.93
Union, Woodrow Wilson, Democrat, 53.27
Walworth, Charles Evans Hughes, Republican, 55.03
Yankton, Woodrow Wilson, Democrat, 48.96
Ziebach, Charles Evans Hughes, Republican, 54.89
