Arkansas, Woodrow Wilson, Democrat, 62.44
Ashley, Woodrow Wilson, Democrat, 74.94
Baxter, Woodrow Wilson, Democrat, 68.88
Benton, Woodrow Wilson, Democrat, 66.49
Boone, Woodrow Wilson, Democrat, 66.56
Bradley, Woodrow Wilson, Democrat, 73.4
Calhoun, Woodrow Wilson, Democrat, 72.25
Carroll, Woodrow Wilson, Democrat, 56.71
Chicot, Woodrow Wilson, Democrat, 52.43
Clark, Woodrow Wilson, Democrat, 69.35
Clay, Woodrow Wilson, Democrat, 62.99
Cleburne, Woodrow Wilson, Democrat, 67
Cleveland, Woodrow Wilson, Democrat, 81.74
Columbia, Woodrow Wilson, Democrat, 73.44
Conway, Woodrow Wilson, Democrat, 55.69
Craighead, Woodrow Wilson, Democrat, 73.02
Crawford, Woodrow Wilson, Democrat, 55.53
Crittenden, Woodrow Wilson, Democrat, 84.89
Cross, Woodrow Wilson, Democrat, 73.98
Dallas, Woodrow Wilson, Democrat, 66.05
Desha, Woodrow Wilson, Democrat, 71.11
Drew, Woodrow Wilson, Democrat, 64.79
Faulkner, Woodrow Wilson, Democrat, 66.94
Franklin, Woodrow Wilson, Democrat, 69.35
Fulton, Woodrow Wilson, Democrat, 67.36
Garland, Woodrow Wilson, Democrat, 57.57
Grant, Woodrow Wilson, Democrat, 80.96
Greene, Woodrow Wilson, Democrat, 78.01
Hempstead, Woodrow Wilson, Democrat, 59.4
Hot Spring, Woodrow Wilson, Democrat, 66.56
Howard, Woodrow Wilson, Democrat, 67.66
Independence, Woodrow Wilson, Democrat, 68.35
Izard, Woodrow Wilson, Democrat, 79.74
Jackson, Woodrow Wilson, Democrat, 66.91
Jefferson, Woodrow Wilson, Democrat, 68.18
Johnson, Woodrow Wilson, Democrat, 65.91
Lafayette, Woodrow Wilson, Democrat, 69.77
Lawrence, Woodrow Wilson, Democrat, 81.05
Lee, Woodrow Wilson, Democrat, 70.02
Lincoln, Woodrow Wilson, Democrat, 65.7
Little River, Woodrow Wilson, Democrat, 65.5
Logan, Woodrow Wilson, Democrat, 59.88
Lonoke, Woodrow Wilson, Democrat, 77.87
Madison, Woodrow Wilson, Democrat, 50.38
Marion, Woodrow Wilson, Democrat, 63.34
Miller, Woodrow Wilson, Democrat, 73.36
Mississippi, Woodrow Wilson, Democrat, 68.89
Monroe, Woodrow Wilson, Democrat, 57.35
Montgomery, Woodrow Wilson, Democrat, 58.91
Nevada, Woodrow Wilson, Democrat, 63.62
Newton, Charles Evans Hughes, Republican, 50.6
Ouachita, Woodrow Wilson, Democrat, 58.01
Perry, Woodrow Wilson, Democrat, 65.04
Phillips, Woodrow Wilson, Democrat, 71.9
Pike, Woodrow Wilson, Democrat, 64.16
Poinsett, Woodrow Wilson, Democrat, 67.9
Polk, Woodrow Wilson, Democrat, 66.03
Pope, Woodrow Wilson, Democrat, 70.37
Prairie, Woodrow Wilson, Democrat, 59.27
Pulaski, Woodrow Wilson, Democrat, 65.26
Randolph, Woodrow Wilson, Democrat, 74.66
St. Francis, Woodrow Wilson, Democrat, 67.56
Saline, Woodrow Wilson, Democrat, 81.11
Scott, Woodrow Wilson, Democrat, 68.15
Searcy, Charles Evans Hughes, Republican, 54.96
Sebastian, Woodrow Wilson, Democrat, 68.14
Sevier, Woodrow Wilson, Democrat, 73.38
Sharp, Woodrow Wilson, Democrat, 73.58
Stone, Woodrow Wilson, Democrat, 64.4
Union, Woodrow Wilson, Democrat, 77.21
Van Buren, Woodrow Wilson, Democrat, 60.26
Washington, Woodrow Wilson, Democrat, 61.23
White, Woodrow Wilson, Democrat, 74.27
Woodruff, Woodrow Wilson, Democrat, 66.36
Yell, Woodrow Wilson, Democrat, 67.67
