Barnstable, Charles Evans Hughes, Republican, 58.68
Berkshire, Charles Evans Hughes, Republican, 52.09
Bristol, Charles Evans Hughes, Republican, 53.69
Dukes, Charles Evans Hughes, Republican, 58.96
Essex, Charles Evans Hughes, Republican, 50.51
Franklin, Charles Evans Hughes, Republican, 56.93
Hampden, Charles Evans Hughes, Republican, 50.19
Hampshire, Charles Evans Hughes, Republican, 56.15
Middlesex, Charles Evans Hughes, Republican, 53.77
Nantucket, Woodrow Wilson, Democrat, 54.43
Norfolk, Charles Evans Hughes, Republican, 58.71
Plymouth, Charles Evans Hughes, Republican, 52.48
Suffolk, Woodrow Wilson, Democrat, 57.51
Worcester, Charles Evans Hughes, Republican, 52.76
