Androscoggin, Woodrow Wilson, Democrat, 53.12
Aroostook, Charles Evans Hughes, Republican, 69.58
Cumberland, Charles Evans Hughes, Republican, 53.59
Franklin, Charles Evans Hughes, Republican, 49.89
Hancock, Woodrow Wilson, Democrat, 49.81
Kennebec, Charles Evans Hughes, Republican, 53.71
Knox, Woodrow Wilson, Democrat, 58.74
Lincoln, Charles Evans Hughes, Republican, 49.97
Oxford, Charles Evans Hughes, Republican, 51.73
Penobscot, Charles Evans Hughes, Republican, 49.41
Piscataquis, Charles Evans Hughes, Republican, 54.16
Sagadahoc, Charles Evans Hughes, Republican, 49.01
Somerset, Charles Evans Hughes, Republican, 51.24
Waldo, Woodrow Wilson, Democrat, 49.96
Washington, Charles Evans Hughes, Republican, 52.24
York, Woodrow Wilson, Democrat, 51.02
