Adair, Woodrow Wilson, Democrat, 49.15
Alfalfa, Woodrow Wilson, Democrat, 41.94
Atoka, Woodrow Wilson, Democrat, 50.31
Beaver, Woodrow Wilson, Democrat, 49.82
Beckham, Woodrow Wilson, Democrat, 56.49
Blaine, Charles Evans Hughes, Republican, 40.97
Bryan, Woodrow Wilson, Democrat, 59.4
Caddo, Woodrow Wilson, Democrat, 44.25
Canadian, Woodrow Wilson, Democrat, 51.66
Carter, Woodrow Wilson, Democrat, 60.09
Cherokee, Woodrow Wilson, Democrat, 48.97
Choctaw, Woodrow Wilson, Democrat, 55.11
Cimarron, Woodrow Wilson, Democrat, 50.19
Cleveland, Woodrow Wilson, Democrat, 54.19
Coal, Woodrow Wilson, Democrat, 50.11
Comanche, Woodrow Wilson, Democrat, 51.13
Cotton, Woodrow Wilson, Democrat, 58.71
Craig, Woodrow Wilson, Democrat, 50.77
Creek, Woodrow Wilson, Democrat, 45.77
Custer, Woodrow Wilson, Democrat, 45.22
Delaware, Woodrow Wilson, Democrat, 53.42
Dewey, Woodrow Wilson, Democrat, 36.59
Ellis, Charles Evans Hughes, Republican, 38.35
Garfield, Charles Evans Hughes, Republican, 48.41
Garvin, Woodrow Wilson, Democrat, 59.62
Grady, Woodrow Wilson, Democrat, 60.55
Grant, Woodrow Wilson, Democrat, 47.42
Greer, Woodrow Wilson, Democrat, 66.28
Harmon, Woodrow Wilson, Democrat, 73.03
Harper, Woodrow Wilson, Democrat, 42.29
Haskell, Woodrow Wilson, Democrat, 50.44
Hughes, Woodrow Wilson, Democrat, 52
Jackson, Woodrow Wilson, Democrat, 65.44
Jefferson, Woodrow Wilson, Democrat, 60.76
Johnston, Woodrow Wilson, Democrat, 54.63
Kay, Charles Evans Hughes, Republican, 46.67
Kingfisher, Charles Evans Hughes, Republican, 48.9
Kiowa, Woodrow Wilson, Democrat, 51.49
Latimer, Woodrow Wilson, Democrat, 48.49
Le Flore, Woodrow Wilson, Democrat, 49.77
Lincoln, Charles Evans Hughes, Republican, 41.69
Logan, Charles Evans Hughes, Republican, 49.38
Love, Woodrow Wilson, Democrat, 64.07
Major, Charles Evans Hughes, Republican, 39.71
Marshall, Woodrow Wilson, Democrat, 55.78
Mayes, Woodrow Wilson, Democrat, 51.93
McClain, Woodrow Wilson, Democrat, 56.74
McCurtain, Woodrow Wilson, Democrat, 54.89
McIntosh, Woodrow Wilson, Democrat, 54.43
Murray, Woodrow Wilson, Democrat, 61.59
Muskogee, Woodrow Wilson, Democrat, 58.23
Noble, Woodrow Wilson, Democrat, 47.68
Nowata, Woodrow Wilson, Democrat, 47.36
Okfuskee, Woodrow Wilson, Democrat, 52.8
Oklahoma, Woodrow Wilson, Democrat, 54.73
Okmulgee, Woodrow Wilson, Democrat, 47.75
Osage, Woodrow Wilson, Democrat, 51.22
Ottawa, Woodrow Wilson, Democrat, 50.07
Pawnee, Woodrow Wilson, Democrat, 43.19
Payne, Woodrow Wilson, Democrat, 44.5
Pittsburg, Woodrow Wilson, Democrat, 55.42
Pontotoc, Woodrow Wilson, Democrat, 56.39
Pottawatomie, Woodrow Wilson, Democrat, 50.61
Pushmataha, Woodrow Wilson, Democrat, 49.1
Roger Mills, Woodrow Wilson, Democrat, 50.77
Rogers, Woodrow Wilson, Democrat, 48.96
Seminole, Woodrow Wilson, Democrat, 44.42
Sequoyah, Woodrow Wilson, Democrat, 48.89
Stephens, Woodrow Wilson, Democrat, 57.88
Texas, Woodrow Wilson, Democrat, 54.64
Tillman, Woodrow Wilson, Democrat, 69.08
Tulsa, Woodrow Wilson, Democrat, 48.67
Wagoner, Woodrow Wilson, Democrat, 49.71
Washington, Woodrow Wilson, Democrat, 46.85
Washita, Woodrow Wilson, Democrat, 55.68
Woods, Woodrow Wilson, Democrat, 42.93
Woodward, Woodrow Wilson, Democrat, 38.65
