Colusa, Woodrow Wilson, Democrat, 62.89
Mariposa, Woodrow Wilson, Democrat, 58.24
Kern, Woodrow Wilson, Democrat, 59.86
Placer, Woodrow Wilson, Democrat, 58.28
Siskiyou, Woodrow Wilson, Democrat, 57.15
Sierra, Woodrow Wilson, Democrat, 58.35
El Dorado, Woodrow Wilson, Democrat, 57.67
Solano, Woodrow Wilson, Democrat, 58.37
Modoc, Woodrow Wilson, Democrat, 58.25
Nevada, Woodrow Wilson, Democrat, 56.58
Plumas, Woodrow Wilson, Democrat, 56.5
Trinity, Woodrow Wilson, Democrat, 54.81
Lassen, Woodrow Wilson, Democrat, 55.75
Tuolumne, Woodrow Wilson, Democrat, 54.21
Amador, Woodrow Wilson, Democrat, 56.28
San Joaquin, Woodrow Wilson, Democrat, 55.44
Lake, Woodrow Wilson, Democrat, 52.13
Tehama, Woodrow Wilson, Democrat, 52.92
Madera, Woodrow Wilson, Democrat, 54.01
Shasta, Woodrow Wilson, Democrat, 52.39
Sacramento, Woodrow Wilson, Democrat, 54.63
Glenn, Woodrow Wilson, Democrat, 53.87
Yuba, Woodrow Wilson, Democrat, 54.49
Kings, Woodrow Wilson, Democrat, 51.86
Calaveras, Woodrow Wilson, Democrat, 53.06
Sutter, Woodrow Wilson, Democrat, 53.52
Yolo, Woodrow Wilson, Democrat, 53.12
San Francisco, Woodrow Wilson, Democrat, 52.45
San Luis Obispo, Woodrow Wilson, Democrat, 49.85
Merced, Woodrow Wilson, Democrat, 50.36
Butte, Woodrow Wilson, Democrat, 50.55
Stanislaus, Woodrow Wilson, Democrat, 46.98
Fresno, Woodrow Wilson, Democrat, 49.95
Imperial, Woodrow Wilson, Democrat, 49.15
San Benito, Woodrow Wilson, Democrat, 51.8
Santa Barbara, Woodrow Wilson, Democrat, 49.65
Mono, Woodrow Wilson, Democrat, 48.47
Inyo, Woodrow Wilson, Democrat, 47.92
Monterey, Woodrow Wilson, Democrat, 48.28
Santa Cruz, Woodrow Wilson, Democrat, 47.76
Tulare, Woodrow Wilson, Democrat, 46.87
Contra Costa, Woodrow Wilson, Democrat, 46.82
San Diego, Charles Evans Hughes, Republican, 46.47
Mendocino, Charles Evans Hughes, Republican, 46.79
Del Norte, Charles Evans Hughes, Republican, 43.81
Marin, Charles Evans Hughes, Republican, 50.05
San Mateo, Charles Evans Hughes, Republican, 50.01
Sonoma, Charles Evans Hughes, Republican, 50.37
Santa Clara, Charles Evans Hughes, Republican, 50.77
Alameda, Charles Evans Hughes, Republican, 50.34
Los Angeles, Charles Evans Hughes, Republican, 50.59
San Bernardino, Charles Evans Hughes, Republican, 50.68
Napa, Charles Evans Hughes, Republican, 52.46
Humboldt, Charles Evans Hughes, Republican, 51.14
Ventura, Charles Evans Hughes, Republican, 55.18
Riverside, Charles Evans Hughes, Republican, 54.64
Orange, Charles Evans Hughes, Republican, 56.59
Alpine, Charles Evans Hughes, Republican, 72.29
