Adair, Charles Evans Hughes, Republican, 53.87
Adams, Charles Evans Hughes, Republican, 50.2
Allamakee, Charles Evans Hughes, Republican, 57.97
Appanoose, Charles Evans Hughes, Republican, 52.43
Audubon, Charles Evans Hughes, Republican, 55.61
Benton, Charles Evans Hughes, Republican, 54.16
Black Hawk, Charles Evans Hughes, Republican, 59.34
Boone, Charles Evans Hughes, Republican, 52.41
Bremer, Charles Evans Hughes, Republican, 69.77
Buchanan, Charles Evans Hughes, Republican, 61.79
Buena Vista, Charles Evans Hughes, Republican, 57.38
Butler, Charles Evans Hughes, Republican, 72.45
Calhoun, Charles Evans Hughes, Republican, 58.34
Carroll, Charles Evans Hughes, Republican, 53.1
Cass, Charles Evans Hughes, Republican, 59.75
Cedar, Charles Evans Hughes, Republican, 63.56
Cerro Gordo, Charles Evans Hughes, Republican, 59.28
Cherokee, Woodrow Wilson, Democrat, 50.34
Chickasaw, Charles Evans Hughes, Republican, 53.61
Clarke, Charles Evans Hughes, Republican, 55.1
Clay, Charles Evans Hughes, Republican, 55.41
Clayton, Charles Evans Hughes, Republican, 57.54
Clinton, Charles Evans Hughes, Republican, 56.61
Crawford, Charles Evans Hughes, Republican, 58.27
Dallas, Charles Evans Hughes, Republican, 52.37
Davis, Woodrow Wilson, Democrat, 54.16
Decatur, Woodrow Wilson, Democrat, 51.05
Delaware, Charles Evans Hughes, Republican, 66.78
Des Moines, Charles Evans Hughes, Republican, 49.51
Dickinson, Charles Evans Hughes, Republican, 57.24
Dubuque, Woodrow Wilson, Democrat, 49.6
Emmet, Charles Evans Hughes, Republican, 62.37
Fayette, Charles Evans Hughes, Republican, 60.81
Floyd, Charles Evans Hughes, Republican, 66.1
Franklin, Charles Evans Hughes, Republican, 77.24
Fremont, Woodrow Wilson, Democrat, 53.42
Greene, Charles Evans Hughes, Republican, 60.85
Grundy, Charles Evans Hughes, Republican, 67.23
Guthrie, Charles Evans Hughes, Republican, 55.3
Hamilton, Charles Evans Hughes, Republican, 70.94
Hancock, Charles Evans Hughes, Republican, 64.43
Hardin, Charles Evans Hughes, Republican, 67.72
Harrison, Woodrow Wilson, Democrat, 51.54
Henry, Charles Evans Hughes, Republican, 57.99
Howard, Charles Evans Hughes, Republican, 48.86
Humboldt, Charles Evans Hughes, Republican, 66.69
Ida, Charles Evans Hughes, Republican, 51.12
Iowa, Charles Evans Hughes, Republican, 57.9
Jackson, Charles Evans Hughes, Republican, 52.63
Jasper, Woodrow Wilson, Democrat, 49.97
Jefferson, Charles Evans Hughes, Republican, 54.61
Johnson, Woodrow Wilson, Democrat, 57
Jones, Charles Evans Hughes, Republican, 58.62
Keokuk, Charles Evans Hughes, Republican, 52.18
Kossuth, Charles Evans Hughes, Republican, 59.63
Lee, Charles Evans Hughes, Republican, 51.18
Linn, Charles Evans Hughes, Republican, 55.67
Louisa, Charles Evans Hughes, Republican, 62.26
Lucas, Charles Evans Hughes, Republican, 47.91
Lyon, Charles Evans Hughes, Republican, 59.78
Madison, Charles Evans Hughes, Republican, 51.26
Mahaska, Woodrow Wilson, Democrat, 48.26
Marion, Woodrow Wilson, Democrat, 53.98
Marshall, Charles Evans Hughes, Republican, 60.32
Mills, Charles Evans Hughes, Republican, 50.58
Mitchell, Charles Evans Hughes, Republican, 64.38
Monona, Woodrow Wilson, Democrat, 51.45
Monroe, Charles Evans Hughes, Republican, 45.15
Montgomery, Charles Evans Hughes, Republican, 60.33
Muscatine, Charles Evans Hughes, Republican, 54.25
O'Brien, Charles Evans Hughes, Republican, 52.53
Osceola, Charles Evans Hughes, Republican, 58.05
Page, Charles Evans Hughes, Republican, 60.87
Palo Alto, Woodrow Wilson, Democrat, 49.59
Plymouth, Charles Evans Hughes, Republican, 53.14
Pocahontas, Charles Evans Hughes, Republican, 51.29
Polk, Woodrow Wilson, Democrat, 50
Pottawattamie, Woodrow Wilson, Democrat, 49.99
Poweshiek, Charles Evans Hughes, Republican, 57.39
Ringgold, Charles Evans Hughes, Republican, 55.46
Sac, Charles Evans Hughes, Republican, 55.03
Scott, Charles Evans Hughes, Republican, 56.39
Shelby, Woodrow Wilson, Democrat, 51.55
Sioux, Charles Evans Hughes, Republican, 51.89
Story, Charles Evans Hughes, Republican, 66.18
Tama, Charles Evans Hughes, Republican, 53.37
Taylor, Charles Evans Hughes, Republican, 54.7
Union, Charles Evans Hughes, Republican, 49.95
Van Buren, Charles Evans Hughes, Republican, 52.52
Wapello, Charles Evans Hughes, Republican, 47.65
Warren, Charles Evans Hughes, Republican, 52.21
Washington, Charles Evans Hughes, Republican, 55.31
Wayne, Charles Evans Hughes, Republican, 48.68
Webster, Charles Evans Hughes, Republican, 53.5
Winnebago, Charles Evans Hughes, Republican, 72.92
Winneshiek, Charles Evans Hughes, Republican, 57.87
Woodbury, Woodrow Wilson, Democrat, 59.38
Worth, Charles Evans Hughes, Republican, 70.44
Wright, Charles Evans Hughes, Republican, 68.22
Soldier's Vote, Charles Evans Hughes, Republican, 49.44
