Autauga, Woodrow Wilson, Democrat, 87.05
Baldwin, Woodrow Wilson, Democrat, 67.19
Barbour, Woodrow Wilson, Democrat, 94.64
Bibb, Woodrow Wilson, Democrat, 78.58
Blount, Woodrow Wilson, Democrat, 54.13
Bullock, Woodrow Wilson, Democrat, 99.2
Butler, Woodrow Wilson, Democrat, 93.03
Calhoun, Woodrow Wilson, Democrat, 81.81
Chambers, Woodrow Wilson, Democrat, 89.88
Cherokee, Woodrow Wilson, Democrat, 67.78
Chilton, Charles Evans Hughes, Republican, 59.31
Choctaw, Woodrow Wilson, Democrat, 95.63
Clarke, Woodrow Wilson, Democrat, 97.42
Clay, Woodrow Wilson, Democrat, 63.72
Cleburne, Woodrow Wilson, Democrat, 56.21
Coffee, Woodrow Wilson, Democrat, 81.95
Colbert, Woodrow Wilson, Democrat, 74.04
Conecuh, Woodrow Wilson, Democrat, 94.44
Coosa, Woodrow Wilson, Democrat, 62.42
Covington, Woodrow Wilson, Democrat, 79.94
Crenshaw, Woodrow Wilson, Democrat, 90.43
Cullman, Woodrow Wilson, Democrat, 50.52
Dale, Woodrow Wilson, Democrat, 67.38
Dallas, Woodrow Wilson, Democrat, 97.87
DeKalb, Woodrow Wilson, Democrat, 59.09
Elmore, Woodrow Wilson, Democrat, 99.57
Escambia, Woodrow Wilson, Democrat, 89.84
Etowah, Woodrow Wilson, Democrat, 66.65
Fayette, Woodrow Wilson, Democrat, 58.43
Franklin, Woodrow Wilson, Democrat, 50.34
Geneva, Woodrow Wilson, Democrat, 62.84
Greene, Woodrow Wilson, Democrat, 97.7
Hale, Woodrow Wilson, Democrat, 97.79
Henry, Woodrow Wilson, Democrat, 83.25
Houston, Woodrow Wilson, Democrat, 76.05
Jackson, Woodrow Wilson, Democrat, 75.61
Jefferson, Woodrow Wilson, Democrat, 81.38
Lamar, Woodrow Wilson, Democrat, 79.45
Lauderdale, Woodrow Wilson, Democrat, 79.64
Lawrence, Woodrow Wilson, Democrat, 85.92
Lee, Woodrow Wilson, Democrat, 94.67
Limestone, Woodrow Wilson, Democrat, 92.12
Lowndes, Woodrow Wilson, Democrat, 98
Macon, Woodrow Wilson, Democrat, 92.59
Madison, Woodrow Wilson, Democrat, 89.17
Marengo, Woodrow Wilson, Democrat, 98.61
Marion, Woodrow Wilson, Democrat, 61.89
Marshall, Woodrow Wilson, Democrat, 61.32
Mobile, Woodrow Wilson, Democrat, 76.18
Monroe, Woodrow Wilson, Democrat, 98.09
Montgomery, Woodrow Wilson, Democrat, 96.06
Morgan, Woodrow Wilson, Democrat, 82.62
Perry, Woodrow Wilson, Democrat, 96.44
Pickens, Woodrow Wilson, Democrat, 83.09
Pike, Woodrow Wilson, Democrat, 96.39
Randolph, Woodrow Wilson, Democrat, 66.7
Russell, Woodrow Wilson, Democrat, 99.08
St. Clair, Woodrow Wilson, Democrat, 51.97
Shelby, Charles Evans Hughes, Republican, 51.81
Sumter, Woodrow Wilson, Democrat, 98.21
Talladega, Woodrow Wilson, Democrat, 77.1
Tallapoosa, Woodrow Wilson, Democrat, 91.98
Tuscaloosa, Woodrow Wilson, Democrat, 89.99
Walker, Woodrow Wilson, Democrat, 53.8
Washington, Woodrow Wilson, Democrat, 92.94
Wilcox, Woodrow Wilson, Democrat, 99.88
Winston, Charles Evans Hughes, Republican, 59.94
