Ada, Charles Evans Hughes, Republican, 48.32
Adams, Charles Evans Hughes, Republican, 46.19
Bannock, Woodrow Wilson, Democrat, 55.52
Bear Lake, Woodrow Wilson, Democrat, 55.36
Benewah, Woodrow Wilson, Democrat, 51.52
Bingham, Woodrow Wilson, Democrat, 53.02
Blaine, Woodrow Wilson, Democrat, 56.31
Boise, Woodrow Wilson, Democrat, 57.17
Bonner, Woodrow Wilson, Democrat, 51.96
Bonneville, Woodrow Wilson, Democrat, 56.13
Boundary, Woodrow Wilson, Democrat, 48.12
Canyon, Woodrow Wilson, Democrat, 49.98
Cassia, Woodrow Wilson, Democrat, 50.05
Clearwater, Charles Evans Hughes, Republican, 47.37
Custer, Woodrow Wilson, Democrat, 62.38
Elmore, Woodrow Wilson, Democrat, 59.61
Franklin, Woodrow Wilson, Democrat, 55.97
Fremont, Woodrow Wilson, Democrat, 59.23
Gem, Woodrow Wilson, Democrat, 52.11
Gooding, Charles Evans Hughes, Republican, 47.58
Idaho, Woodrow Wilson, Democrat, 49.76
Jefferson, Woodrow Wilson, Democrat, 58.94
Kootenai, Woodrow Wilson, Democrat, 44.46
Latah, Woodrow Wilson, Democrat, 45.54
Lemhi, Woodrow Wilson, Democrat, 57.32
Lewis, Woodrow Wilson, Democrat, 54.71
Lincoln, Charles Evans Hughes, Republican, 48.59
Madison, Woodrow Wilson, Democrat, 54.32
Minidoka, Woodrow Wilson, Democrat, 42.69
Nez Perce, Woodrow Wilson, Democrat, 56.46
Oneida, Woodrow Wilson, Democrat, 55.4
Owyhee, Woodrow Wilson, Democrat, 52.76
Power, Woodrow Wilson, Democrat, 49.95
Shoshone, Woodrow Wilson, Democrat, 59.11
Teton, Woodrow Wilson, Democrat, 51.86
Twin Falls, Woodrow Wilson, Democrat, 51.6
Washington, Woodrow Wilson, Democrat, 51.83
