Adams, Woodrow Wilson, Democrat, 53.28
Alexander, Charles Evans Hughes, Republican, 56.8
Bond, Charles Evans Hughes, Republican, 54.04
Boone, Charles Evans Hughes, Republican, 77.64
Brown, Woodrow Wilson, Democrat, 62.47
Bureau, Charles Evans Hughes, Republican, 56.29
Calhoun, Woodrow Wilson, Democrat, 49.04
Carroll, Charles Evans Hughes, Republican, 67.03
Cass, Woodrow Wilson, Democrat, 55.6
Champaign, Charles Evans Hughes, Republican, 57.87
Christian, Woodrow Wilson, Democrat, 50.95
Clark, Woodrow Wilson, Democrat, 50.87
Clay, Charles Evans Hughes, Republican, 50.5
Clinton, Woodrow Wilson, Democrat, 52.34
Coles, Charles Evans Hughes, Republican, 50.85
Cook, Charles Evans Hughes, Republican, 51.26
Crawford, Woodrow Wilson, Democrat, 50.74
Cumberland, Woodrow Wilson, Democrat, 49.62
DeKalb, Charles Evans Hughes, Republican, 71.29
DeWitt, Woodrow Wilson, Democrat, 48.78
Douglas, Charles Evans Hughes, Republican, 52.21
DuPage, Charles Evans Hughes, Republican, 62.88
Edgar, Woodrow Wilson, Democrat, 51.04
Edwards, Charles Evans Hughes, Republican, 65.39
Effingham, Woodrow Wilson, Democrat, 57.05
Fayette, Woodrow Wilson, Democrat, 49.68
Ford, Charles Evans Hughes, Republican, 66.35
Franklin, Woodrow Wilson, Democrat, 47.17
Fulton, Charles Evans Hughes, Republican, 48.68
Gallatin, Woodrow Wilson, Democrat, 57.49
Greene, Woodrow Wilson, Democrat, 64.4
Grundy, Charles Evans Hughes, Republican, 66.39
Hamilton, Woodrow Wilson, Democrat, 52.09
Hancock, Woodrow Wilson, Democrat, 52.4
Hardin, Charles Evans Hughes, Republican, 51.68
Henderson, Charles Evans Hughes, Republican, 58.55
Henry, Charles Evans Hughes, Republican, 65.47
Iroquois, Charles Evans Hughes, Republican, 61.13
Jackson, Charles Evans Hughes, Republican, 54.11
Jasper, Woodrow Wilson, Democrat, 54.19
Jefferson, Woodrow Wilson, Democrat, 51.44
Jersey, Woodrow Wilson, Democrat, 52.37
Jo Daviess, Charles Evans Hughes, Republican, 60.02
Johnson, Charles Evans Hughes, Republican, 62.61
Kane, Charles Evans Hughes, Republican, 67.8
Kankakee, Charles Evans Hughes, Republican, 62.34
Kendall, Charles Evans Hughes, Republican, 75.38
Knox, Charles Evans Hughes, Republican, 58.84
Lake, Charles Evans Hughes, Republican, 67.04
LaSalle, Charles Evans Hughes, Republican, 56.67
Lawrence, Woodrow Wilson, Democrat, 50.14
Lee, Charles Evans Hughes, Republican, 63.99
Livingston, Charles Evans Hughes, Republican, 58.65
Logan, Charles Evans Hughes, Republican, 48.32
Macon, Charles Evans Hughes, Republican, 52.96
Macoupin, Woodrow Wilson, Democrat, 49.31
Madison, Charles Evans Hughes, Republican, 49.88
Marion, Woodrow Wilson, Democrat, 52.74
Marshall, Charles Evans Hughes, Republican, 55.9
Mason, Woodrow Wilson, Democrat, 54.46
Massac, Charles Evans Hughes, Republican, 73.84
McDonough, Charles Evans Hughes, Republican, 53.09
McHenry, Charles Evans Hughes, Republican, 72.01
McLean, Charles Evans Hughes, Republican, 53.24
Menard, Charles Evans Hughes, Republican, 48.54
Mercer, Charles Evans Hughes, Republican, 58.94
Monroe, Charles Evans Hughes, Republican, 56.91
Montgomery, Woodrow Wilson, Democrat, 50.04
Morgan, Charles Evans Hughes, Republican, 50.28
Moultrie, Woodrow Wilson, Democrat, 51.7
Ogle, Charles Evans Hughes, Republican, 70.33
Peoria, Woodrow Wilson, Democrat, 48.75
Perry, Charles Evans Hughes, Republican, 49.83
Piatt, Charles Evans Hughes, Republican, 55.52
Pike, Woodrow Wilson, Democrat, 54.79
Pope, Charles Evans Hughes, Republican, 70.22
Pulaski, Charles Evans Hughes, Republican, 62.73
Putnam, Charles Evans Hughes, Republican, 62.48
Randolph, Charles Evans Hughes, Republican, 49.11
Richland, Woodrow Wilson, Democrat, 51.72
Rock Island, Charles Evans Hughes, Republican, 53.32
Saline, Charles Evans Hughes, Republican, 50.6
Sangamon, Charles Evans Hughes, Republican, 51.69
Schuyler, Woodrow Wilson, Democrat, 54.38
Scott, Woodrow Wilson, Democrat, 52.84
Shelby, Woodrow Wilson, Democrat, 54.2
St. Clair, Woodrow Wilson, Democrat, 48.83
Stark, Charles Evans Hughes, Republican, 66.58
Stephenson, Charles Evans Hughes, Republican, 58.46
Tazewell, Woodrow Wilson, Democrat, 48.12
Union, Woodrow Wilson, Democrat, 61.27
Vermilion, Charles Evans Hughes, Republican, 50.29
Wabash, Woodrow Wilson, Democrat, 53.26
Warren, Charles Evans Hughes, Republican, 56.47
Washington, Charles Evans Hughes, Republican, 60.95
Wayne, Charles Evans Hughes, Republican, 51.03
White, Woodrow Wilson, Democrat, 53.68
Whiteside, Charles Evans Hughes, Republican, 69.31
Will, Charles Evans Hughes, Republican, 62.62
Williamson, Charles Evans Hughes, Republican, 53.62
Winnebago, Charles Evans Hughes, Republican, 65.09
Woodford, Charles Evans Hughes, Republican, 52.29
