Adair, Chuck Grassley, Republican, 71.8
Adams, Chuck Grassley, Republican, 73.5
Allamakee, Chuck Grassley, Republican, 65.5
Appanoose, Chuck Grassley, Republican, 68.6
Audubon, Chuck Grassley, Republican, 70.8
Benton, Chuck Grassley, Republican, 68.3
Black Hawk, Chuck Grassley, Republican, 53.3
Boone, Chuck Grassley, Republican, 61.1
Bremer, Chuck Grassley, Republican, 64
Buchanan, Chuck Grassley, Republican, 62.9
Buena Vista, Chuck Grassley, Republican, 66.7
Butler, Chuck Grassley, Republican, 72.8
Calhoun, Chuck Grassley, Republican, 74.2
Carroll, Chuck Grassley, Republican, 70.2
Cass, Chuck Grassley, Republican, 73.3
Cedar, Chuck Grassley, Republican, 64.9
Cerro Gordo, Chuck Grassley, Republican, 59.3
Cherokee, Chuck Grassley, Republican, 75.4
Chickasaw, Chuck Grassley, Republican, 65.4
Clarke, Chuck Grassley, Republican, 66.2
Clay, Chuck Grassley, Republican, 73.9
Clayton, Chuck Grassley, Republican, 64.9
Clinton, Chuck Grassley, Republican, 56.3
Crawford, Chuck Grassley, Republican, 69.5
Dallas, Chuck Grassley, Republican, 64.5
Davis, Chuck Grassley, Republican, 71.6
Decatur, Chuck Grassley, Republican, 67.6
Delaware, Chuck Grassley, Republican, 70.2
Des Moines, Chuck Grassley, Republican, 55.5
Dickinson, Chuck Grassley, Republican, 73.2
Dubuque, Chuck Grassley, Republican, 56.4
Emmet, Chuck Grassley, Republican, 70.9
Fayette, Chuck Grassley, Republican, 64.5
Floyd, Chuck Grassley, Republican, 62
Franklin, Chuck Grassley, Republican, 71.9
Fremont, Chuck Grassley, Republican, 73.7
Greene, Chuck Grassley, Republican, 67.4
Grundy, Chuck Grassley, Republican, 76.6
Guthrie, Chuck Grassley, Republican, 70
Hamilton, Chuck Grassley, Republican, 67.5
Hancock, Chuck Grassley, Republican, 72.7
Hardin, Chuck Grassley, Republican, 69
Harrison, Chuck Grassley, Republican, 70
Henry, Chuck Grassley, Republican, 68.2
Howard, Chuck Grassley, Republican, 63.4
Humboldt, Chuck Grassley, Republican, 76.6
Ida, Chuck Grassley, Republican, 80.3
Iowa, Chuck Grassley, Republican, 68.7
Jackson, Chuck Grassley, Republican, 62.5
Jasper, Chuck Grassley, Republican, 62
Jefferson, Chuck Grassley, Republican, 51.6
Johnson, Patty Judge, Democrat, 57.1
Jones, Chuck Grassley, Republican, 65
Keokuk, Chuck Grassley, Republican, 75.2
Kossuth, Chuck Grassley, Republican, 70.3
Lee, Chuck Grassley, Republican, 53.3
Linn, Chuck Grassley, Republican, 54.3
Louisa, Chuck Grassley, Republican, 66.9
Lucas, Chuck Grassley, Republican, 71.6
Lyon, Chuck Grassley, Republican, 85.2
Madison, Chuck Grassley, Republican, 69.5
Mahaska, Chuck Grassley, Republican, 74.5
Marion, Chuck Grassley, Republican, 70.4
Marshall, Chuck Grassley, Republican, 58.8
Mills, Chuck Grassley, Republican, 71.3
Mitchell, Chuck Grassley, Republican, 68.4
Monona, Chuck Grassley, Republican, 73.2
Monroe, Chuck Grassley, Republican, 64.1
Montgomery, Chuck Grassley, Republican, 73.7
Muscatine, Chuck Grassley, Republican, 58.4
O'Brien, Chuck Grassley, Republican, 83.2
Osceola, Chuck Grassley, Republican, 82.8
Page, Chuck Grassley, Republican, 75.2
Palo Alto, Chuck Grassley, Republican, 72.6
Plymouth, Chuck Grassley, Republican, 79.7
Pocahontas, Chuck Grassley, Republican, 75.6
Polk, Chuck Grassley, Republican, 51.7
Pottawattamie, Chuck Grassley, Republican, 62
Poweshiek, Chuck Grassley, Republican, 57.7
Ringgold, Chuck Grassley, Republican, 74.1
Sac, Chuck Grassley, Republican, 77.3
Scott, Chuck Grassley, Republican, 54.8
Shelby, Chuck Grassley, Republican, 73.3
Sioux, Chuck Grassley, Republican, 88.7
Story, Chuck Grassley, Republican, 51.7
Tama, Chuck Grassley, Republican, 63.5
Taylor, Chuck Grassley, Republican, 75.5
Union, Chuck Grassley, Republican, 67.8
Van Buren, Chuck Grassley, Republican, 74.1
Wapello, Chuck Grassley, Republican, 58.8
Warren, Chuck Grassley, Republican, 63.5
Washington, Chuck Grassley, Republican, 67.3
Wayne, Chuck Grassley, Republican, 74.9
Webster, Chuck Grassley, Republican, 64.4
Winnebago, Chuck Grassley, Republican, 68.4
Winneshiek, Chuck Grassley, Republican, 56.6
Woodbury, Chuck Grassley, Republican, 63.2
Worth, Chuck Grassley, Republican, 65.7
Wright, Chuck Grassley, Republican, 70.4
