Adams, Jim Doyle, Democrat, 55.9
Ashland, Jim Doyle, Democrat, 65.8
Barron, Jim Doyle, Democrat, 49.8
Bayfield, Jim Doyle, Democrat, 64.2
Brown, Mark Green, Republican, 50.2
Buffalo, Jim Doyle, Democrat, 57.4
Burnett, Jim Doyle, Democrat, 52.2
Calumet, Mark Green, Republican, 51.6
Chippewa, Jim Doyle, Democrat, 52.6
Clark, Jim Doyle, Democrat, 51.2
Columbia, Jim Doyle, Democrat, 52.6
Crawford, Jim Doyle, Democrat, 59.2
Dane, Jim Doyle, Democrat, 70
Dodge, Mark Green, Republican, 55.7
Door, Jim Doyle, Democrat, 52.7
Douglas, Jim Doyle, Democrat, 65.5
Dunn, Jim Doyle, Democrat, 55.2
Eau Claire, Jim Doyle, Democrat, 57.2
Florence, Mark Green, Republican, 55
Fond du Lac, Mark Green, Republican, 56.3
Forest, Jim Doyle, Democrat, 51.3
Grant, Jim Doyle, Democrat, 54.5
Green, Jim Doyle, Democrat, 58.7
Green Lake, Mark Green, Republican, 59
Iowa, Jim Doyle, Democrat, 62.2
Iron, Jim Doyle, Democrat, 56.1
Jackson, Jim Doyle, Democrat, 55.6
Jefferson, Mark Green, Republican, 51.8
Juneau, Mark Green, Republican, 49.5
Kenosha, Jim Doyle, Democrat, 55.5
Kewaunee, Mark Green, Republican, 49.5
La Crosse, Jim Doyle, Democrat, 57.3
Lafayette, Jim Doyle, Democrat, 57.2
Langlade, Mark Green, Republican, 49.8
Lincoln, Jim Doyle, Democrat, 54.3
Manitowoc, Mark Green, Republican, 49.8
Marathon, Jim Doyle, Democrat, 52.6
Marinette, Mark Green, Republican, 49.6
Marquette, Mark Green, Republican, 50.7
Menominee, Jim Doyle, Democrat, 82.6
Milwaukee, Jim Doyle, Democrat, 61.6
Monroe, Jim Doyle, Democrat, 48.8
Oconto, Mark Green, Republican, 52.1
Oneida, Jim Doyle, Democrat, 51.7
Outagamie, Jim Doyle, Democrat, 50
Ozaukee, Mark Green, Republican, 61.7
Pepin, Jim Doyle, Democrat, 55.7
Pierce, Jim Doyle, Democrat, 55.3
Polk, Jim Doyle, Democrat, 52.3
Portage, Jim Doyle, Democrat, 61.5
Price, Jim Doyle, Democrat, 55.8
Racine, Mark Green, Republican, 49.4
Richland, Jim Doyle, Democrat, 54.4
Rock, Jim Doyle, Democrat, 61.3
Rusk, Jim Doyle, Democrat, 51.7
St. Croix, Jim Doyle, Democrat, 49.8
Sauk, Jim Doyle, Democrat, 55.8
Sawyer, Jim Doyle, Democrat, 51.2
Shawano, Mark Green, Republican, 52.5
Sheboygan, Mark Green, Republican, 53.3
Taylor, Mark Green, Republican, 48.9
Trempealeau, Jim Doyle, Democrat, 58.6
Vernon, Jim Doyle, Democrat, 57.3
Vilas, Mark Green, Republican, 52.9
Walworth, Mark Green, Republican, 55.7
Washburn, Jim Doyle, Democrat, 50.7
Washington, Mark Green, Republican, 66.1
Waukesha, Mark Green, Republican, 63.7
Waupaca, Mark Green, Republican, 53.1
Waushara, Mark Green, Republican, 51.4
Winnebago, Jim Doyle, Democrat, 50.5
Wood, Jim Doyle, Democrat, 54.3
