Accomack, John Warner, Republican, 52.6
Albemarle, John Warner, Republican, 56.1
Alleghany, Mark Warner, Democrat, 55.6
Amelia, John Warner, Republican, 50.8
Amherst, John Warner, Republican, 50.5
Appomattox, Mark Warner, Democrat, 51.1
Arlington, Mark Warner, Democrat, 52.2
Augusta, John Warner, Republican, 62.8
Bath, Mark Warner, Democrat, 51.7
Bedford, John Warner, Republican, 57.3
Bland, Mark Warner, Democrat, 51
Botetourt, John Warner, Republican, 54.9
Brunswick, Mark Warner, Democrat, 61.5
Buchanan, Mark Warner, Democrat, 66.2
Buckingham, Mark Warner, Democrat, 55.6
Campbell, John Warner, Republican, 56.1
Caroline, Mark Warner, Democrat, 59.9
Carroll, John Warner, Republican, 50.2
Charles City, Mark Warner, Democrat, 69.6
Charlotte, Mark Warner, Democrat, 50.6
Chesterfield, John Warner, Republican, 58.5
Clarke, John Warner, Republican, 55.4
Craig, Mark Warner, Democrat, 55.6
Culpeper, John Warner, Republican, 58.1
Cumberland, Mark Warner, Democrat, 50.5
Dickenson, Mark Warner, Democrat, 68.9
Dinwiddie, Mark Warner, Democrat, 54.8
Essex, John Warner, Republican, 51.7
Fairfax, John Warner, Republican, 57.2
Fauquier, John Warner, Republican, 60.7
Floyd, John Warner, Republican, 50.5
Fluvanna, John Warner, Republican, 54.8
Franklin, Mark Warner, Democrat, 50.1
Frederick, John Warner, Republican, 60
Giles, Mark Warner, Democrat, 54.5
Gloucester, John Warner, Republican, 58.5
Goochland, John Warner, Republican, 53.9
Grayson, Mark Warner, Democrat, 53.3
Greene, John Warner, Republican, 60.3
Greensville, Mark Warner, Democrat, 65.8
Halifax, John Warner, Republican, 51.6
Hanover, John Warner, Republican, 60.2
Henrico, John Warner, Republican, 53.4
Henry, Mark Warner, Democrat, 53.3
Highland, John Warner, Republican, 52.1
Isle of Wight, John Warner, Republican, 56
James City, John Warner, Republican, 61.9
King and Queen, Mark Warner, Democrat, 57.8
King George, John Warner, Republican, 54.1
King William, Mark Warner, Democrat, 50.5
Lancaster, John Warner, Republican, 57.5
Lee, Mark Warner, Democrat, 60.3
Loudoun, John Warner, Republican, 59
Louisa, Mark Warner, Democrat, 51
Lunenburg, Mark Warner, Democrat, 50.1
Madison, John Warner, Republican, 59.2
Mathews, John Warner, Republican, 61.9
Mecklenburg, John Warner, Republican, 55.2
Middlesex, John Warner, Republican, 57.1
Montgomery, Mark Warner, Democrat, 50.7
Nelson, Mark Warner, Democrat, 55.7
New Kent, John Warner, Republican, 53
Northampton, Mark Warner, Democrat, 53.3
Northumberland, John Warner, Republican, 57.3
Nottoway, John Warner, Republican, 50.8
Orange, John Warner, Republican, 55.4
Page, John Warner, Republican, 50.4
Patrick, John Warner, Republican, 57
Pittsylvania, John Warner, Republican, 57.3
Powhatan, John Warner, Republican, 57.9
Prince Edward, Mark Warner, Democrat, 51.7
Prince George, John Warner, Republican, 50.3
Prince William, John Warner, Republican, 53.8
Pulaski, Mark Warner, Democrat, 54.6
Rappahannock, John Warner, Republican, 53.4
Richmond, John Warner, Republican, 54.2
Roanoke, John Warner, Republican, 55.6
Rockbridge, John Warner, Republican, 50.9
Rockingham, John Warner, Republican, 63.9
Russell, Mark Warner, Democrat, 62.2
Scott, Mark Warner, Democrat, 53.5
Shenandoah, John Warner, Republican, 61.2
Smyth, Mark Warner, Democrat, 54.8
Southampton, Mark Warner, Democrat, 52.9
Spotsylvania, John Warner, Republican, 54.3
Stafford, John Warner, Republican, 54
Surry, Mark Warner, Democrat, 57.9
Sussex, Mark Warner, Democrat, 57.3
Tazewell, Mark Warner, Democrat, 58.7
Warren, John Warner, Republican, 54.7
Washington, Mark Warner, Democrat, 50
Westmoreland, Mark Warner, Democrat, 51.8
Wise, Mark Warner, Democrat, 64.2
Wythe, Mark Warner, Democrat, 52.3
York, John Warner, Republican, 62.5
Alexandria City, Mark Warner, Democrat, 53.4
Bedford City, John Warner, Republican, 52.7
Bristol City, Mark Warner, Democrat, 55.8
Buena Vista City, Mark Warner, Democrat, 57.8
Charlottesville City, Mark Warner, Democrat, 58.3
Chesapeake City, John Warner, Republican, 52
Clifton Forge City, Mark Warner, Democrat, 60.4
Colonial Heights City, John Warner, Republican, 63.3
Covington City, Mark Warner, Democrat, 62.7
Danville City, John Warner, Republican, 51.9
Emporia City, Mark Warner, Democrat, 55.9
Fairfax City, John Warner, Republican, 58.4
Falls Church City, John Warner, Republican, 51.5
Franklin City, Mark Warner, Democrat, 53
Fredericksburg City, Mark Warner, Democrat, 51.4
Galax City, Mark Warner, Democrat, 52.1
Hampton City, Mark Warner, Democrat, 53.1
Harrisonburg City, John Warner, Republican, 58.4
Hopewell City, Mark Warner, Democrat, 50.4
Lexington City, John Warner, Republican, 52.3
Lynchburg City, John Warner, Republican, 52.4
Manassas City, John Warner, Republican, 56.7
Manassas Park City, John Warner, Republican, 52.9
Martinsville City, Mark Warner, Democrat, 54.1
Newport News City, John Warner, Republican, 52
Norfolk City, Mark Warner, Democrat, 57.4
Norton City, Mark Warner, Democrat, 64.9
Petersburg City, Mark Warner, Democrat, 74.4
Poquoson City, John Warner, Republican, 70.6
Portsmouth City, Mark Warner, Democrat, 58.8
Radford City, Mark Warner, Democrat, 54.2
Richmond City, Mark Warner, Democrat, 64.3
Roanoke City, Mark Warner, Democrat, 55.6
Salem City, John Warner, Republican, 51.8
Staunton City, John Warner, Republican, 57.1
Suffolk City, Mark Warner, Democrat, 50.9
Virginia Beach City, John Warner, Republican, 57.9
Waynesboro City, John Warner, Republican, 58.4
Williamsburg City, John Warner, Republican, 54.7
Winchester City, John Warner, Republican, 58.3
