Appling, Guy Millner, Republican, 51.2
Atkinson, Max Cleland, Democrat, 59.1
Bacon, Max Cleland, Democrat, 55.9
Baker, Max Cleland, Democrat, 70.8
Baldwin, Max Cleland, Democrat, 58
Banks, Guy Millner, Republican, 50
Barrow, Guy Millner, Republican, 52.7
Bartow, Guy Millner, Republican, 52.5
Ben Hill, Max Cleland, Democrat, 61.5
Berrien, Max Cleland, Democrat, 61
Bibb, Max Cleland, Democrat, 58.3
Bleckley, Max Cleland, Democrat, 55
Brantley, Max Cleland, Democrat, 51.3
Brooks, Max Cleland, Democrat, 56.6
Bryan, Guy Millner, Republican, 55.9
Bulloch, Guy Millner, Republican, 48.5
Burke, Max Cleland, Democrat, 58.7
Butts, Max Cleland, Democrat, 50.8
Calhoun, Max Cleland, Democrat, 70.8
Camden, Guy Millner, Republican, 56.4
Candler, Max Cleland, Democrat, 52.7
Carroll, Guy Millner, Republican, 49.9
Catoosa, Guy Millner, Republican, 67.3
Charlton, Guy Millner, Republican, 51.6
Chatham, Max Cleland, Democrat, 53.1
Chattahoochee, Max Cleland, Democrat, 50.9
Chattooga, Max Cleland, Democrat, 52
Cherokee, Guy Millner, Republican, 63.3
Clarke, Max Cleland, Democrat, 55.3
Clay, Max Cleland, Democrat, 66.4
Clayton, Max Cleland, Democrat, 55.5
Clinch, Max Cleland, Democrat, 59.8
Cobb, Guy Millner, Republican, 56
Coffee, Max Cleland, Democrat, 54.2
Colquitt, Max Cleland, Democrat, 53.4
Columbia, Guy Millner, Republican, 64.1
Cook, Max Cleland, Democrat, 62.8
Coweta, Guy Millner, Republican, 56.8
Crawford, Max Cleland, Democrat, 56.4
Crisp, Max Cleland, Democrat, 57.6
Dade, Guy Millner, Republican, 64.2
Dawson, Guy Millner, Republican, 55.4
Decatur, Max Cleland, Democrat, 52.2
DeKalb, Max Cleland, Democrat, 64.7
Dodge, Max Cleland, Democrat, 61.1
Dooly, Max Cleland, Democrat, 63.3
Dougherty, Max Cleland, Democrat, 60.8
Douglas, Guy Millner, Republican, 55
Early, Max Cleland, Democrat, 60.2
Echols, Max Cleland, Democrat, 52.4
Effingham, Guy Millner, Republican, 54.1
Elbert, Max Cleland, Democrat, 56.7
Emanuel, Max Cleland, Democrat, 55.6
Evans, Max Cleland, Democrat, 53.2
Fannin, Guy Millner, Republican, 58.3
Fayette, Guy Millner, Republican, 61.2
Floyd, Guy Millner, Republican, 48.8
Forsyth, Guy Millner, Republican, 65.4
Franklin, Max Cleland, Democrat, 49.8
Fulton, Max Cleland, Democrat, 57.6
Gilmer, Guy Millner, Republican, 54.7
Glascock, Max Cleland, Democrat, 52.3
Glynn, Guy Millner, Republican, 56.9
Gordon, Guy Millner, Republican, 52.6
Grady, Max Cleland, Democrat, 53.3
Greene, Max Cleland, Democrat, 53.5
Gwinnett, Guy Millner, Republican, 59.4
Habersham, Guy Millner, Republican, 55.2
Hall, Guy Millner, Republican, 56.9
Hancock, Max Cleland, Democrat, 76.9
Haralson, Max Cleland, Democrat, 47.7
Harris, Guy Millner, Republican, 53.4
Hart, Max Cleland, Democrat, 52.7
Heard, Max Cleland, Democrat, 52.1
Henry, Guy Millner, Republican, 57.6
Houston, Max Cleland, Democrat, 48.7
Irwin, Max Cleland, Democrat, 61.8
Jackson, Guy Millner, Republican, 51.2
Jasper, Max Cleland, Democrat, 49.8
Jeff Davis, Max Cleland, Democrat, 51.3
Jefferson, Max Cleland, Democrat, 62.5
Jenkins, Max Cleland, Democrat, 55.4
Johnson, Guy Millner, Republican, 54.3
Jones, Max Cleland, Democrat, 55.2
Lamar, Max Cleland, Democrat, 53.3
Lanier, Max Cleland, Democrat, 62.3
Laurens, Max Cleland, Democrat, 50.1
Lee, Guy Millner, Republican, 56.1
Liberty, Max Cleland, Democrat, 57.8
Lincoln, Max Cleland, Democrat, 52.2
Long, Max Cleland, Democrat, 55.8
Lowndes, Max Cleland, Democrat, 50.5
Lumpkin, Guy Millner, Republican, 50.3
McDuffie, Guy Millner, Republican, 49.5
McIntosh, Max Cleland, Democrat, 63
Macon, Max Cleland, Democrat, 67.6
Madison, Guy Millner, Republican, 58
Marion, Max Cleland, Democrat, 56.3
Meriwether, Max Cleland, Democrat, 57.4
Miller, Max Cleland, Democrat, 58.3
Mitchell, Max Cleland, Democrat, 65.5
Monroe, Max Cleland, Democrat, 51.3
Montgomery, Max Cleland, Democrat, 56.2
Morgan, Max Cleland, Democrat, 50.2
Murray, Guy Millner, Republican, 59.3
Muscogee, Max Cleland, Democrat, 55.8
Newton, Guy Millner, Republican, 48.8
Oconee, Guy Millner, Republican, 56.6
Oglethorpe, Guy Millner, Republican, 50.7
Paulding, Guy Millner, Republican, 57
Peach, Max Cleland, Democrat, 59.6
Pickens, Guy Millner, Republican, 48.7
Pierce, Guy Millner, Republican, 56.9
Pike, Guy Millner, Republican, 53.2
Polk, Max Cleland, Democrat, 52
Pulaski, Max Cleland, Democrat, 59.7
Putnam, Max Cleland, Democrat, 50.9
Quitman, Max Cleland, Democrat, 62.8
Rabun, Guy Millner, Republican, 51.3
Randolph, Max Cleland, Democrat, 60.8
Richmond, Max Cleland, Democrat, 56.9
Rockdale, Guy Millner, Republican, 56.2
Schley, Max Cleland, Democrat, 52.7
Screven, Max Cleland, Democrat, 53.6
Seminole, Max Cleland, Democrat, 59.9
Spalding, Guy Millner, Republican, 52.9
Stephens, Guy Millner, Republican, 55.5
Stewart, Max Cleland, Democrat, 64.9
Sumter, Max Cleland, Democrat, 56.3
Talbot, Max Cleland, Democrat, 64
Taliaferro, Max Cleland, Democrat, 69.6
Tattnall, Max Cleland, Democrat, 56.8
Taylor, Max Cleland, Democrat, 60.3
Telfair, Max Cleland, Democrat, 63.4
Terrell, Max Cleland, Democrat, 58.8
Thomas, Max Cleland, Democrat, 52.3
Tift, Max Cleland, Democrat, 50.6
Toombs, Guy Millner, Republican, 53
Towns, Guy Millner, Republican, 50.1
Treutlen, Max Cleland, Democrat, 59.4
Troup, Guy Millner, Republican, 53.4
Turner, Max Cleland, Democrat, 62.6
Twiggs, Max Cleland, Democrat, 66.7
Union, Guy Millner, Republican, 52.1
Upson, Max Cleland, Democrat, 49.7
Walker, Guy Millner, Republican, 63.6
Walton, Guy Millner, Republican, 55.2
Ware, Max Cleland, Democrat, 49.9
Warren, Max Cleland, Democrat, 62.4
Washington, Max Cleland, Democrat, 60.8
Wayne, Max Cleland, Democrat, 51.7
Webster, Max Cleland, Democrat, 62
Wheeler, Max Cleland, Democrat, 62.1
White, Guy Millner, Republican, 53
Whitfield, Guy Millner, Republican, 65.2
Wilcox, Max Cleland, Democrat, 61.2
Wilkes, Max Cleland, Democrat, 56
Wilkinson, Max Cleland, Democrat, 63.8
Worth, Max Cleland, Democrat, 53.9
