Adair, Wendell Willkie, Republican, 53.83
Andrew, Wendell Willkie, Republican, 58.81
Atchison, Wendell Willkie, Republican, 52.25
Audrain, Franklin D Roosevelt, Democrat, 69.21
Barry, Wendell Willkie, Republican, 55.68
Barton, Wendell Willkie, Republican, 51.09
Bates, Wendell Willkie, Republican, 53.33
Benton, Wendell Willkie, Republican, 68.69
Bollinger, Wendell Willkie, Republican, 57.55
Boone, Franklin D Roosevelt, Democrat, 70.21
Buchanan, Franklin D Roosevelt, Democrat, 58.3
Butler, Wendell Willkie, Republican, 56.21
Caldwell, Wendell Willkie, Republican, 59.23
Callaway, Franklin D Roosevelt, Democrat, 66.58
Camden, Wendell Willkie, Republican, 63.4
Cape Girardeau, Wendell Willkie, Republican, 51.71
Carroll, Wendell Willkie, Republican, 57.38
Carter, Franklin D Roosevelt, Democrat, 55.58
Cass, Franklin D Roosevelt, Democrat, 52.29
Cedar, Wendell Willkie, Republican, 66.99
Chariton, Franklin D Roosevelt, Democrat, 53.21
Christian, Wendell Willkie, Republican, 72.11
Clark, Wendell Willkie, Republican, 53.59
Clay, Franklin D Roosevelt, Democrat, 60.98
Clinton, Franklin D Roosevelt, Democrat, 55.5
Cole, Franklin D Roosevelt, Democrat, 51.72
Cooper, Wendell Willkie, Republican, 55.3
Crawford, Wendell Willkie, Republican, 56.79
Dade, Wendell Willkie, Republican, 67.87
Dallas, Wendell Willkie, Republican, 71
Daviess, Wendell Willkie, Republican, 56.25
DeKalb, Wendell Willkie, Republican, 54.93
Dent, Franklin D Roosevelt, Democrat, 53.78
Douglas, Wendell Willkie, Republican, 77.9
Dunklin, Franklin D Roosevelt, Democrat, 66.74
Franklin, Wendell Willkie, Republican, 58.58
Gasconade, Wendell Willkie, Republican, 82.03
Gentry, Franklin D Roosevelt, Democrat, 51.57
Greene, Franklin D Roosevelt, Democrat, 50.65
Grundy, Wendell Willkie, Republican, 54.24
Harrison, Wendell Willkie, Republican, 61.42
Henry, Wendell Willkie, Republican, 50.97
Hickory, Wendell Willkie, Republican, 75.84
Holt, Wendell Willkie, Republican, 58.22
Howard, Franklin D Roosevelt, Democrat, 66.97
Howell, Wendell Willkie, Republican, 59.23
Iron, Franklin D Roosevelt, Democrat, 54.65
Jackson, Franklin D Roosevelt, Democrat, 57.39
Jasper, Wendell Willkie, Republican, 50.19
Jefferson, Franklin D Roosevelt, Democrat, 55.82
Johnson, Wendell Willkie, Republican, 54.23
Knox, Franklin D Roosevelt, Democrat, 52.06
Laclede, Wendell Willkie, Republican, 59.69
Lafayette, Wendell Willkie, Republican, 55.91
Lawrence, Wendell Willkie, Republican, 57.88
Lewis, Franklin D Roosevelt, Democrat, 58.63
Lincoln, Franklin D Roosevelt, Democrat, 59.09
Linn, Franklin D Roosevelt, Democrat, 52.34
Livingston, Wendell Willkie, Republican, 53.21
Macon, Franklin D Roosevelt, Democrat, 53.13
Madison, Wendell Willkie, Republican, 50.87
Maries, Franklin D Roosevelt, Democrat, 54.17
Marion, Franklin D Roosevelt, Democrat, 62.09
McDonald, Wendell Willkie, Republican, 54.95
Mercer, Wendell Willkie, Republican, 66.98
Miller, Wendell Willkie, Republican, 55.87
Mississippi, Franklin D Roosevelt, Democrat, 58.46
Moniteau, Wendell Willkie, Republican, 55.32
Monroe, Franklin D Roosevelt, Democrat, 83.23
Montgomery, Wendell Willkie, Republican, 54.96
Morgan, Wendell Willkie, Republican, 56.98
New Madrid, Franklin D Roosevelt, Democrat, 60.2
Newton, Wendell Willkie, Republican, 56.14
Nodaway, Wendell Willkie, Republican, 50.21
Oregon, Franklin D Roosevelt, Democrat, 66.12
Osage, Wendell Willkie, Republican, 61.5
Ozark, Wendell Willkie, Republican, 77.66
Pemiscot, Franklin D Roosevelt, Democrat, 60.77
Perry, Wendell Willkie, Republican, 66.33
Pettis, Wendell Willkie, Republican, 50.91
Phelps, Franklin D Roosevelt, Democrat, 58.91
Pike, Franklin D Roosevelt, Democrat, 60.51
Platte, Franklin D Roosevelt, Democrat, 64.44
Polk, Wendell Willkie, Republican, 61.98
Pulaski, Franklin D Roosevelt, Democrat, 53.68
Putnam, Wendell Willkie, Republican, 68.84
Ralls, Franklin D Roosevelt, Democrat, 71.53
Randolph, Franklin D Roosevelt, Democrat, 73.26
Ray, Franklin D Roosevelt, Democrat, 62.88
Reynolds, Franklin D Roosevelt, Democrat, 66.83
Ripley, Franklin D Roosevelt, Democrat, 51.2
Saint Charles, Wendell Willkie, Republican, 59.14
Saint Clair, Wendell Willkie, Republican, 57.8
Saint Francois, Wendell Willkie, Republican, 51.55
Saint Louis County, Wendell Willkie, Republican, 55.88
Saint Louis City, Franklin D Roosevelt, Democrat, 57.98
Sainte Genevieve, Wendell Willkie, Republican, 56.63
Saline, Franklin D Roosevelt, Democrat, 52.03
Schuyler, Franklin D Roosevelt, Democrat, 53.31
Scotland, Franklin D Roosevelt, Democrat, 50.87
Scott, Franklin D Roosevelt, Democrat, 64
Shannon, Franklin D Roosevelt, Democrat, 63.44
Shelby, Franklin D Roosevelt, Democrat, 64.75
Stoddard, Franklin D Roosevelt, Democrat, 52.47
Stone, Wendell Willkie, Republican, 77.43
Sullivan, Wendell Willkie, Republican, 52.07
Taney, Wendell Willkie, Republican, 67.61
Texas, Wendell Willkie, Republican, 51.2
Vernon, Franklin D Roosevelt, Democrat, 53.44
Warren, Wendell Willkie, Republican, 78.34
Washington, Wendell Willkie, Republican, 56.92
Wayne, Franklin D Roosevelt, Democrat, 52.12
Webster, Wendell Willkie, Republican, 57.69
Worth, Wendell Willkie, Republican, 51.44
Wright, Wendell Willkie, Republican, 64.98
