Martin, Franklin D Roosevelt, Democrat, 97.76
Northampton, Franklin D Roosevelt, Democrat, 97.33
Bertie, Franklin D Roosevelt, Democrat, 97.1
Greene, Franklin D Roosevelt, Democrat, 96.64
Pitt, Franklin D Roosevelt, Democrat, 96.46
Hertford, Franklin D Roosevelt, Democrat, 96.4
Edgecombe, Franklin D Roosevelt, Democrat, 95.97
Halifax, Franklin D Roosevelt, Democrat, 95.67
Franklin, Franklin D Roosevelt, Democrat, 95.42
Granville, Franklin D Roosevelt, Democrat, 94.85
Chowan, Franklin D Roosevelt, Democrat, 94.68
Hoke, Franklin D Roosevelt, Democrat, 94.21
Currituck, Franklin D Roosevelt, Democrat, 93.76
Lenoir, Franklin D Roosevelt, Democrat, 93.42
Nash, Franklin D Roosevelt, Democrat, 93.24
Wilson, Franklin D Roosevelt, Democrat, 93.13
Gates, Franklin D Roosevelt, Democrat, 92.78
Anson, Franklin D Roosevelt, Democrat, 92.46
Scotland, Franklin D Roosevelt, Democrat, 92.26
Union, Franklin D Roosevelt, Democrat, 91.89
Vance, Franklin D Roosevelt, Democrat, 91.8
Warren, Franklin D Roosevelt, Democrat, 91.55
Robeson, Franklin D Roosevelt, Democrat, 90.86
Onslow, Franklin D Roosevelt, Democrat, 89.79
Richmond, Franklin D Roosevelt, Democrat, 89.34
Craven, Franklin D Roosevelt, Democrat, 88.7
Person, Franklin D Roosevelt, Democrat, 88.23
Pender, Franklin D Roosevelt, Democrat, 88.06
Camden, Franklin D Roosevelt, Democrat, 87.76
Lee, Franklin D Roosevelt, Democrat, 87.48
Wake, Franklin D Roosevelt, Democrat, 87.16
Caswell, Franklin D Roosevelt, Democrat, 86.93
Pasquotank, Franklin D Roosevelt, Democrat, 86.75
Columbus, Franklin D Roosevelt, Democrat, 86.33
Durham, Franklin D Roosevelt, Democrat, 85.6
Beaufort, Franklin D Roosevelt, Democrat, 85.52
Jones, Franklin D Roosevelt, Democrat, 85.47
Cumberland, Franklin D Roosevelt, Democrat, 84.4
Bladen, Franklin D Roosevelt, Democrat, 84.34
New Hanover, Franklin D Roosevelt, Democrat, 84.03
Perquimans, Franklin D Roosevelt, Democrat, 83.76
Washington, Franklin D Roosevelt, Democrat, 82.65
Cleveland, Franklin D Roosevelt, Democrat, 82.59
Rockingham, Franklin D Roosevelt, Democrat, 82.51
Cabarrus, Franklin D Roosevelt, Democrat, 82.03
Wayne, Franklin D Roosevelt, Democrat, 81.41
Duplin, Franklin D Roosevelt, Democrat, 81.06
Mecklenburg, Franklin D Roosevelt, Democrat, 80.4
Gaston, Franklin D Roosevelt, Democrat, 80.08
Hyde, Franklin D Roosevelt, Democrat, 79.55
Dare, Franklin D Roosevelt, Democrat, 79.4
Haywood, Franklin D Roosevelt, Democrat, 78.55
Alamance, Franklin D Roosevelt, Democrat, 77.17
Orange, Franklin D Roosevelt, Democrat, 76.95
Rowan, Franklin D Roosevelt, Democrat, 76.24
Forsyth, Franklin D Roosevelt, Democrat, 74.36
Harnett, Franklin D Roosevelt, Democrat, 74.33
Buncombe, Franklin D Roosevelt, Democrat, 74.04
Tyrrell, Franklin D Roosevelt, Democrat, 73.31
Guilford, Franklin D Roosevelt, Democrat, 73.11
Iredell, Franklin D Roosevelt, Democrat, 73
McDowell, Franklin D Roosevelt, Democrat, 70.48
Johnston, Franklin D Roosevelt, Democrat, 70.41
Chatham, Franklin D Roosevelt, Democrat, 68.76
Carteret, Franklin D Roosevelt, Democrat, 68.53
Surry, Franklin D Roosevelt, Democrat, 67.98
Rutherford, Franklin D Roosevelt, Democrat, 67.84
Caldwell, Franklin D Roosevelt, Democrat, 67.82
Catawba, Franklin D Roosevelt, Democrat, 66.51
Pamlico, Franklin D Roosevelt, Democrat, 66.48
Jackson, Franklin D Roosevelt, Democrat, 65.44
Brunswick, Franklin D Roosevelt, Democrat, 64.1
Henderson, Franklin D Roosevelt, Democrat, 63.06
Swain, Franklin D Roosevelt, Democrat, 62.96
Montgomery, Franklin D Roosevelt, Democrat, 62.7
Moore, Franklin D Roosevelt, Democrat, 62.6
Transylvania, Franklin D Roosevelt, Democrat, 62.13
Polk, Franklin D Roosevelt, Democrat, 61.63
Alleghany, Franklin D Roosevelt, Democrat, 61.6
Davidson, Franklin D Roosevelt, Democrat, 61.37
Lincoln, Franklin D Roosevelt, Democrat, 61.26
Stokes, Franklin D Roosevelt, Democrat, 61.18
Burke, Franklin D Roosevelt, Democrat, 59.7
Yancey, Franklin D Roosevelt, Democrat, 58.1
Stanly, Franklin D Roosevelt, Democrat, 58.04
Graham, Franklin D Roosevelt, Democrat, 56.32
Macon, Franklin D Roosevelt, Democrat, 55.99
Alexander, Franklin D Roosevelt, Democrat, 55.27
Randolph, Franklin D Roosevelt, Democrat, 54.51
Cherokee, Franklin D Roosevelt, Democrat, 54.32
Clay, Franklin D Roosevelt, Democrat, 53.43
Davie, Franklin D Roosevelt, Democrat, 53.35
Ashe, Franklin D Roosevelt, Democrat, 53.04
Watauga, Wendell Willkie, Republican, 50.84
Yadkin, Wendell Willkie, Republican, 52.69
Sampson, Wendell Willkie, Republican, 53.04
Wilkes, Wendell Willkie, Republican, 53.64
Madison, Wendell Willkie, Republican, 59.28
Mitchell, Wendell Willkie, Republican, 69.41
Avery, Wendell Willkie, Republican, 71.15
