Aitkin, Wendell Willkie, Republican, 50.12
Anoka, Franklin D Roosevelt, Democrat, 55.66
Becker, Franklin D Roosevelt, Democrat, 59.47
Beltrami, Franklin D Roosevelt, Democrat, 65.68
Benton, Wendell Willkie, Republican, 55.76
Big Stone, Franklin D Roosevelt, Democrat, 56.16
Blue Earth, Wendell Willkie, Republican, 61.87
Brown, Wendell Willkie, Republican, 66.66
Carlton, Franklin D Roosevelt, Democrat, 67.09
Carver, Wendell Willkie, Republican, 78.62
Cass, Franklin D Roosevelt, Democrat, 51.47
Chippewa, Franklin D Roosevelt, Democrat, 54.07
Chisago, Wendell Willkie, Republican, 55.97
Clay, Franklin D Roosevelt, Democrat, 58.32
Clearwater, Franklin D Roosevelt, Democrat, 70.31
Cook, Franklin D Roosevelt, Democrat, 50.22
Cottonwood, Wendell Willkie, Republican, 58.28
Crow Wing, Franklin D Roosevelt, Democrat, 54.79
Dakota, Franklin D Roosevelt, Democrat, 52.57
Dodge, Wendell Willkie, Republican, 57.9
Douglas, Wendell Willkie, Republican, 50.53
Faribault, Wendell Willkie, Republican, 62.13
Fillmore, Wendell Willkie, Republican, 66.98
Freeborn, Franklin D Roosevelt, Democrat, 50.75
Goodhue, Wendell Willkie, Republican, 58.09
Grant, Wendell Willkie, Republican, 51.28
Hennepin, Franklin D Roosevelt, Democrat, 53.69
Houston, Wendell Willkie, Republican, 69.48
Hubbard, Wendell Willkie, Republican, 54
Isanti, Franklin D Roosevelt, Democrat, 49.51
Itasca, Franklin D Roosevelt, Democrat, 64.89
Jackson, Franklin D Roosevelt, Democrat, 54.33
Kanabec, Wendell Willkie, Republican, 50.85
Kandiyohi, Franklin D Roosevelt, Democrat, 62.28
Kittson, Franklin D Roosevelt, Democrat, 70.69
Koochiching, Franklin D Roosevelt, Democrat, 70.98
Lac qui Parle, Wendell Willkie, Republican, 54.73
Lake, Franklin D Roosevelt, Democrat, 73.67
Lake of the Woods, Franklin D Roosevelt, Democrat, 64.79
Le Sueur, Wendell Willkie, Republican, 59.52
Lincoln, Franklin D Roosevelt, Democrat, 52.95
Lyon, Franklin D Roosevelt, Democrat, 54.66
McLeod, Wendell Willkie, Republican, 68.73
Mahnomen, Franklin D Roosevelt, Democrat, 64.4
Marshall, Franklin D Roosevelt, Democrat, 64.67
Martin, Wendell Willkie, Republican, 59.79
Meeker, Wendell Willkie, Republican, 57.86
Mille Lacs, Franklin D Roosevelt, Democrat, 50.61
Morrison, Wendell Willkie, Republican, 52.43
Mower, Franklin D Roosevelt, Democrat, 52.49
Murray, Franklin D Roosevelt, Democrat, 51
Nicollet, Wendell Willkie, Republican, 62.01
Nobles, Wendell Willkie, Republican, 56.34
Norman, Franklin D Roosevelt, Democrat, 62.81
Olmsted, Wendell Willkie, Republican, 51.83
Otter Tail, Wendell Willkie, Republican, 63.51
Pennington, Franklin D Roosevelt, Democrat, 66.53
Pine, Franklin D Roosevelt, Democrat, 55.25
Pipestone, Wendell Willkie, Republican, 58.59
Polk, Franklin D Roosevelt, Democrat, 66.64
Pope, Franklin D Roosevelt, Democrat, 53.63
Ramsey, Franklin D Roosevelt, Democrat, 57.17
Red Lake, Franklin D Roosevelt, Democrat, 69.4
Redwood, Wendell Willkie, Republican, 62.41
Renville, Wendell Willkie, Republican, 57.15
Rice, Wendell Willkie, Republican, 63.25
Rock, Wendell Willkie, Republican, 59.46
Roseau, Franklin D Roosevelt, Democrat, 70.05
Saint Louis, Franklin D Roosevelt, Democrat, 66.87
Scott, Wendell Willkie, Republican, 59.13
Sherburne, Wendell Willkie, Republican, 60.64
Sibley, Wendell Willkie, Republican, 73.32
Stearns, Wendell Willkie, Republican, 63.01
Steele, Wendell Willkie, Republican, 59.97
Stevens, Wendell Willkie, Republican, 56.3
Swift, Franklin D Roosevelt, Democrat, 57.61
Todd, Wendell Willkie, Republican, 57.73
Traverse, Franklin D Roosevelt, Democrat, 59.14
Wabasha, Wendell Willkie, Republican, 67.95
Wadena, Wendell Willkie, Republican, 54.27
Waseca, Wendell Willkie, Republican, 62.6
Washington, Wendell Willkie, Republican, 51.41
Watonwan, Wendell Willkie, Republican, 55.3
Wilkin, Franklin D Roosevelt, Democrat, 51.2
Winona, Wendell Willkie, Republican, 56.83
Wright, Wendell Willkie, Republican, 67.04
Yellow Medicine, Wendell Willkie, Republican, 50.89
