Alfalfa, Wendell Willkie, Republican, 56.93
Atoka, Franklin D Roosevelt, Democrat, 61.75
Beaver, Wendell Willkie, Republican, 51.82
Beckham, Franklin D Roosevelt, Democrat, 67.79
Blaine, Wendell Willkie, Republican, 56.54
Bryan, Franklin D Roosevelt, Democrat, 80.42
Caddo, Franklin D Roosevelt, Democrat, 56.54
Canadian, Franklin D Roosevelt, Democrat, 53.79
Carter, Franklin D Roosevelt, Democrat, 75.96
Cherokee, Wendell Willkie, Republican, 50.98
Choctaw, Franklin D Roosevelt, Democrat, 68.47
Cimarron, Franklin D Roosevelt, Democrat, 53.37
Cleveland, Franklin D Roosevelt, Democrat, 61.48
Coal, Franklin D Roosevelt, Democrat, 67.24
Comanche, Franklin D Roosevelt, Democrat, 64.51
Cotton, Franklin D Roosevelt, Democrat, 65.57
Craig, Franklin D Roosevelt, Democrat, 54.52
Creek, Franklin D Roosevelt, Democrat, 53.55
Custer, Franklin D Roosevelt, Democrat, 57.14
Delaware, Franklin D Roosevelt, Democrat, 50.7
Dewey, Wendell Willkie, Republican, 51.87
Ellis, Wendell Willkie, Republican, 56.36
Garfield, Wendell Willkie, Republican, 52.64
Garvin, Franklin D Roosevelt, Democrat, 70.02
Grady, Franklin D Roosevelt, Democrat, 65.03
Grant, Wendell Willkie, Republican, 53.01
Greer, Franklin D Roosevelt, Democrat, 74.35
Harmon, Franklin D Roosevelt, Democrat, 75.37
Harper, Wendell Willkie, Republican, 52.59
Haskell, Franklin D Roosevelt, Democrat, 59.34
Hughes, Franklin D Roosevelt, Democrat, 65.31
Jackson, Franklin D Roosevelt, Democrat, 75.41
Jefferson, Franklin D Roosevelt, Democrat, 75.38
Johnston, Franklin D Roosevelt, Democrat, 68.26
Kay, Franklin D Roosevelt, Democrat, 51.36
Kingfisher, Wendell Willkie, Republican, 56.27
Kiowa, Franklin D Roosevelt, Democrat, 64.52
Latimer, Franklin D Roosevelt, Democrat, 65.84
Le Flore, Franklin D Roosevelt, Democrat, 64.03
Lincoln, Wendell Willkie, Republican, 54.16
Logan, Wendell Willkie, Republican, 53.08
Love, Franklin D Roosevelt, Democrat, 78.07
Major, Wendell Willkie, Republican, 70.6
Marshall, Franklin D Roosevelt, Democrat, 72.23
Mayes, Franklin D Roosevelt, Democrat, 52.63
McClain, Franklin D Roosevelt, Democrat, 66.8
McCurtain, Franklin D Roosevelt, Democrat, 75.63
McIntosh, Franklin D Roosevelt, Democrat, 51.84
Murray, Franklin D Roosevelt, Democrat, 71.35
Muskogee, Franklin D Roosevelt, Democrat, 57.28
Noble, Wendell Willkie, Republican, 51.56
Nowata, Franklin D Roosevelt, Democrat, 51.2
Okfuskee, Franklin D Roosevelt, Democrat, 60.19
Oklahoma, Franklin D Roosevelt, Democrat, 59.86
Okmulgee, Franklin D Roosevelt, Democrat, 61.9
Osage, Franklin D Roosevelt, Democrat, 58.26
Ottawa, Franklin D Roosevelt, Democrat, 57.69
Pawnee, Wendell Willkie, Republican, 53.47
Payne, Franklin D Roosevelt, Democrat, 52.99
Pittsburg, Franklin D Roosevelt, Democrat, 69.29
Pontotoc, Franklin D Roosevelt, Democrat, 72.77
Pottawatomie, Franklin D Roosevelt, Democrat, 63.76
Pushmataha, Franklin D Roosevelt, Democrat, 69.7
Roger Mills, Franklin D Roosevelt, Democrat, 62.83
Rogers, Wendell Willkie, Republican, 50.2
Seminole, Franklin D Roosevelt, Democrat, 61.75
Sequoyah, Franklin D Roosevelt, Democrat, 53.97
Stephens, Franklin D Roosevelt, Democrat, 67.04
Texas, Franklin D Roosevelt, Democrat, 59.26
Tillman, Franklin D Roosevelt, Democrat, 75.6
Tulsa, Wendell Willkie, Republican, 54.83
Wagoner, Wendell Willkie, Republican, 61
Washington, Wendell Willkie, Republican, 53.86
Washita, Franklin D Roosevelt, Democrat, 58.74
Woods, Franklin D Roosevelt, Democrat, 50.04
Woodward, Wendell Willkie, Republican, 54.51
