Accomack, Franklin D Roosevelt, Democrat, 62.38
Albemarle, Franklin D Roosevelt, Democrat, 67.05
Alleghany, Franklin D Roosevelt, Democrat, 64.67
Amelia, Franklin D Roosevelt, Democrat, 67.63
Amherst, Franklin D Roosevelt, Democrat, 87.26
Appomattox, Franklin D Roosevelt, Democrat, 83.93
Arlington, Franklin D Roosevelt, Democrat, 55.16
Augusta, Franklin D Roosevelt, Democrat, 60.78
Bath, Franklin D Roosevelt, Democrat, 54.17
Bedford, Franklin D Roosevelt, Democrat, 75.9
Bland, Franklin D Roosevelt, Democrat, 51.97
Botetourt, Franklin D Roosevelt, Democrat, 54.87
Brunswick, Franklin D Roosevelt, Democrat, 88.46
Buchanan, Franklin D Roosevelt, Democrat, 66.37
Buckingham, Franklin D Roosevelt, Democrat, 73.82
Campbell, Franklin D Roosevelt, Democrat, 83.65
Caroline, Franklin D Roosevelt, Democrat, 78.51
Carroll, Wendell Willkie, Republican, 54.19
Charles City, Franklin D Roosevelt, Democrat, 72.12
Charlotte, Franklin D Roosevelt, Democrat, 85.24
Chesterfield, Franklin D Roosevelt, Democrat, 78.71
Clarke, Franklin D Roosevelt, Democrat, 75.58
Craig, Franklin D Roosevelt, Democrat, 68.55
Culpeper, Franklin D Roosevelt, Democrat, 67.34
Cumberland, Franklin D Roosevelt, Democrat, 70.84
Dickenson, Franklin D Roosevelt, Democrat, 58.74
Dinwiddie, Franklin D Roosevelt, Democrat, 80.64
Elizabeth City, Franklin D Roosevelt, Democrat, 77.9
Essex, Franklin D Roosevelt, Democrat, 78.93
Fairfax, Franklin D Roosevelt, Democrat, 57.65
Fauquier, Franklin D Roosevelt, Democrat, 71.07
Floyd, Wendell Willkie, Republican, 66.94
Fluvanna, Franklin D Roosevelt, Democrat, 70.52
Franklin, Franklin D Roosevelt, Democrat, 68.63
Frederick, Franklin D Roosevelt, Democrat, 67.79
Giles, Franklin D Roosevelt, Democrat, 62.54
Gloucester, Franklin D Roosevelt, Democrat, 79.41
Goochland, Franklin D Roosevelt, Democrat, 81.67
Grayson, Wendell Willkie, Republican, 50.78
Greene, Franklin D Roosevelt, Democrat, 56.28
Greensville, Franklin D Roosevelt, Democrat, 84.38
Halifax, Franklin D Roosevelt, Democrat, 89.94
Hanover, Franklin D Roosevelt, Democrat, 78.36
Henrico, Franklin D Roosevelt, Democrat, 66.25
Henry, Franklin D Roosevelt, Democrat, 78.73
Highland, Wendell Willkie, Republican, 53.13
Isle of Wight, Franklin D Roosevelt, Democrat, 84.55
James City, Franklin D Roosevelt, Democrat, 67.4
King and Queen, Franklin D Roosevelt, Democrat, 74.49
King George, Franklin D Roosevelt, Democrat, 75.4
King William, Franklin D Roosevelt, Democrat, 74.79
Lancaster, Franklin D Roosevelt, Democrat, 68.63
Lee, Franklin D Roosevelt, Democrat, 61.39
Loudoun, Franklin D Roosevelt, Democrat, 66.73
Louisa, Franklin D Roosevelt, Democrat, 60.46
Lunenburg, Franklin D Roosevelt, Democrat, 89.26
Madison, Franklin D Roosevelt, Democrat, 51.56
Mathews, Franklin D Roosevelt, Democrat, 62.51
Mecklenburg, Franklin D Roosevelt, Democrat, 88.54
Middlesex, Franklin D Roosevelt, Democrat, 82.19
Montgomery, Franklin D Roosevelt, Democrat, 53.2
Nansemond, Franklin D Roosevelt, Democrat, 91.55
Nelson, Franklin D Roosevelt, Democrat, 79.4
New Kent, Franklin D Roosevelt, Democrat, 68.26
Norfolk, Franklin D Roosevelt, Democrat, 85.39
Northampton, Franklin D Roosevelt, Democrat, 70.52
Northumberland, Franklin D Roosevelt, Democrat, 64.61
Nottoway, Franklin D Roosevelt, Democrat, 77.06
Orange, Franklin D Roosevelt, Democrat, 72.94
Page, Wendell Willkie, Republican, 50.36
Patrick, Franklin D Roosevelt, Democrat, 73.99
Pittsylvania, Franklin D Roosevelt, Democrat, 83.28
Powhatan, Franklin D Roosevelt, Democrat, 76.23
Prince Edward, Franklin D Roosevelt, Democrat, 77.35
Prince George, Franklin D Roosevelt, Democrat, 82.81
Prince William, Franklin D Roosevelt, Democrat, 73.97
Princess Anne, Franklin D Roosevelt, Democrat, 79.04
Pulaski, Franklin D Roosevelt, Democrat, 68.39
Rappahannock, Franklin D Roosevelt, Democrat, 72.06
Richmond, Franklin D Roosevelt, Democrat, 64.1
Roanoke, Franklin D Roosevelt, Democrat, 60.11
Rockbridge, Franklin D Roosevelt, Democrat, 63.83
Rockingham, Wendell Willkie, Republican, 52.71
Russell, Franklin D Roosevelt, Democrat, 59.79
Scott, Wendell Willkie, Republican, 54.58
Shenandoah, Wendell Willkie, Republican, 58.87
Smyth, Franklin D Roosevelt, Democrat, 52.95
Southampton, Franklin D Roosevelt, Democrat, 87.02
Spotsylvania, Franklin D Roosevelt, Democrat, 68.02
Stafford, Franklin D Roosevelt, Democrat, 63.28
Surry, Franklin D Roosevelt, Democrat, 84.58
Sussex, Franklin D Roosevelt, Democrat, 81.62
Tazewell, Franklin D Roosevelt, Democrat, 56.8
Warren, Franklin D Roosevelt, Democrat, 73
Warwick, Franklin D Roosevelt, Democrat, 77.57
Washington, Franklin D Roosevelt, Democrat, 54.3
Westmoreland, Franklin D Roosevelt, Democrat, 70.24
Wise, Franklin D Roosevelt, Democrat, 75.66
Wythe, Franklin D Roosevelt, Democrat, 52.72
York, Franklin D Roosevelt, Democrat, 80.31
Alexandria City, Franklin D Roosevelt, Democrat, 68.67
Bristol City, Franklin D Roosevelt, Democrat, 76.94
Buena Vista City, Franklin D Roosevelt, Democrat, 70.89
Charlottesville City, Franklin D Roosevelt, Democrat, 69.94
Clifton Forge City, Franklin D Roosevelt, Democrat, 76.41
Danville City, Franklin D Roosevelt, Democrat, 80.27
Fredericksburg City, Franklin D Roosevelt, Democrat, 66.26
Hampton City, Franklin D Roosevelt, Democrat, 81.66
Harrisonburg City, Franklin D Roosevelt, Democrat, 58.93
Hopewell City, Franklin D Roosevelt, Democrat, 76.05
Lynchburg City, Franklin D Roosevelt, Democrat, 70.22
Martinsville City, Franklin D Roosevelt, Democrat, 78.15
Newport News City, Franklin D Roosevelt, Democrat, 81.41
Norfolk City, Franklin D Roosevelt, Democrat, 75.38
Petersburg City, Franklin D Roosevelt, Democrat, 77.9
Portsmouth City, Franklin D Roosevelt, Democrat, 87.83
Radford City, Franklin D Roosevelt, Democrat, 65.21
Richmond City, Franklin D Roosevelt, Democrat, 75.99
Roanoke City, Franklin D Roosevelt, Democrat, 65.85
South Norfolk City, Franklin D Roosevelt, Democrat, 85.5
Staunton City, Franklin D Roosevelt, Democrat, 59.75
Suffolk City, Franklin D Roosevelt, Democrat, 76.03
Williamsburg City, Franklin D Roosevelt, Democrat, 67.84
Winchester City, Franklin D Roosevelt, Democrat, 53.89
