Anderson, Franklin D Roosevelt, Democrat, 54.22
Bedford, Franklin D Roosevelt, Democrat, 81.29
Benton, Franklin D Roosevelt, Democrat, 69.38
Bledsoe, Franklin D Roosevelt, Democrat, 53.69
Blount, Wendell Willkie, Republican, 55.85
Bradley, Wendell Willkie, Republican, 56.71
Campbell, Wendell Willkie, Republican, 50.78
Cannon, Franklin D Roosevelt, Democrat, 72.05
Carroll, Franklin D Roosevelt, Democrat, 50.16
Carter, Wendell Willkie, Republican, 65.4
Cheatham, Franklin D Roosevelt, Democrat, 85.26
Chester, Franklin D Roosevelt, Democrat, 60.23
Claiborne, Wendell Willkie, Republican, 49.95
Clay, Franklin D Roosevelt, Democrat, 70.58
Cocke, Wendell Willkie, Republican, 75.35
Coffee, Franklin D Roosevelt, Democrat, 83.96
Crockett, Franklin D Roosevelt, Democrat, 73.41
Cumberland, Wendell Willkie, Republican, 50.32
Davidson, Franklin D Roosevelt, Democrat, 75.89
Decatur, Franklin D Roosevelt, Democrat, 58.77
DeKalb, Franklin D Roosevelt, Democrat, 58.1
Dickson, Franklin D Roosevelt, Democrat, 83.88
Dyer, Franklin D Roosevelt, Democrat, 77.03
Fayette, Franklin D Roosevelt, Democrat, 95.8
Fentress, Wendell Willkie, Republican, 58.91
Franklin, Franklin D Roosevelt, Democrat, 88.13
Gibson, Franklin D Roosevelt, Democrat, 80.29
Giles, Franklin D Roosevelt, Democrat, 84.34
Grainger, Wendell Willkie, Republican, 66.01
Greene, Wendell Willkie, Republican, 50.21
Grundy, Franklin D Roosevelt, Democrat, 85.07
Hamblen, Franklin D Roosevelt, Democrat, 53
Hamilton, Franklin D Roosevelt, Democrat, 63.45
Hancock, Wendell Willkie, Republican, 61.94
Hardeman, Franklin D Roosevelt, Democrat, 88.66
Hardin, Wendell Willkie, Republican, 53.31
Hawkins, Wendell Willkie, Republican, 60.72
Haywood, Franklin D Roosevelt, Democrat, 96.33
Henderson, Wendell Willkie, Republican, 62.84
Henry, Franklin D Roosevelt, Democrat, 85.1
Hickman, Franklin D Roosevelt, Democrat, 80.84
Houston, Franklin D Roosevelt, Democrat, 82.12
Humphreys, Franklin D Roosevelt, Democrat, 81.88
Jackson, Franklin D Roosevelt, Democrat, 76.92
Jefferson, Wendell Willkie, Republican, 63.95
Johnson, Wendell Willkie, Republican, 84.21
Knox, Franklin D Roosevelt, Democrat, 58.96
Lake, Franklin D Roosevelt, Democrat, 92.94
Lauderdale, Franklin D Roosevelt, Democrat, 95.09
Lawrence, Franklin D Roosevelt, Democrat, 67.44
Lewis, Franklin D Roosevelt, Democrat, 78.26
Lincoln, Franklin D Roosevelt, Democrat, 87.62
Loudon, Wendell Willkie, Republican, 51.56
Macon, Wendell Willkie, Republican, 70.76
Madison, Franklin D Roosevelt, Democrat, 82.63
Marion, Franklin D Roosevelt, Democrat, 59.65
Marshall, Franklin D Roosevelt, Democrat, 88.9
Maury, Franklin D Roosevelt, Democrat, 87.33
McMinn, Franklin D Roosevelt, Democrat, 56.92
McNairy, Wendell Willkie, Republican, 50.66
Meigs, Franklin D Roosevelt, Democrat, 60.81
Monroe, Franklin D Roosevelt, Democrat, 55.57
Montgomery, Franklin D Roosevelt, Democrat, 79.15
Moore, Franklin D Roosevelt, Democrat, 88.49
Morgan, Franklin D Roosevelt, Democrat, 55.18
Obion, Franklin D Roosevelt, Democrat, 88.73
Overton, Franklin D Roosevelt, Democrat, 62.86
Perry, Franklin D Roosevelt, Democrat, 76.12
Pickett, Wendell Willkie, Republican, 55.63
Polk, Franklin D Roosevelt, Democrat, 86.53
Putnam, Franklin D Roosevelt, Democrat, 65.21
Rhea, Franklin D Roosevelt, Democrat, 54.52
Roane, Franklin D Roosevelt, Democrat, 51.27
Robertson, Franklin D Roosevelt, Democrat, 86.49
Rutherford, Franklin D Roosevelt, Democrat, 83.99
Scott, Wendell Willkie, Republican, 59.93
Sequatchie, Franklin D Roosevelt, Democrat, 71.24
Sevier, Wendell Willkie, Republican, 79.46
Shelby, Franklin D Roosevelt, Democrat, 88.61
Smith, Franklin D Roosevelt, Democrat, 77.22
Stewart, Franklin D Roosevelt, Democrat, 87.4
Sullivan, Franklin D Roosevelt, Democrat, 63.34
Sumner, Franklin D Roosevelt, Democrat, 80.75
Tipton, Franklin D Roosevelt, Democrat, 95.13
Trousdale, Franklin D Roosevelt, Democrat, 90.63
Unicoi, Wendell Willkie, Republican, 64.67
Union, Wendell Willkie, Republican, 62.66
Van Buren, Franklin D Roosevelt, Democrat, 69.52
Warren, Franklin D Roosevelt, Democrat, 80.46
Washington, Wendell Willkie, Republican, 56.67
Wayne, Wendell Willkie, Republican, 69.21
Weakley, Franklin D Roosevelt, Democrat, 74.74
White, Franklin D Roosevelt, Democrat, 77.05
Williamson, Franklin D Roosevelt, Democrat, 85.82
Wilson, Franklin D Roosevelt, Democrat, 82.04
