Arkansas, Franklin D Roosevelt, Democrat, 74.87
Ashley, Franklin D Roosevelt, Democrat, 90.71
Baxter, Franklin D Roosevelt, Democrat, 63.39
Benton, Franklin D Roosevelt, Democrat, 54.59
Boone, Franklin D Roosevelt, Democrat, 71.59
Bradley, Franklin D Roosevelt, Democrat, 93.85
Calhoun, Franklin D Roosevelt, Democrat, 94.9
Carroll, Franklin D Roosevelt, Democrat, 59.69
Chicot, Franklin D Roosevelt, Democrat, 90.71
Clark, Franklin D Roosevelt, Democrat, 86.29
Clay, Franklin D Roosevelt, Democrat, 60.31
Cleburne, Franklin D Roosevelt, Democrat, 68.47
Cleveland, Franklin D Roosevelt, Democrat, 94.37
Columbia, Franklin D Roosevelt, Democrat, 93.72
Conway, Franklin D Roosevelt, Democrat, 88.33
Craighead, Franklin D Roosevelt, Democrat, 77.43
Crawford, Franklin D Roosevelt, Democrat, 68.21
Crittenden, Franklin D Roosevelt, Democrat, 96.37
Cross, Franklin D Roosevelt, Democrat, 85.8
Dallas, Franklin D Roosevelt, Democrat, 88.28
Desha, Franklin D Roosevelt, Democrat, 89.78
Drew, Franklin D Roosevelt, Democrat, 87.95
Faulkner, Franklin D Roosevelt, Democrat, 82.68
Franklin, Franklin D Roosevelt, Democrat, 83.3
Fulton, Franklin D Roosevelt, Democrat, 70.84
Garland, Franklin D Roosevelt, Democrat, 69.89
Grant, Franklin D Roosevelt, Democrat, 86.7
Greene, Franklin D Roosevelt, Democrat, 81.17
Hempstead, Franklin D Roosevelt, Democrat, 87.15
Hot Spring, Franklin D Roosevelt, Democrat, 78.03
Howard, Franklin D Roosevelt, Democrat, 78.05
Independence, Franklin D Roosevelt, Democrat, 70.68
Izard, Franklin D Roosevelt, Democrat, 74.19
Jackson, Franklin D Roosevelt, Democrat, 84.59
Jefferson, Franklin D Roosevelt, Democrat, 86.45
Johnson, Franklin D Roosevelt, Democrat, 81.38
Lafayette, Franklin D Roosevelt, Democrat, 88.02
Lawrence, Franklin D Roosevelt, Democrat, 73.93
Lee, Franklin D Roosevelt, Democrat, 90.76
Lincoln, Franklin D Roosevelt, Democrat, 89.37
Little River, Franklin D Roosevelt, Democrat, 79.31
Logan, Franklin D Roosevelt, Democrat, 72.66
Lonoke, Franklin D Roosevelt, Democrat, 85.35
Madison, Franklin D Roosevelt, Democrat, 50.97
Marion, Franklin D Roosevelt, Democrat, 71.94
Miller, Franklin D Roosevelt, Democrat, 83.88
Mississippi, Franklin D Roosevelt, Democrat, 89.24
Monroe, Franklin D Roosevelt, Democrat, 92
Montgomery, Franklin D Roosevelt, Democrat, 71.42
Nevada, Franklin D Roosevelt, Democrat, 85.83
Newton, Wendell Willkie, Republican, 53.17
Ouachita, Franklin D Roosevelt, Democrat, 91.08
Perry, Franklin D Roosevelt, Democrat, 79.09
Phillips, Franklin D Roosevelt, Democrat, 90.12
Pike, Franklin D Roosevelt, Democrat, 69.13
Poinsett, Franklin D Roosevelt, Democrat, 85.9
Polk, Franklin D Roosevelt, Democrat, 67.55
Pope, Franklin D Roosevelt, Democrat, 82.55
Prairie, Franklin D Roosevelt, Democrat, 75.92
Pulaski, Franklin D Roosevelt, Democrat, 82.52
Randolph, Franklin D Roosevelt, Democrat, 77.42
St. Francis, Franklin D Roosevelt, Democrat, 88.23
Saline, Franklin D Roosevelt, Democrat, 87.21
Scott, Franklin D Roosevelt, Democrat, 73.32
Searcy, Wendell Willkie, Republican, 56.72
Sebastian, Franklin D Roosevelt, Democrat, 72.44
Sevier, Franklin D Roosevelt, Democrat, 82.03
Sharp, Franklin D Roosevelt, Democrat, 71.5
Stone, Franklin D Roosevelt, Democrat, 60.93
Union, Franklin D Roosevelt, Democrat, 90.59
Van Buren, Franklin D Roosevelt, Democrat, 72.65
Washington, Franklin D Roosevelt, Democrat, 60.48
White, Franklin D Roosevelt, Democrat, 78.8
Woodruff, Franklin D Roosevelt, Democrat, 86.43
Yell, Franklin D Roosevelt, Democrat, 90.64
