Accomack, Mark Warner, Democrat, 50.3
Albemarle, Mark Warner, Democrat, 56.3
Alexandria, Mark Warner, Democrat, 68.2
Alleghany, Mark Warner, Democrat, 59
Amelia, Mark Earley, Republican, 52.7
Amherst, Mark Warner, Democrat, 50.8
Appomattox, Mark Warner, Democrat, 51.3
Arlington, Mark Warner, Democrat, 68.3
Augusta, Mark Earley, Republican, 61.9
Bath, Mark Warner, Democrat, 51.8
Bedford County, Mark Earley, Republican, 57.8
Bedford City, Mark Warner, Democrat, 56.9
Bland, Mark Earley, Republican, 51.2
Botetourt, Mark Earley, Republican, 55.4
Bristol, Mark Earley, Republican, 50.9
Brunswick, Mark Warner, Democrat, 65.3
Buchanan, Mark Warner, Democrat, 65.7
Buckingham, Mark Warner, Democrat, 59.1
Buena Vista, Mark Warner, Democrat, 58.6
Campbell, Mark Earley, Republican, 53.1
Caroline, Mark Warner, Democrat, 60.8
Carroll, Mark Earley, Republican, 57.2
Charles City, Mark Warner, Democrat, 73.1
Charlotte, Mark Warner, Democrat, 51.4
Charlottesville, Mark Warner, Democrat, 72.9
Chesapeake, Mark Earley, Republican, 53.8
Chesterfield, Mark Earley, Republican, 57.3
Clarke, Mark Earley, Republican, 49.7
Colonial Heights, Mark Earley, Republican, 66.9
Covington, Mark Warner, Democrat, 62.7
Craig, Mark Warner, Democrat, 50.3
Culpeper, Mark Earley, Republican, 57.1
Cumberland, Mark Warner, Democrat, 50
Danville, Mark Warner, Democrat, 53.5
Dickenson, Mark Warner, Democrat, 61
Dinwiddie, Mark Warner, Democrat, 52.3
Emporia, Mark Warner, Democrat, 59.4
Essex, Mark Warner, Democrat, 54.2
Fairfax County, Mark Warner, Democrat, 54.5
Fairfax, Mark Warner, Democrat, 51.7
Falls Church, Mark Warner, Democrat, 65.8
Fauquier, Mark Earley, Republican, 57.2
Floyd, Mark Earley, Republican, 51.9
Fluvanna, Mark Earley, Republican, 51.7
Franklin County, Mark Warner, Democrat, 51.3
Franklin City, Mark Warner, Democrat, 64.5
