Anderson, Herbert Hoover, Republican, 59.51
Bedford, Franklin D Roosevelt, Democrat, 78.12
Benton, Franklin D Roosevelt, Democrat, 76.2
Bledsoe, Franklin D Roosevelt, Democrat, 51.86
Blount, Herbert Hoover, Republican, 67.29
Bradley, Herbert Hoover, Republican, 54.1
Campbell, Herbert Hoover, Republican, 59.34
Cannon, Franklin D Roosevelt, Democrat, 76.63
Carroll, Franklin D Roosevelt, Democrat, 50.48
Carter, Herbert Hoover, Republican, 76.26
Cheatham, Franklin D Roosevelt, Democrat, 87.71
Chester, Franklin D Roosevelt, Democrat, 72.59
Claiborne, Franklin D Roosevelt, Democrat, 66.82
Clay, Franklin D Roosevelt, Democrat, 68.48
Cocke, Herbert Hoover, Republican, 59.36
Coffee, Franklin D Roosevelt, Democrat, 81.25
Crockett, Franklin D Roosevelt, Democrat, 78.39
Cumberland, Franklin D Roosevelt, Democrat, 50.71
Davidson, Franklin D Roosevelt, Democrat, 74.07
Decatur, Franklin D Roosevelt, Democrat, 62.08
DeKalb, Franklin D Roosevelt, Democrat, 60.29
Dickson, Franklin D Roosevelt, Democrat, 84.33
Dyer, Franklin D Roosevelt, Democrat, 90.12
Fayette, Franklin D Roosevelt, Democrat, 95.62
Fentress, Herbert Hoover, Republican, 56.31
Franklin, Franklin D Roosevelt, Democrat, 88.65
Gibson, Franklin D Roosevelt, Democrat, 84.42
Giles, Franklin D Roosevelt, Democrat, 81.15
Grainger, Herbert Hoover, Republican, 56.31
Greene, Franklin D Roosevelt, Democrat, 56.61
Grundy, Franklin D Roosevelt, Democrat, 82.12
Hamblen, Franklin D Roosevelt, Democrat, 57.69
Hamilton, Franklin D Roosevelt, Democrat, 60.56
Hancock, Herbert Hoover, Republican, 66.4
Hardeman, Franklin D Roosevelt, Democrat, 88.69
Hardin, Herbert Hoover, Republican, 55.97
Hawkins, Herbert Hoover, Republican, 54.51
Haywood, Franklin D Roosevelt, Democrat, 95.01
Henderson, Herbert Hoover, Republican, 52.14
Henry, Franklin D Roosevelt, Democrat, 88.08
Hickman, Franklin D Roosevelt, Democrat, 82.18
Houston, Franklin D Roosevelt, Democrat, 86.51
Humphreys, Franklin D Roosevelt, Democrat, 85.44
Jackson, Franklin D Roosevelt, Democrat, 86.91
Jefferson, Herbert Hoover, Republican, 68.59
Johnson, Herbert Hoover, Republican, 84.51
Knox, Franklin D Roosevelt, Democrat, 51.39
Lake, Franklin D Roosevelt, Democrat, 95.9
Lauderdale, Franklin D Roosevelt, Democrat, 90.94
Lawrence, Franklin D Roosevelt, Democrat, 65.48
Lewis, Franklin D Roosevelt, Democrat, 85.36
Lincoln, Franklin D Roosevelt, Democrat, 90.26
Loudon, Herbert Hoover, Republican, 51.87
Macon, Herbert Hoover, Republican, 55.65
Madison, Franklin D Roosevelt, Democrat, 79.83
Marion, Franklin D Roosevelt, Democrat, 61.14
Marshall, Franklin D Roosevelt, Democrat, 87.73
Maury, Franklin D Roosevelt, Democrat, 85.83
McMinn, Herbert Hoover, Republican, 50.77
McNairy, Franklin D Roosevelt, Democrat, 59.01
Meigs, Franklin D Roosevelt, Democrat, 59.66
Monroe, Franklin D Roosevelt, Democrat, 65.97
Montgomery, Franklin D Roosevelt, Democrat, 77.47
Moore, Franklin D Roosevelt, Democrat, 92.67
Morgan, Herbert Hoover, Republican, 54.19
Obion, Franklin D Roosevelt, Democrat, 89.18
Overton, Franklin D Roosevelt, Democrat, 76.8
Perry, Franklin D Roosevelt, Democrat, 78.95
Pickett, Franklin D Roosevelt, Democrat, 50.28
Polk, Franklin D Roosevelt, Democrat, 60.74
Putnam, Franklin D Roosevelt, Democrat, 69.08
Rhea, Franklin D Roosevelt, Democrat, 51.05
Roane, Herbert Hoover, Republican, 54.89
Robertson, Franklin D Roosevelt, Democrat, 90.71
Rutherford, Franklin D Roosevelt, Democrat, 86.24
Scott, Herbert Hoover, Republican, 64.29
Sequatchie, Franklin D Roosevelt, Democrat, 72.21
Sevier, Herbert Hoover, Republican, 77.01
Shelby, Franklin D Roosevelt, Democrat, 84.76
Smith, Franklin D Roosevelt, Democrat, 77.1
Stewart, Franklin D Roosevelt, Democrat, 88.76
Sullivan, Franklin D Roosevelt, Democrat, 63.04
Sumner, Franklin D Roosevelt, Democrat, 90.47
Tipton, Franklin D Roosevelt, Democrat, 94.23
Trousdale, Franklin D Roosevelt, Democrat, 92.78
Unicoi, Herbert Hoover, Republican, 66.87
Union, Herbert Hoover, Republican, 58.95
Van Buren, Franklin D Roosevelt, Democrat, 73.59
Warren, Franklin D Roosevelt, Democrat, 84.09
Washington, Herbert Hoover, Republican, 51.71
Wayne, Herbert Hoover, Republican, 66.02
Weakley, Franklin D Roosevelt, Democrat, 82.52
White, Franklin D Roosevelt, Democrat, 82.79
Williamson, Franklin D Roosevelt, Democrat, 89.96
Wilson, Franklin D Roosevelt, Democrat, 82.26
