Arkansas, Franklin D Roosevelt, Democrat, 84.45
Ashley, Franklin D Roosevelt, Democrat, 92.83
Baxter, Franklin D Roosevelt, Democrat, 82.85
Benton, Franklin D Roosevelt, Democrat, 72.62
Boone, Franklin D Roosevelt, Democrat, 78.11
Bradley, Franklin D Roosevelt, Democrat, 93.76
Calhoun, Franklin D Roosevelt, Democrat, 94.85
Carroll, Franklin D Roosevelt, Democrat, 73.1
Chicot, Franklin D Roosevelt, Democrat, 94.38
Clark, Franklin D Roosevelt, Democrat, 93.88
Clay, Franklin D Roosevelt, Democrat, 82
Cleburne, Franklin D Roosevelt, Democrat, 88.29
Cleveland, Franklin D Roosevelt, Democrat, 93.87
Columbia, Franklin D Roosevelt, Democrat, 96.22
Conway, Franklin D Roosevelt, Democrat, 89.24
Craighead, Franklin D Roosevelt, Democrat, 87.09
Crawford, Franklin D Roosevelt, Democrat, 77.46
Crittenden, Franklin D Roosevelt, Democrat, 98.25
Cross, Franklin D Roosevelt, Democrat, 95.47
Dallas, Franklin D Roosevelt, Democrat, 93.16
Desha, Franklin D Roosevelt, Democrat, 94.51
Drew, Franklin D Roosevelt, Democrat, 89.39
Faulkner, Franklin D Roosevelt, Democrat, 84.77
Franklin, Franklin D Roosevelt, Democrat, 84.83
Fulton, Franklin D Roosevelt, Democrat, 83.84
Garland, Franklin D Roosevelt, Democrat, 83.6
Grant, Franklin D Roosevelt, Democrat, 96.5
Greene, Franklin D Roosevelt, Democrat, 91.43
Hempstead, Franklin D Roosevelt, Democrat, 89.9
Hot Spring, Franklin D Roosevelt, Democrat, 90.59
Howard, Franklin D Roosevelt, Democrat, 91.02
Independence, Franklin D Roosevelt, Democrat, 86.34
Izard, Franklin D Roosevelt, Democrat, 85.27
Jackson, Franklin D Roosevelt, Democrat, 92.58
Jefferson, Franklin D Roosevelt, Democrat, 92.23
Johnson, Franklin D Roosevelt, Democrat, 81.6
Lafayette, Franklin D Roosevelt, Democrat, 90.5
Lawrence, Franklin D Roosevelt, Democrat, 89.54
Lee, Franklin D Roosevelt, Democrat, 97.44
Lincoln, Franklin D Roosevelt, Democrat, 96.3
Little River, Franklin D Roosevelt, Democrat, 91.8
Logan, Franklin D Roosevelt, Democrat, 78.54
Lonoke, Franklin D Roosevelt, Democrat, 94.04
Madison, Franklin D Roosevelt, Democrat, 55.01
Marion, Franklin D Roosevelt, Democrat, 80.18
Miller, Franklin D Roosevelt, Democrat, 91.57
Mississippi, Franklin D Roosevelt, Democrat, 93.12
Monroe, Franklin D Roosevelt, Democrat, 90.59
Montgomery, Franklin D Roosevelt, Democrat, 85.97
Nevada, Franklin D Roosevelt, Democrat, 91.97
Newton, Franklin D Roosevelt, Democrat, 62.32
Ouachita, Franklin D Roosevelt, Democrat, 87.66
Perry, Franklin D Roosevelt, Democrat, 91.38
Phillips, Franklin D Roosevelt, Democrat, 94.66
Pike, Franklin D Roosevelt, Democrat, 89.21
Poinsett, Franklin D Roosevelt, Democrat, 93.01
Polk, Franklin D Roosevelt, Democrat, 83.67
Pope, Franklin D Roosevelt, Democrat, 88.49
Prairie, Franklin D Roosevelt, Democrat, 91.21
Pulaski, Franklin D Roosevelt, Democrat, 85.46
Randolph, Franklin D Roosevelt, Democrat, 90.1
St. Francis, Franklin D Roosevelt, Democrat, 92.56
Saline, Franklin D Roosevelt, Democrat, 93.47
Scott, Franklin D Roosevelt, Democrat, 79.42
Searcy, Franklin D Roosevelt, Democrat, 52.38
Sebastian, Franklin D Roosevelt, Democrat, 78.87
Sevier, Franklin D Roosevelt, Democrat, 91.61
Sharp, Franklin D Roosevelt, Democrat, 89.89
Stone, Franklin D Roosevelt, Democrat, 79.14
Union, Franklin D Roosevelt, Democrat, 94.61
Van Buren, Franklin D Roosevelt, Democrat, 77.04
Washington, Franklin D Roosevelt, Democrat, 75.36
White, Franklin D Roosevelt, Democrat, 87.75
Woodruff, Franklin D Roosevelt, Democrat, 92.19
Yell, Franklin D Roosevelt, Democrat, 87.77
