Bertie, Franklin D Roosevelt, Democrat, 97.83
Martin, Franklin D Roosevelt, Democrat, 97.37
Pitt, Franklin D Roosevelt, Democrat, 96.55
Hoke, Franklin D Roosevelt, Democrat, 96.22
Greene, Franklin D Roosevelt, Democrat, 96.28
Currituck, Franklin D Roosevelt, Democrat, 96.02
Chowan, Franklin D Roosevelt, Democrat, 95.96
Warren, Franklin D Roosevelt, Democrat, 95.82
Edgecombe, Franklin D Roosevelt, Democrat, 95.62
Northampton, Franklin D Roosevelt, Democrat, 95.47
Franklin, Franklin D Roosevelt, Democrat, 95.34
Hertford, Franklin D Roosevelt, Democrat, 95.08
Halifax, Franklin D Roosevelt, Democrat, 94.98
Anson, Franklin D Roosevelt, Democrat, 94.91
Granville, Franklin D Roosevelt, Democrat, 94.51
Nash, Franklin D Roosevelt, Democrat, 92.79
Gates, Franklin D Roosevelt, Democrat, 93.01
Lenoir, Franklin D Roosevelt, Democrat, 92.6
Scotland, Franklin D Roosevelt, Democrat, 92.42
Vance, Franklin D Roosevelt, Democrat, 92.03
Camden, Franklin D Roosevelt, Democrat, 92.05
Wilson, Franklin D Roosevelt, Democrat, 91.55
Jones, Franklin D Roosevelt, Democrat, 91.42
Caswell, Franklin D Roosevelt, Democrat, 91.39
Onslow, Franklin D Roosevelt, Democrat, 90.89
Robeson, Franklin D Roosevelt, Democrat, 90.48
Craven, Franklin D Roosevelt, Democrat, 90.02
Pasquotank, Franklin D Roosevelt, Democrat, 89.49
Union, Franklin D Roosevelt, Democrat, 88.84
Pender, Franklin D Roosevelt, Democrat, 87.64
Hyde, Franklin D Roosevelt, Democrat, 87.43
Richmond, Franklin D Roosevelt, Democrat, 86.96
Columbus, Franklin D Roosevelt, Democrat, 86.55
Wake, Franklin D Roosevelt, Democrat, 86.02
Beaufort, Franklin D Roosevelt, Democrat, 86.33
Perquimans, Franklin D Roosevelt, Democrat, 84.94
Cumberland, Franklin D Roosevelt, Democrat, 83.77
Lee, Franklin D Roosevelt, Democrat, 81.5
Cleveland, Franklin D Roosevelt, Democrat, 80.6
New Hanover, Franklin D Roosevelt, Democrat, 79.33
Duplin, Franklin D Roosevelt, Democrat, 79.46
Wayne, Franklin D Roosevelt, Democrat, 79.01
Mecklenburg, Franklin D Roosevelt, Democrat, 77.9
Person, Franklin D Roosevelt, Democrat, 77.8
Tyrrell, Franklin D Roosevelt, Democrat, 76.78
Bladen, Franklin D Roosevelt, Democrat, 75.85
Washington, Franklin D Roosevelt, Democrat, 72.71
Rockingham, Franklin D Roosevelt, Democrat, 72.37
Durham, Franklin D Roosevelt, Democrat, 70.78
Orange, Franklin D Roosevelt, Democrat, 69.57
Dare, Franklin D Roosevelt, Democrat, 71.16
Gaston, Franklin D Roosevelt, Democrat, 70.78
Johnston, Franklin D Roosevelt, Democrat, 70.86
Cabarrus, Franklin D Roosevelt, Democrat, 70.68
Harnett, Franklin D Roosevelt, Democrat, 70.42
Forsyth, Franklin D Roosevelt, Democrat, 69.73
Alleghany, Franklin D Roosevelt, Democrat, 70.28
Iredell, Franklin D Roosevelt, Democrat, 69.7
Pamlico, Franklin D Roosevelt, Democrat, 67.34
Haywood, Franklin D Roosevelt, Democrat, 68.54
Rowan, Franklin D Roosevelt, Democrat, 67.81
Buncombe, Franklin D Roosevelt, Democrat, 66.69
Guilford, Franklin D Roosevelt, Democrat, 66.42
Carteret, Franklin D Roosevelt, Democrat, 65.5
McDowell, Franklin D Roosevelt, Democrat, 65.68
Rutherford, Franklin D Roosevelt, Democrat, 64.93
Alamance, Franklin D Roosevelt, Democrat, 63.97
Moore, Franklin D Roosevelt, Democrat, 63.11
Polk, Franklin D Roosevelt, Democrat, 62.48
Surry, Franklin D Roosevelt, Democrat, 62.05
Chatham, Franklin D Roosevelt, Democrat, 61.68
Jackson, Franklin D Roosevelt, Democrat, 60.49
Davidson, Franklin D Roosevelt, Democrat, 59.95
Alexander, Franklin D Roosevelt, Democrat, 59.86
Transylvania, Franklin D Roosevelt, Democrat, 59.84
Caldwell, Franklin D Roosevelt, Democrat, 59.07
Catawba, Franklin D Roosevelt, Democrat, 58.9
Stanly, Franklin D Roosevelt, Democrat, 58.87
Stokes, Franklin D Roosevelt, Democrat, 58.76
Yancey, Franklin D Roosevelt, Democrat, 58.66
Macon, Franklin D Roosevelt, Democrat, 57.97
Montgomery, Franklin D Roosevelt, Democrat, 57.41
Swain, Franklin D Roosevelt, Democrat, 55.78
Henderson, Franklin D Roosevelt, Democrat, 55.37
Brunswick, Franklin D Roosevelt, Democrat, 55.3
Lincoln, Franklin D Roosevelt, Democrat, 55.02
Ashe, Franklin D Roosevelt, Democrat, 54.86
Burke, Franklin D Roosevelt, Democrat, 54.64
Randolph, Franklin D Roosevelt, Democrat, 54.44
Sampson, Franklin D Roosevelt, Democrat, 53.66
Graham, Franklin D Roosevelt, Democrat, 53.32
Watauga, Franklin D Roosevelt, Democrat, 51.76
Cherokee, Franklin D Roosevelt, Democrat, 51.48
Clay, Franklin D Roosevelt, Democrat, 51.3
Davie, Herbert Hoover, Republican, 50.52
Wilkes, Herbert Hoover, Republican, 53.64
Yadkin, Herbert Hoover, Republican, 54.82
Madison, Herbert Hoover, Republican, 61.76
Mitchell, Herbert Hoover, Republican, 68.06
Avery, Herbert Hoover, Republican, 72.64
