Accomack, Franklin D Roosevelt, Democrat, 81.74
Albemarle, Franklin D Roosevelt, Democrat, 78.24
Alleghany, Franklin D Roosevelt, Democrat, 53.5
Amelia, Franklin D Roosevelt, Democrat, 82.08
Amherst, Franklin D Roosevelt, Democrat, 89.09
Appomattox, Franklin D Roosevelt, Democrat, 83.99
Arlington, Franklin D Roosevelt, Democrat, 52.69
Augusta, Franklin D Roosevelt, Democrat, 61.51
Bath, Franklin D Roosevelt, Democrat, 59.88
Bedford, Franklin D Roosevelt, Democrat, 81.99
Bland, Franklin D Roosevelt, Democrat, 57.74
Botetourt, Franklin D Roosevelt, Democrat, 59.12
Brunswick, Franklin D Roosevelt, Democrat, 95.58
Buchanan, Franklin D Roosevelt, Democrat, 65.24
Buckingham, Franklin D Roosevelt, Democrat, 79.82
Campbell, Franklin D Roosevelt, Democrat, 83.72
Caroline, Franklin D Roosevelt, Democrat, 78.89
Carroll, Franklin D Roosevelt, Democrat, 50.79
Charles City, Franklin D Roosevelt, Democrat, 73.13
Charlotte, Franklin D Roosevelt, Democrat, 88.02
Chesterfield, Franklin D Roosevelt, Democrat, 69.9
Clarke, Franklin D Roosevelt, Democrat, 86.43
Craig, Franklin D Roosevelt, Democrat, 67.18
Culpeper, Franklin D Roosevelt, Democrat, 75.7
Cumberland, Franklin D Roosevelt, Democrat, 84.05
Dickenson, Franklin D Roosevelt, Democrat, 67.95
Dinwiddie, Franklin D Roosevelt, Democrat, 90.18
Elizabeth City, Franklin D Roosevelt, Democrat, 62.58
Essex, Franklin D Roosevelt, Democrat, 80.15
Fairfax, Franklin D Roosevelt, Democrat, 65.33
Fauquier, Franklin D Roosevelt, Democrat, 83.43
Floyd, Herbert Hoover, Republican, 59.99
Fluvanna, Franklin D Roosevelt, Democrat, 75.39
Franklin, Franklin D Roosevelt, Democrat, 72.96
Frederick, Franklin D Roosevelt, Democrat, 76.19
Giles, Franklin D Roosevelt, Democrat, 62.6
Gloucester, Franklin D Roosevelt, Democrat, 75.64
Goochland, Franklin D Roosevelt, Democrat, 77.65
Grayson, Franklin D Roosevelt, Democrat, 58.26
Greene, Franklin D Roosevelt, Democrat, 60.43
Greensville, Franklin D Roosevelt, Democrat, 85.33
Halifax, Franklin D Roosevelt, Democrat, 91.85
Hanover, Franklin D Roosevelt, Democrat, 80.56
Henrico, Franklin D Roosevelt, Democrat, 63.43
Henry, Franklin D Roosevelt, Democrat, 76.25
Highland, Franklin D Roosevelt, Democrat, 55.37
Isle of Wight, Franklin D Roosevelt, Democrat, 77.02
James City, Franklin D Roosevelt, Democrat, 71.06
King and Queen, Franklin D Roosevelt, Democrat, 68.79
King George, Franklin D Roosevelt, Democrat, 69.65
King William, Franklin D Roosevelt, Democrat, 76.12
Lancaster, Franklin D Roosevelt, Democrat, 68.93
Lee, Franklin D Roosevelt, Democrat, 58.84
Loudoun, Franklin D Roosevelt, Democrat, 79.45
Louisa, Franklin D Roosevelt, Democrat, 68.62
Lunenburg, Franklin D Roosevelt, Democrat, 91.5
Madison, Franklin D Roosevelt, Democrat, 61.52
Mathews, Franklin D Roosevelt, Democrat, 56.5
Mecklenburg, Franklin D Roosevelt, Democrat, 88.3
Middlesex, Franklin D Roosevelt, Democrat, 80.19
Montgomery, Franklin D Roosevelt, Democrat, 53.01
Nansemond, Franklin D Roosevelt, Democrat, 86.22
Nelson, Franklin D Roosevelt, Democrat, 85.61
New Kent, Franklin D Roosevelt, Democrat, 70.44
Norfolk, Franklin D Roosevelt, Democrat, 72.09
Northampton, Franklin D Roosevelt, Democrat, 80.15
Northumberland, Franklin D Roosevelt, Democrat, 71.27
Nottoway, Franklin D Roosevelt, Democrat, 80.67
Orange, Franklin D Roosevelt, Democrat, 79.96
Page, Franklin D Roosevelt, Democrat, 58.61
Patrick, Franklin D Roosevelt, Democrat, 72.42
Pittsylvania, Franklin D Roosevelt, Democrat, 81.35
Powhatan, Franklin D Roosevelt, Democrat, 78.02
Prince Edward, Franklin D Roosevelt, Democrat, 81.04
Prince George, Franklin D Roosevelt, Democrat, 83.03
Prince William, Franklin D Roosevelt, Democrat, 78.61
Princess Anne, Franklin D Roosevelt, Democrat, 76.29
Pulaski, Franklin D Roosevelt, Democrat, 66.99
Rappahannock, Franklin D Roosevelt, Democrat, 81.94
Richmond, Franklin D Roosevelt, Democrat, 69.95
Roanoke, Franklin D Roosevelt, Democrat, 58.79
Rockbridge, Franklin D Roosevelt, Democrat, 67.35
Rockingham, Franklin D Roosevelt, Democrat, 53.85
Russell, Franklin D Roosevelt, Democrat, 70.09
Scott, Franklin D Roosevelt, Democrat, 55.64
Shenandoah, Franklin D Roosevelt, Democrat, 50.51
Smyth, Franklin D Roosevelt, Democrat, 54.5
Southampton, Franklin D Roosevelt, Democrat, 87.15
Spotsylvania, Franklin D Roosevelt, Democrat, 68.35
Stafford, Franklin D Roosevelt, Democrat, 61.38
Surry, Franklin D Roosevelt, Democrat, 88.72
Sussex, Franklin D Roosevelt, Democrat, 83.39
Tazewell, Franklin D Roosevelt, Democrat, 56.97
Warren, Franklin D Roosevelt, Democrat, 74.46
Warwick, Franklin D Roosevelt, Democrat, 71.67
Washington, Franklin D Roosevelt, Democrat, 60.17
Westmoreland, Franklin D Roosevelt, Democrat, 74.8
Wise, Franklin D Roosevelt, Democrat, 68.13
Wythe, Franklin D Roosevelt, Democrat, 53.56
York, Franklin D Roosevelt, Democrat, 56.84
Alexandria City, Franklin D Roosevelt, Democrat, 70.29
Bristol City, Franklin D Roosevelt, Democrat, 79.09
Buena Vista City, Franklin D Roosevelt, Democrat, 58.9
Charlottesville City, Franklin D Roosevelt, Democrat, 75.53
Clifton Forge City, Franklin D Roosevelt, Democrat, 72.15
Danville City, Franklin D Roosevelt, Democrat, 73.41
Fredericksburg City, Franklin D Roosevelt, Democrat, 68.18
Hampton City, Franklin D Roosevelt, Democrat, 71.22
Harrisonburg City, Franklin D Roosevelt, Democrat, 58.81
Hopewell City, Franklin D Roosevelt, Democrat, 72.5
Lynchburg City, Franklin D Roosevelt, Democrat, 74.07
Martinsville City, Franklin D Roosevelt, Democrat, 77.14
Newport News City, Franklin D Roosevelt, Democrat, 62.8
Norfolk City, Franklin D Roosevelt, Democrat, 65.45
Petersburg City, Franklin D Roosevelt, Democrat, 78.69
Portsmouth City, Franklin D Roosevelt, Democrat, 63.17
Radford City, Franklin D Roosevelt, Democrat, 59.63
Richmond City, Franklin D Roosevelt, Democrat, 70.75
Roanoke City, Franklin D Roosevelt, Democrat, 65.15
South Norfolk City, Franklin D Roosevelt, Democrat, 63.17
Staunton City, Franklin D Roosevelt, Democrat, 63.54
Suffolk City, Franklin D Roosevelt, Democrat, 78.71
Williamsburg City, Franklin D Roosevelt, Democrat, 76.63
Winchester City, Franklin D Roosevelt, Democrat, 61.73
