Edgecombe, James M Cox, Democrat, 99.29
Northampton, James M Cox, Democrat, 93.32
Currituck, James M Cox, Democrat, 92.08
Bertie, James M Cox, Democrat, 89.67
Hoke, James M Cox, Democrat, 88.41
Anson, James M Cox, Democrat, 88
Halifax, James M Cox, Democrat, 86.74
Warren, James M Cox, Democrat, 86.34
New Hanover, James M Cox, Democrat, 85.21
Scotland, James M Cox, Democrat, 84.78
Chowan, James M Cox, Democrat, 83.92
Hertford, James M Cox, Democrat, 83.32
Pitt, James M Cox, Democrat, 82.92
Martin, James M Cox, Democrat, 82.85
Craven, James M Cox, Democrat, 82.36
Franklin, James M Cox, Democrat, 82.32
Camden, James M Cox, Democrat, 79.18
Greene, James M Cox, Democrat, 78.98
Pasquotank, James M Cox, Democrat, 77.4
Mecklenburg, James M Cox, Democrat, 76.78
Granville, James M Cox, Democrat, 75.89
Vance, James M Cox, Democrat, 75.1
Richmond, James M Cox, Democrat, 74.83
Union, James M Cox, Democrat, 74.8
Robeson, James M Cox, Democrat, 73.58
Nash, James M Cox, Democrat, 72.15
Wilson, James M Cox, Democrat, 71.79
Jones, James M Cox, Democrat, 71.46
Caswell, James M Cox, Democrat, 71.04
Gates, James M Cox, Democrat, 70.88
Pender, James M Cox, Democrat, 69.33
Lenoir, James M Cox, Democrat, 68.95
Wake, James M Cox, Democrat, 68.71
Perquimans, James M Cox, Democrat, 68.15
Hyde, James M Cox, Democrat, 68.15
Lee, James M Cox, Democrat, 67.06
Onslow, James M Cox, Democrat, 64.61
Bladen, James M Cox, Democrat, 64.57
Cleveland, James M Cox, Democrat, 63.7
Columbus, James M Cox, Democrat, 63.57
Wayne, James M Cox, Democrat, 62.95
Cumberland, James M Cox, Democrat, 62.11
Beaufort, James M Cox, Democrat, 60.85
Iredell, James M Cox, Democrat, 59.51
Haywood, James M Cox, Democrat, 58.5
Tyrrell, James M Cox, Democrat, 57.44
Rowan, James M Cox, Democrat, 56.78
Durham, James M Cox, Democrat, 56.69
Dare, James M Cox, Democrat, 56.62
Pamlico, James M Cox, Democrat, 56.06
Rutherford, James M Cox, Democrat, 55.96
Buncombe, James M Cox, Democrat, 55.91
Duplin, James M Cox, Democrat, 55.75
Rockingham, James M Cox, Democrat, 55.56
Gaston, James M Cox, Democrat, 55.19
Guilford, James M Cox, Democrat, 54.83
Forsyth, James M Cox, Democrat, 54.46
Harnett, James M Cox, Democrat, 54.2
Moore, James M Cox, Democrat, 54.03
Alleghany, James M Cox, Democrat, 53.98
Washington, James M Cox, Democrat, 53.47
Orange, James M Cox, Democrat, 53.43
Alamance, James M Cox, Democrat, 53.22
McDowell, James M Cox, Democrat, 52.31
Chatham, James M Cox, Democrat, 52.3
Johnston, James M Cox, Democrat, 51.9
Macon, James M Cox, Democrat, 51.5
Lincoln, James M Cox, Democrat, 51.5
Person, James M Cox, Democrat, 51.25
Polk, James M Cox, Democrat, 50.65
Jackson, James M Cox, Democrat, 50.32
Montgomery, James M Cox, Democrat, 50.18
Brunswick, Warren G Harding, Republican, 52.08
Transylvania, Warren G Harding, Republican, 52.14
Catawba, Warren G Harding, Republican, 52.34
Burke, Warren G Harding, Republican, 52.41
Ashe, Warren G Harding, Republican, 52.6
Carteret, Warren G Harding, Republican, 52.79
Stanly, Warren G Harding, Republican, 52.88
Caldwell, Warren G Harding, Republican, 52.95
Yancey, Warren G Harding, Republican, 53.24
Cabarrus, Warren G Harding, Republican, 53.82
Clay, Warren G Harding, Republican, 54.68
Randolph, Warren G Harding, Republican, 55.2
Davidson, Warren G Harding, Republican, 55.41
Alexander, Warren G Harding, Republican, 56.38
Henderson, Warren G Harding, Republican, 57.21
Graham, Warren G Harding, Republican, 58.69
Cherokee, Warren G Harding, Republican, 58.73
Surry, Warren G Harding, Republican, 59.31
Stokes, Warren G Harding, Republican, 59.41
Watauga, Warren G Harding, Republican, 60.45
Swain, Warren G Harding, Republican, 60.96
Davie, Warren G Harding, Republican, 61.47
Sampson, Warren G Harding, Republican, 68.81
Wilkes, Warren G Harding, Republican, 69.41
Yadkin, Warren G Harding, Republican, 70.97
Madison, Warren G Harding, Republican, 72.96
Mitchell, Warren G Harding, Republican, 75.54
Avery, Warren G Harding, Republican, 86.31
