Accomack County, James M Cox, Democrat, 81.69
Albemarle County, James M Cox, Democrat, 74.58
Alleghany County, Warren G Harding, Republican, 51.94
Amelia County, James M Cox, Democrat, 67.77
Amherst County, James M Cox, Democrat, 86.14
Appomattox County, James M Cox, Democrat, 81.1
Arlington County, Warren G Harding, Republican, 53.32
Augusta County, James M Cox, Democrat, 54.29
Bath County, Warren G Harding, Republican, 50.99
Bedford County, James M Cox, Democrat, 74.51
Bland County, Warren G Harding, Republican, 54.26
Botetourt County, James M Cox, Democrat, 51.71
Brunswick County, James M Cox, Democrat, 87.04
Buchanan County, Warren G Harding, Republican, 61.42
Buckingham County, James M Cox, Democrat, 70.53
Campbell County, James M Cox, Democrat, 77.16
Caroline County, James M Cox, Democrat, 67.58
Carroll County, Warren G Harding, Republican, 66.47
Charles City County, James M Cox, Democrat, 58.91
Charlotte County, James M Cox, Democrat, 77.48
Chesterfield County, James M Cox, Democrat, 75.37
Clarke County, James M Cox, Democrat, 79.3
Craig County, James M Cox, Democrat, 54.51
Culpeper County, James M Cox, Democrat, 74.5
Cumberland County, James M Cox, Democrat, 77.78
Dickenson County, Warren G Harding, Republican, 53.62
Dinwiddie County, James M Cox, Democrat, 77.18
Elizabeth City County, James M Cox, Democrat, 58.8
Essex County, James M Cox, Democrat, 75.95
Fairfax County, James M Cox, Democrat, 61.06
Fauquier County, James M Cox, Democrat, 70.32
Floyd County, Warren G Harding, Republican, 72.65
Fluvanna County, James M Cox, Democrat, 78.38
Franklin County, James M Cox, Democrat, 56.01
Frederick County, James M Cox, Democrat, 59.79
Giles County, James M Cox, Democrat, 55.56
Gloucester County, James M Cox, Democrat, 69.87
Goochland County, James M Cox, Democrat, 63.79
Grayson County, Warren G Harding, Republican, 54.73
Greene County, Warren G Harding, Republican, 57.18
Greensville County, James M Cox, Democrat, 78.81
Halifax County, James M Cox, Democrat, 77.98
Hanover County, James M Cox, Democrat, 79.7
Henrico County, James M Cox, Democrat, 74.19
Henry County, James M Cox, Democrat, 54.95
Highland County, Warren G Harding, Republican, 55.31
Isle of Wight County, James M Cox, Democrat, 75.52
James City County, James M Cox, Democrat, 76.38
King and Queen County, James M Cox, Democrat, 65.72
King George County, Warren G Harding, Republican, 50.3
King William County, James M Cox, Democrat, 65.98
Lancaster County, James M Cox, Democrat, 73.99
Lee County, Warren G Harding, Republican, 57.48
Loudoun County, James M Cox, Democrat, 68.64
Louisa County, James M Cox, Democrat, 68.2
Lunenburg County, James M Cox, Democrat, 78.96
Madison County, James M Cox, Democrat, 53.03
Mathews County, James M Cox, Democrat, 72.9
Mecklenburg County, James M Cox, Democrat, 85.66
Middlesex County, James M Cox, Democrat, 71.92
Montgomery County, Warren G Harding, Republican, 53.78
Nansemond County, James M Cox, Democrat, 73.95
Nelson County, James M Cox, Democrat, 71.18
New Kent County, James M Cox, Democrat, 63.55
Norfolk County, James M Cox, Democrat, 68.26
Northampton County, James M Cox, Democrat, 80.98
Northumberland County, James M Cox, Democrat, 70.25
Nottoway County, James M Cox, Democrat, 84.21
Orange County, James M Cox, Democrat, 73.49
Page County, Warren G Harding, Republican, 56.81
Patrick County, Warren G Harding, Republican, 51.53
Pittsylvania County, James M Cox, Democrat, 69.69
Powhatan County, James M Cox, Democrat, 64.78
Prince Edward County, James M Cox, Democrat, 80.21
Prince George County, James M Cox, Democrat, 74.11
Prince William County, James M Cox, Democrat, 66.55
Princess Anne County, James M Cox, Democrat, 84.96
Pulaski County, James M Cox, Democrat, 51.37
Rappahannock County, James M Cox, Democrat, 66.35
Richmond County, James M Cox, Democrat, 60.91
Roanoke County, James M Cox, Democrat, 56.35
Rockbridge County, James M Cox, Democrat, 56.13
Rockingham County, Warren G Harding, Republican, 53.71
Russell County, Warren G Harding, Republican, 50.9
Scott County, Warren G Harding, Republican, 59.34
Shenandoah County, Warren G Harding, Republican, 56.05
Smyth County, Warren G Harding, Republican, 55.16
Southampton County, James M Cox, Democrat, 83.06
Spotsylvania County, James M Cox, Democrat, 52.76
Stafford County, Warren G Harding, Republican, 56.51
Surry County, James M Cox, Democrat, 80.69
Sussex County, James M Cox, Democrat, 76.43
Tazewell County, Warren G Harding, Republican, 57.51
Warren County, James M Cox, Democrat, 69.63
Warwick County, James M Cox, Democrat, 56.93
Washington County, Warren G Harding, Republican, 54.14
Westmoreland County, James M Cox, Democrat, 74.72
Wise County, Warren G Harding, Republican, 55.29
Wythe County, Warren G Harding, Republican, 58.74
York County, James M Cox, Democrat, 74.54
Alexandria City, James M Cox, Democrat, 59.56
Bristol City, James M Cox, Democrat, 69.14
Buena Vista City, James M Cox, Democrat, 62.83
Charlottesville City, James M Cox, Democrat, 73.99
Clifton Forge City, James M Cox, Democrat, 70.38
Danville City, James M Cox, Democrat, 76.25
Fredericksburg City, James M Cox, Democrat, 65.06
Hampton City, James M Cox, Democrat, 78.36
Harrisonburg City, Warren G Harding, Republican, 53.86
Hopewell City, James M Cox, Democrat, 69.78
Lynchburg City, James M Cox, Democrat, 76.75
Newport News City, James M Cox, Democrat, 53.17
Norfolk City, James M Cox, Democrat, 70.73
Petersburg City, James M Cox, Democrat, 80.75
Portsmouth City, James M Cox, Democrat, 74.24
Radford City, James M Cox, Democrat, 60.91
Richmond City, James M Cox, Democrat, 75.93
Roanoke City, James M Cox, Democrat, 66
Staunton City, James M Cox, Democrat, 56.6
Suffolk City, James M Cox, Democrat, 70.86
Williamsburg City, James M Cox, Democrat, 72.81
Winchester City, James M Cox, Democrat, 56.62
