Accomack, Marshall Coleman, Republican, 55
Albemarle, Douglas Wilder, Democrat, 51.7
Alexandria, Douglas Wilder, Democrat, 68
Alleghany, Marshall Coleman, Republican, 50.3
Amelia, Marshall Coleman, Republican, 56.2
Amherst, Marshall Coleman, Republican, 55.4
Appomattox, Marshall Coleman, Republican, 52.1
Arlington, Douglas Wilder, Democrat, 67.1
Augusta, Marshall Coleman, Republican, 69.2
Bath, Marshall Coleman, Republican, 53.8
Bedford City, Marshall Coleman, Republican, 57.9
Bedford County, Marshall Coleman, Republican, 51.8
Bland, Marshall Coleman, Republican, 66.1
Botetourt, Marshall Coleman, Republican, 53.1
Bristol, Marshall Coleman, Republican, 58
Brunswick, Douglas Wilder, Democrat, 56.1
Buchanan, Douglas Wilder, Democrat, 59.4
Buckingham, Marshall Coleman, Republican, 55.5
Buena Vista, Douglas Wilder, Democrat, 51.2
Campbell, Marshall Coleman, Republican, 61.4
Caroline, Douglas Wilder, Democrat, 54.9
Carroll, Marshall Coleman, Republican, 67.5
Charles City, Douglas Wilder, Democrat, 78.7
Charlotte, Marshall Coleman, Republican, 55.2
Charlottesville, Douglas Wilder, Democrat, 63.7
Chesapeake, Douglas Wilder, Democrat, 50.3
Chesterfield, Marshall Coleman, Republican, 64.6
Clarke, Marshall Coleman, Republican, 52.6
Clifton Forge, Douglas Wilder, Democrat, 57.4
Colonial Heights, Marshall Coleman, Republican, 75.9
Covington, Douglas Wilder, Democrat, 57.3
Craig, Marshall Coleman, Republican, 53.9
Culpeper, Marshall Coleman, Republican, 61.3
Cumberland, Marshall Coleman, Republican, 53.3
Danville, Marshall Coleman, Republican, 59.5
Dickenson, Douglas Wilder, Democrat, 62.3
Dinwiddie, Marshall Coleman, Republican, 52.5
Emporia, Marshall Coleman, Republican, 53.3
Essex, Marshall Coleman, Republican, 55.2
Fairfax County, Douglas Wilder, Democrat, 55.9
Fairfax, Douglas Wilder, Democrat, 52.8
Falls Church, Douglas Wilder, Democrat, 63.1
Fauquier, Marshall Coleman, Republican, 54.7
Floyd, Marshall Coleman, Republican, 60.4
Fluvanna, Marshall Coleman, Republican, 57
Franklin City, Marshall Coleman, Republican, 53.9
Franklin County, Douglas Wilder, Democrat, 61.9
Frederick, Marshall Coleman, Republican, 63.7
Fredericksburg, Douglas Wilder, Democrat, 52
Galax, Marshall Coleman, Republican, 63.3
Giles, Douglas Wilder, Democrat, 51
Gloucester, Marshall Coleman, Republican, 57.4
Goochland, Marshall Coleman, Republican, 55.5
Grayson, Marshall Coleman, Republican, 65.5
Greene, Marshall Coleman, Republican, 66.7
Greensville, Douglas Wilder, Democrat, 57.6
Halifax, Marshall Coleman, Republican, 53.3
Hampton, Douglas Wilder, Democrat, 59.8
Hanover, Marshall Coleman, Republican, 69
Harrisonburg, Marshall Coleman, Republican, 57.3
Henrico, Marshall Coleman, Republican, 58.7
Henry, Marshall Coleman, Republican, 58.5
Highland, Marshall Coleman, Republican, 58.8
Hopewell, Marshall Coleman, Republican, 59.7
Isle of Wight, Marshall Coleman, Republican, 50.5
James City, Marshall Coleman, Republican, 50.03
King and Queen, Douglas Wilder, Democrat, 53.3
King George, Marshall Coleman, Republican, 53.8
King William, Marshall Coleman, Republican, 55.8
Lancaster, Marshall Coleman, Republican, 60.7
Lee, Douglas Wilder, Democrat, 54.8
Lexington, Douglas Wilder, Democrat, 58.5
Loudoun, Douglas Wilder, Democrat, 51.1
Louisa, Marshall Coleman, Republican, 53.8
Lunenburg, Marshall Coleman, Republican, 54.2
Lynchburg, Marshall Coleman, Republican, 52.1
Madison, Marshall Coleman, Republican, 59.4
Manassas, Marshall Coleman, Republican, 52.5
Manassas Park, Marshall Coleman, Republican, 54.4
Martinsville, Marshall Coleman, Republican, 50.1
Mathews, Marshall Coleman, Republican, 58.8
Mecklenburg, Marshall Coleman, Republican, 62
Middlesex, Marshall Coleman, Republican, 58.4
Montgomery, Douglas Wilder, Democrat, 51.7
Nelson, Douglas Wilder, Democrat, 54.4
New Kent, Marshall Coleman, Republican, 57.2
Newport News, Douglas Wilder, Democrat, 54.3
Norfolk, Douglas Wilder, Democrat, 66.1
Northampton, Douglas Wilder, Democrat, 55.4
Northumberland, Marshall Coleman, Republican, 59.995
Norton, Douglas Wilder, Democrat, 65.5
Nottoway, Marshall Coleman, Republican, 54.3
Orange, Marshall Coleman, Republican, 58.4
Page, Marshall Coleman, Republican, 66.1
Patrick, Marshall Coleman, Republican, 64.8
Petersburg, Douglas Wilder, Democrat, 70.8
Pittsylvania, Marshall Coleman, Republican, 62.6
Poquoson, Marshall Coleman, Republican, 66
Portsmouth, Douglas Wilder, Democrat, 61.9
Powhatan, Marshall Coleman, Republican, 65.4
Prince Edward, Douglas Wilder, Democrat, 50.8
Prince George, Marshall Coleman, Republican, 61
Prince William, Marshall Coleman, Republican, 50.9
Pulaski, Marshall Coleman, Republican, 55.9
Radford, Douglas Wilder, Democrat, 51.3
Rappahannock, Marshall Coleman, Republican, 55
Richmond County, Marshall Coleman, Republican, 63.7
Richmond City, Douglas Wilder, Democrat, 68
Roanoke City, Marshall Coleman, Republican, 52.9
Roanoke County, Douglas Wilder, Democrat, 59
Rockbridge, Marshall Coleman, Republican, 54
Rockingham, Marshall Coleman, Republican, 69.1
Russell, Douglas Wilder, Democrat, 56.9
South Boston, Marshall Coleman, Republican, 51.8
Salem, Marshall Coleman, Republican, 56.7
Scott, Marshall Coleman, Republican, 64.6
Shenandoah, Marshall Coleman, Republican, 60.4
Smyth, Marshall Coleman, Republican, 59.3
Southampton, Douglas Wilder, Democrat, 52
Spotsylvania, Marshall Coleman, Republican, 58
Stafford, Marshall Coleman, Republican, 59.7
Staunton, Marshall Coleman, Republican, 62.1
Suffolk, Douglas Wilder, Democrat, 52.5
Surry, Douglas Wilder, Democrat, 63.1
Sussex, Douglas Wilder, Democrat, 59.1
Tazewell, Marshall Coleman, Republican, 52.2
Virginia Beach, Marshall Coleman, Republican, 51.4
Warren, Marshall Coleman, Republican, 57.1
Washington, Marshall Coleman, Republican, 59.6
Waynesboro, Marshall Coleman, Republican, 63.3
Westmoreland, Marshall Coleman, Republican, 51.3
Williamsburg, Douglas Wilder, Democrat, 61.5
Winchester, Marshall Coleman, Republican, 58.9
Wise, Douglas Wilder, Democrat, 59.6
Wythe, Marshall Coleman, Republican, 63.8
York, Marshall Coleman, Republican, 54.8
