Ada, Dwight D Eisenhower, Republican, 69.9
Adams, Dwight D Eisenhower, Republican, 60.84
Bannock, Dwight D Eisenhower, Republican, 53.49
Bear Lake, Dwight D Eisenhower, Republican, 64.17
Benewah, Dwight D Eisenhower, Republican, 50.29
Bingham, Dwight D Eisenhower, Republican, 63.17
Blaine, Dwight D Eisenhower, Republican, 58.47
Boise, Dwight D Eisenhower, Republican, 66.67
Bonner, Dwight D Eisenhower, Republican, 52.75
Bonneville, Dwight D Eisenhower, Republican, 66.15
Boundary, Dwight D Eisenhower, Republican, 55.19
Butte, Dwight D Eisenhower, Republican, 53.64
Camas, Dwight D Eisenhower, Republican, 55.89
Canyon, Dwight D Eisenhower, Republican, 67.17
Caribou, Dwight D Eisenhower, Republican, 63.71
Cassia, Dwight D Eisenhower, Republican, 68.79
Clark, Dwight D Eisenhower, Republican, 67.8
Clearwater, Adlai Stevenson, Democrat, 57.3
Custer, Dwight D Eisenhower, Republican, 60.34
Elmore, Dwight D Eisenhower, Republican, 51.23
Franklin, Dwight D Eisenhower, Republican, 70.3
Fremont, Dwight D Eisenhower, Republican, 62.08
Gem, Dwight D Eisenhower, Republican, 58.72
Gooding, Dwight D Eisenhower, Republican, 61.36
Idaho, Dwight D Eisenhower, Republican, 51.36
Jefferson, Dwight D Eisenhower, Republican, 60.12
Jerome, Dwight D Eisenhower, Republican, 64.71
Kootenai, Dwight D Eisenhower, Republican, 54.29
Latah, Dwight D Eisenhower, Republican, 57.71
Lemhi, Dwight D Eisenhower, Republican, 63.35
Lewis, Adlai Stevenson, Democrat, 60.8
Lincoln, Dwight D Eisenhower, Republican, 61.83
Madison, Dwight D Eisenhower, Republican, 64.07
Minidoka, Dwight D Eisenhower, Republican, 63.58
Nez Perce, Adlai Stevenson, Democrat, 53.36
Oneida, Dwight D Eisenhower, Republican, 64.21
Owyhee, Dwight D Eisenhower, Republican, 62.95
Payette, Dwight D Eisenhower, Republican, 65.35
Power, Dwight D Eisenhower, Republican, 59.03
Shoshone, Dwight D Eisenhower, Republican, 50.83
Teton, Dwight D Eisenhower, Republican, 65.12
Twin Falls, Dwight D Eisenhower, Republican, 68.1
Valley, Dwight D Eisenhower, Republican, 71.55
Washington, Dwight D Eisenhower, Republican, 57.89
