Adair, Dwight D Eisenhower, Republican, 62.5
Allen, Dwight D Eisenhower, Republican, 61.62
Anderson, Adlai Stevenson, Democrat, 52.58
Ballard, Adlai Stevenson, Democrat, 78.46
Barren, Adlai Stevenson, Democrat, 55.3
Bath, Adlai Stevenson, Democrat, 53.84
Bell, Dwight D Eisenhower, Republican, 60.29
Boone, Dwight D Eisenhower, Republican, 51.54
Bourbon, Adlai Stevenson, Democrat, 56.36
Boyd, Dwight D Eisenhower, Republican, 57.28
Boyle, Adlai Stevenson, Democrat, 49.94
Bracken, Dwight D Eisenhower, Republican, 53.54
Breathitt, Adlai Stevenson, Democrat, 57.22
Breckinridge, Dwight D Eisenhower, Republican, 56.72
Bullitt, Adlai Stevenson, Democrat, 53.12
Butler, Dwight D Eisenhower, Republican, 73.19
Caldwell, Dwight D Eisenhower, Republican, 52.32
Calloway, Adlai Stevenson, Democrat, 72.72
Campbell, Dwight D Eisenhower, Republican, 63.82
Carlisle, Adlai Stevenson, Democrat, 77.09
Carroll, Adlai Stevenson, Democrat, 65.41
Carter, Dwight D Eisenhower, Republican, 62.09
Casey, Dwight D Eisenhower, Republican, 72.48
Christian, Adlai Stevenson, Democrat, 56.43
Clark, Adlai Stevenson, Democrat, 54.16
Clay, Dwight D Eisenhower, Republican, 82.52
Clinton, Dwight D Eisenhower, Republican, 81.89
Crittenden, Dwight D Eisenhower, Republican, 62.64
Cumberland, Dwight D Eisenhower, Republican, 71.76
Daviess, Dwight D Eisenhower, Republican, 62.54
Edmonson, Dwight D Eisenhower, Republican, 71.85
Elliott, Adlai Stevenson, Democrat, 67.47
Estill, Dwight D Eisenhower, Republican, 60.52
Fayette, Dwight D Eisenhower, Republican, 61.38
Fleming, Dwight D Eisenhower, Republican, 51.97
Floyd, Adlai Stevenson, Democrat, 56.13
Franklin, Adlai Stevenson, Democrat, 60.76
Fulton, Adlai Stevenson, Democrat, 71.54
Gallatin, Adlai Stevenson, Democrat, 69.06
Garrard, Dwight D Eisenhower, Republican, 55.92
Grant, Adlai Stevenson, Democrat, 57.56
Graves, Adlai Stevenson, Democrat, 73.04
Grayson, Dwight D Eisenhower, Republican, 69.25
Green, Dwight D Eisenhower, Republican, 62.93
Greenup, Dwight D Eisenhower, Republican, 51.85
Hancock, Dwight D Eisenhower, Republican, 56.14
Hardin, Dwight D Eisenhower, Republican, 53.55
Harlan, Dwight D Eisenhower, Republican, 55.96
Harrison, Adlai Stevenson, Democrat, 62.14
Hart, Dwight D Eisenhower, Republican, 50.35
Henderson, Adlai Stevenson, Democrat, 50.76
Henry, Adlai Stevenson, Democrat, 65.25
Hickman, Adlai Stevenson, Democrat, 74.83
Hopkins, Adlai Stevenson, Democrat, 54.84
Jackson, Dwight D Eisenhower, Republican, 88.35
Jefferson, Dwight D Eisenhower, Republican, 58.49
Jessamine, Dwight D Eisenhower, Republican, 51.39
Johnson, Dwight D Eisenhower, Republican, 71.06
Kenton, Dwight D Eisenhower, Republican, 57.93
Knott, Adlai Stevenson, Democrat, 69.8
Knox, Dwight D Eisenhower, Republican, 71.39
Larue, Dwight D Eisenhower, Republican, 56.05
Laurel, Dwight D Eisenhower, Republican, 73.87
Lawrence, Dwight D Eisenhower, Republican, 53.92
Lee, Dwight D Eisenhower, Republican, 65.32
Leslie, Dwight D Eisenhower, Republican, 87.37
Letcher, Dwight D Eisenhower, Republican, 57.97
Lewis, Dwight D Eisenhower, Republican, 67.65
Lincoln, Dwight D Eisenhower, Republican, 54.3
Livingston, Adlai Stevenson, Democrat, 58.93
Logan, Adlai Stevenson, Democrat, 64.83
Lyon, Adlai Stevenson, Democrat, 60.24
Madison, Dwight D Eisenhower, Republican, 50.85
Magoffin, Dwight D Eisenhower, Republican, 51.96
Marion, Dwight D Eisenhower, Republican, 49.98
Marshall, Adlai Stevenson, Democrat, 68.29
Martin, Dwight D Eisenhower, Republican, 80.57
Mason, Dwight D Eisenhower, Republican, 51.8
McCracken, Adlai Stevenson, Democrat, 66.34
McCreary, Dwight D Eisenhower, Republican, 82.33
McLean, Adlai Stevenson, Democrat, 50.78
Meade, Adlai Stevenson, Democrat, 54.6
Menifee, Adlai Stevenson, Democrat, 59.7
Mercer, Dwight D Eisenhower, Republican, 53.23
Metcalfe, Dwight D Eisenhower, Republican, 54.35
Monroe, Dwight D Eisenhower, Republican, 74.97
Montgomery, Adlai Stevenson, Democrat, 54.26
Morgan, Adlai Stevenson, Democrat, 62.68
Muhlenberg, Dwight D Eisenhower, Republican, 52.64
Nelson, Dwight D Eisenhower, Republican, 55.76
Nicholas, Adlai Stevenson, Democrat, 61.86
Ohio, Dwight D Eisenhower, Republican, 64.07
Oldham, Dwight D Eisenhower, Republican, 54.44
Owen, Adlai Stevenson, Democrat, 77.24
Owsley, Dwight D Eisenhower, Republican, 85.77
Pendleton, Dwight D Eisenhower, Republican, 54.46
Perry, Dwight D Eisenhower, Republican, 59.05
Pike, Dwight D Eisenhower, Republican, 50.37
Powell, Adlai Stevenson, Democrat, 50.02
Pulaski, Dwight D Eisenhower, Republican, 72.47
Robertson, Adlai Stevenson, Democrat, 56.16
Rockcastle, Dwight D Eisenhower, Republican, 74.08
Rowan, Dwight D Eisenhower, Republican, 50.85
Russell, Dwight D Eisenhower, Republican, 70.33
Scott, Adlai Stevenson, Democrat, 58.99
Shelby, Adlai Stevenson, Democrat, 59.08
Simpson, Adlai Stevenson, Democrat, 66.18
Spencer, Adlai Stevenson, Democrat, 57.35
Taylor, Dwight D Eisenhower, Republican, 61.37
