Autauga, Adlai Stevenson, Democrat, 50.77
Baldwin, Dwight D Eisenhower, Republican, 51.02
Barbour, Adlai Stevenson, Democrat, 73.35
Bibb, Adlai Stevenson, Democrat, 56.97
Blount, Adlai Stevenson, Democrat, 54.17
Bullock, Adlai Stevenson, Democrat, 64.86
Butler, Adlai Stevenson, Democrat, 55.42
Calhoun, Adlai Stevenson, Democrat, 65.24
Chambers, Adlai Stevenson, Democrat, 76.67
Cherokee, Adlai Stevenson, Democrat, 75.75
Chilton, Dwight D Eisenhower, Republican, 60.98
Choctaw, Adlai Stevenson, Democrat, 70.26
Clarke, Adlai Stevenson, Democrat, 57.91
Clay, Adlai Stevenson, Democrat, 50.47
Cleburne, Adlai Stevenson, Democrat, 56.96
Coffee, Adlai Stevenson, Democrat, 79.02
Colbert, Adlai Stevenson, Democrat, 78.4
Conecuh, Adlai Stevenson, Democrat, 61.26
Coosa, Adlai Stevenson, Democrat, 56.01
Covington, Adlai Stevenson, Democrat, 65.25
Crenshaw, Adlai Stevenson, Democrat, 75.7
Cullman, Adlai Stevenson, Democrat, 55.49
Dale, Adlai Stevenson, Democrat, 62.45
Dallas, Dwight D Eisenhower, Republican, 43.37
DeKalb, Adlai Stevenson, Democrat, 50.3
Elmore, Adlai Stevenson, Democrat, 62.16
Escambia, Adlai Stevenson, Democrat, 64.86
Etowah, Adlai Stevenson, Democrat, 62.22
Fayette, Adlai Stevenson, Democrat, 49.8
Franklin, Dwight D Eisenhower, Republican, 50.21
Geneva, Adlai Stevenson, Democrat, 68.99
Greene, Adlai Stevenson, Democrat, 66.19
Hale, Adlai Stevenson, Democrat, 68.54
Henry, Adlai Stevenson, Democrat, 78.4
Houston, Adlai Stevenson, Democrat, 53.06
Jackson, Adlai Stevenson, Democrat, 71.58
Jefferson, Dwight D Eisenhower, Republican, 49.93
Lamar, Adlai Stevenson, Democrat, 73.58
Lauderdale, Adlai Stevenson, Democrat, 78.26
Lawrence, Adlai Stevenson, Democrat, 70.75
Lee, Adlai Stevenson, Democrat, 65.37
Limestone, Adlai Stevenson, Democrat, 87.26
Lowndes, Adlai Stevenson, Democrat, 52.27
Macon, Dwight D Eisenhower, Republican, 48.65
Madison, Adlai Stevenson, Democrat, 74.52
Marengo, Adlai Stevenson, Democrat, 60.88
Marion, Adlai Stevenson, Democrat, 52.67
Marshall, Adlai Stevenson, Democrat, 66.66
Mobile, Dwight D Eisenhower, Republican, 52.21
Monroe, Adlai Stevenson, Democrat, 69.95
Montgomery, Dwight D Eisenhower, Republican, 46.32
Morgan, Adlai Stevenson, Democrat, 70.56
Perry, Adlai Stevenson, Democrat, 53.75
Pickens, Adlai Stevenson, Democrat, 58.78
Pike, Adlai Stevenson, Democrat, 68.53
Randolph, Adlai Stevenson, Democrat, 66.18
Russell, Adlai Stevenson, Democrat, 68.32
Shelby, Dwight D Eisenhower, Republican, 51.98
St. Clair, Dwight D Eisenhower, Republican, 49.07
Sumter, Adlai Stevenson, Democrat, 58.71
Talladega, Adlai Stevenson, Democrat, 54.63
Tallapoosa, Adlai Stevenson, Democrat, 72
Tuscaloosa, Adlai Stevenson, Democrat, 59.33
Walker, Adlai Stevenson, Democrat, 59.3
Washington, Adlai Stevenson, Democrat, 66.37
Wilcox, Adlai Stevenson, Democrat, 52.78
Winston, Dwight D Eisenhower, Republican, 65.6
