Accomack, George C Wallace, Dixiecrat, 37.69
Albemarle, Richard M Nixon, Republican, 53.45
Alleghany, Richard M Nixon, Republican, 43.47
Amelia, Richard M Nixon, Republican, 33.9
Amherst, Richard M Nixon, Republican, 39.8
Appomattox, Richard M Nixon, Republican, 43.42
Arlington, Richard M Nixon, Republican, 45.92
Augusta, Richard M Nixon, Republican, 57.92
Bath, Richard M Nixon, Republican, 45.97
Bedford, George C Wallace, Dixiecrat, 42.3
Bland, Richard M Nixon, Republican, 50.38
Botetourt, Richard M Nixon, Republican, 50.54
Brunswick, George C Wallace, Dixiecrat, 40.57
Buchanan, Hubert H Humphrey, Democrat, 50.97
Buckingham, George C Wallace, Dixiecrat, 36.99
Campbell, Richard M Nixon, Republican, 44.73
Caroline, Hubert H Humphrey, Democrat, 48.92
Carroll, Richard M Nixon, Republican, 64.16
Charles City, Hubert H Humphrey, Democrat, 74.34
Charlotte, George C Wallace, Dixiecrat, 50.72
Chesterfield, Richard M Nixon, Republican, 56.03
Clarke, Richard M Nixon, Republican, 42.62
Craig, Richard M Nixon, Republican, 46.18
Culpeper, Richard M Nixon, Republican, 47.49
Cumberland, Hubert H Humphrey, Democrat, 40.21
Dickenson, Richard M Nixon, Republican, 46.01
Dinwiddie, George C Wallace, Dixiecrat, 42.7
Essex, Hubert H Humphrey, Democrat, 41.45
Fairfax, Richard M Nixon, Republican, 48.98
Fauquier, Richard M Nixon, Republican, 43.76
Floyd, Richard M Nixon, Republican, 64.32
Fluvanna, Richard M Nixon, Republican, 42.56
Franklin, George C Wallace, Dixiecrat, 38.75
Frederick, Richard M Nixon, Republican, 49.58
Giles, Richard M Nixon, Republican, 43.36
Gloucester, Richard M Nixon, Republican, 37.1
Goochland, Hubert H Humphrey, Democrat, 40.13
Grayson, Richard M Nixon, Republican, 54.09
Greene, Richard M Nixon, Republican, 55.26
Greensville, Hubert H Humphrey, Democrat, 43.19
Halifax, George C Wallace, Dixiecrat, 46.53
Hanover, Richard M Nixon, Republican, 50.01
Henrico, Richard M Nixon, Republican, 62.52
Henry, George C Wallace, Dixiecrat, 44.68
Highland, Richard M Nixon, Republican, 57.9
Isle of Wight, George C Wallace, Dixiecrat, 41.31
James City, Hubert H Humphrey, Democrat, 37.42
King and Queen, Hubert H Humphrey, Democrat, 42.55
King George, Richard M Nixon, Republican, 37.77
King William, Richard M Nixon, Republican, 43.03
Lancaster, Richard M Nixon, Republican, 44.93
Lee, Richard M Nixon, Republican, 47.35
Loudoun, Richard M Nixon, Republican, 45.91
Louisa, Richard M Nixon, Republican, 38.09
Lunenburg, George C Wallace, Dixiecrat, 40.63
Madison, Richard M Nixon, Republican, 48.71
Mathews, Richard M Nixon, Republican, 47.14
Mecklenburg, George C Wallace, Dixiecrat, 42.44
Middlesex, Richard M Nixon, Republican, 39.62
Montgomery, Richard M Nixon, Republican, 61.47
Nansemond, Hubert H Humphrey, Democrat, 41.6
Nelson, George C Wallace, Dixiecrat, 33.95
New Kent, Hubert H Humphrey, Democrat, 40.18
Northampton, Hubert H Humphrey, Democrat, 35.68
Northumberland, Richard M Nixon, Republican, 41.18
Nottoway, George C Wallace, Dixiecrat, 34.64
Orange, Richard M Nixon, Republican, 47.17
Page, Richard M Nixon, Republican, 53.93
Patrick, Richard M Nixon, Republican, 41.46
Pittsylvania, George C Wallace, Dixiecrat, 46.77
Powhatan, Hubert H Humphrey, Democrat, 37.7
Prince Edward, Richard M Nixon, Republican, 39.8
Prince George, George C Wallace, Dixiecrat, 40.33
Prince William, Richard M Nixon, Republican, 42.51
Pulaski, Richard M Nixon, Republican, 53.35
Rappahannock, Richard M Nixon, Republican, 43.58
Richmond, Richard M Nixon, Republican, 48.86
Roanoke, Richard M Nixon, Republican, 58.89
Rockbridge, Richard M Nixon, Republican, 56.8
Rockingham, Richard M Nixon, Republican, 66.4
Russell, Richard M Nixon, Republican, 43.49
Scott, Richard M Nixon, Republican, 53.54
Shenandoah, Richard M Nixon, Republican, 62.91
Smyth, Richard M Nixon, Republican, 54.32
Southampton, George C Wallace, Dixiecrat, 39.34
Spotsylvania, Richard M Nixon, Republican, 34
Stafford, Richard M Nixon, Republican, 39.68
Surry, Hubert H Humphrey, Democrat, 47.59
Sussex, Hubert H Humphrey, Democrat, 40.62
Tazewell, Hubert H Humphrey, Democrat, 41.75
Warren, Richard M Nixon, Republican, 43.37
Washington, Richard M Nixon, Republican, 51.16
Westmoreland, Richard M Nixon, Republican, 39.99
Wise, Hubert H Humphrey, Democrat, 47.14
Wythe, Richard M Nixon, Republican, 52.25
York, Richard M Nixon, Republican, 36.93
Alexandria City, Hubert H Humphrey, Democrat, 45.11
Bedford City, Richard M Nixon, Republican, 43.99
Bristol City, Richard M Nixon, Republican, 44.09
Buena Vista City, Richard M Nixon, Republican, 49.04
