Arkansas, George C Wallace, Dixiecrat, 49.67
Ashley, George C Wallace, Dixiecrat, 55.67
Baxter, Richard M Nixon, Republican, 49.53
Benton, Richard M Nixon, Republican, 49.94
Boone, Richard M Nixon, Republican, 45.1
Bradley, George C Wallace, Dixiecrat, 52.99
Calhoun, George C Wallace, Dixiecrat, 55.48
Carroll, Richard M Nixon, Republican, 51.22
Chicot, Hubert H Humphrey, Democrat, 45.95
Clark, George C Wallace, Dixiecrat, 38.82
Clay, Richard M Nixon, Republican, 37.91
Cleburne, George C Wallace, Dixiecrat, 39.83
Cleveland, George C Wallace, Dixiecrat, 70.89
Columbia, George C Wallace, Dixiecrat, 46.6
Conway, Hubert H Humphrey, Democrat, 39.44
Craighead, George C Wallace, Dixiecrat, 43.42
Crawford, George C Wallace, Dixiecrat, 40.41
Crittenden, George C Wallace, Dixiecrat, 43.99
Cross, George C Wallace, Dixiecrat, 53.58
Dallas, George C Wallace, Dixiecrat, 47.22
Desha, George C Wallace, Dixiecrat, 43.28
Drew, George C Wallace, Dixiecrat, 49.39
Faulkner, George C Wallace, Dixiecrat, 40.06
Franklin, George C Wallace, Dixiecrat, 45.96
Fulton, Richard M Nixon, Republican, 36.34
Garland, Richard M Nixon, Republican, 37.83
Grant, George C Wallace, Dixiecrat, 59.73
Greene, George C Wallace, Dixiecrat, 37.4
Hempstead, George C Wallace, Dixiecrat, 43.31
Hot Spring, George C Wallace, Dixiecrat, 51.38
Howard, George C Wallace, Dixiecrat, 41.43
Independence, Richard M Nixon, Republican, 35.48
Izard, George C Wallace, Dixiecrat, 37.12
Jackson, George C Wallace, Dixiecrat, 50.85
Jefferson, George C Wallace, Dixiecrat, 41.82
Johnson, Hubert H Humphrey, Democrat, 34.21
Lafayette, George C Wallace, Dixiecrat, 47.54
Lawrence, George C Wallace, Dixiecrat, 45.27
Lee, Hubert H Humphrey, Democrat, 43.79
Lincoln, George C Wallace, Dixiecrat, 55.12
Little River, George C Wallace, Dixiecrat, 44.5
Logan, Richard M Nixon, Republican, 36.02
Lonoke, George C Wallace, Dixiecrat, 52.02
Madison, Richard M Nixon, Republican, 47.14
Marion, Richard M Nixon, Republican, 42.59
Miller, George C Wallace, Dixiecrat, 47.52
Mississippi, George C Wallace, Dixiecrat, 39.64
Monroe, George C Wallace, Dixiecrat, 48.19
Montgomery, George C Wallace, Dixiecrat, 39.27
Nevada, George C Wallace, Dixiecrat, 45.22
Newton, Richard M Nixon, Republican, 50.83
Ouachita, George C Wallace, Dixiecrat, 42.48
Perry, George C Wallace, Dixiecrat, 40
Phillips, Hubert H Humphrey, Democrat, 43.92
Pike, George C Wallace, Dixiecrat, 46.59
Poinsett, George C Wallace, Dixiecrat, 51.66
Polk, Richard M Nixon, Republican, 40.3
Pope, Richard M Nixon, Republican, 38.3
Prairie, George C Wallace, Dixiecrat, 56.23
Pulaski, Hubert H Humphrey, Democrat, 34.43
Randolph, George C Wallace, Dixiecrat, 38.21
St. Francis, George C Wallace, Dixiecrat, 46.51
Saline, George C Wallace, Dixiecrat, 49.31
Scott, George C Wallace, Dixiecrat, 36.41
Searcy, Richard M Nixon, Republican, 56.83
Sebastian, Richard M Nixon, Republican, 44.65
Sevier, George C Wallace, Dixiecrat, 39.02
Sharp, George C Wallace, Dixiecrat, 37.54
Stone, Richard M Nixon, Republican, 37.05
Union, George C Wallace, Dixiecrat, 45.66
Van Buren, Richard M Nixon, Republican, 35.83
Washington, Richard M Nixon, Republican, 48.67
White, George C Wallace, Dixiecrat, 41.63
Woodruff, George C Wallace, Dixiecrat, 47.78
Yell, George C Wallace, Dixiecrat, 36.91
