Adair, Gerald Ford, Republican, 49.26
Adams, Jimmy Carter, Democrat, 51.31
Allamakee, Gerald Ford, Republican, 57.88
Appanoose, Jimmy Carter, Democrat, 52.21
Audubon, Jimmy Carter, Democrat, 50.91
Benton, Jimmy Carter, Democrat, 51.52
Black Hawk, Gerald Ford, Republican, 50.23
Boone, Jimmy Carter, Democrat, 50.12
Bremer, Gerald Ford, Republican, 58.51
Buchanan, Gerald Ford, Republican, 51.98
Buena Vista, Gerald Ford, Republican, 53.58
Butler, Gerald Ford, Republican, 61.79
Calhoun, Gerald Ford, Republican, 51.03
Carroll, Jimmy Carter, Democrat, 55.51
Cass, Gerald Ford, Republican, 60.79
Cedar, Gerald Ford, Republican, 55.08
Cerro Gordo, Jimmy Carter, Democrat, 50.41
Cherokee, Gerald Ford, Republican, 53.4
Chickasaw, Jimmy Carter, Democrat, 50.13
Clarke, Jimmy Carter, Democrat, 56.23
Clay, Gerald Ford, Republican, 53.51
Clayton, Gerald Ford, Republican, 54.8
Clinton, Gerald Ford, Republican, 50.55
Crawford, Jimmy Carter, Democrat, 49.11
Dallas, Jimmy Carter, Democrat, 54.89
Davis, Jimmy Carter, Democrat, 58.76
Decatur, Jimmy Carter, Democrat, 57.32
Delaware, Gerald Ford, Republican, 55.62
Des Moines, Jimmy Carter, Democrat, 54.87
Dickinson, Gerald Ford, Republican, 54.14
Dubuque, Jimmy Carter, Democrat, 52.62
Emmet, Gerald Ford, Republican, 50.5
Fayette, Gerald Ford, Republican, 54.69
Floyd, Jimmy Carter, Democrat, 50.62
Franklin, Gerald Ford, Republican, 52.3
Fremont, Gerald Ford, Republican, 51.8
Greene, Jimmy Carter, Democrat, 51.66
Grundy, Gerald Ford, Republican, 62.66
Guthrie, Jimmy Carter, Democrat, 50.93
Hamilton, Jimmy Carter, Democrat, 49.26
Hancock, Gerald Ford, Republican, 50.54
Hardin, Gerald Ford, Republican, 50.19
Harrison, Gerald Ford, Republican, 51.38
Henry, Jimmy Carter, Democrat, 49.22
Howard, Jimmy Carter, Democrat, 51.94
Humboldt, Gerald Ford, Republican, 52.65
Ida, Gerald Ford, Republican, 56.86
Iowa, Gerald Ford, Republican, 52.98
Jackson, Jimmy Carter, Democrat, 50.27
Jasper, Jimmy Carter, Democrat, 65.13
Jefferson, Gerald Ford, Republican, 51.71
Johnson, Jimmy Carter, Democrat, 52.2
Jones, Gerald Ford, Republican, 50.54
Keokuk, Jimmy Carter, Democrat, 53.54
Kossuth, Jimmy Carter, Democrat, 51.66
Lee, Jimmy Carter, Democrat, 51.63
Linn, Jimmy Carter, Democrat, 50.07
Louisa, Gerald Ford, Republican, 51.43
Lucas, Jimmy Carter, Democrat, 55.84
Lyon, Gerald Ford, Republican, 64.06
Madison, Jimmy Carter, Democrat, 52.61
Mahaska, Gerald Ford, Republican, 51.38
Marion, Jimmy Carter, Democrat, 52.51
Marshall, Gerald Ford, Republican, 51.33
Mills, Gerald Ford, Republican, 57.79
Mitchell, Jimmy Carter, Democrat, 49.32
Monona, Jimmy Carter, Democrat, 49.55
Monroe, Jimmy Carter, Democrat, 59.06
Montgomery, Gerald Ford, Republican, 61.48
Muscatine, Gerald Ford, Republican, 53.1
O'Brien, Gerald Ford, Republican, 61.86
Osceola, Gerald Ford, Republican, 58.36
Page, Gerald Ford, Republican, 64.1
Palo Alto, Jimmy Carter, Democrat, 53.9
Plymouth, Gerald Ford, Republican, 55.81
Pocahontas, Jimmy Carter, Democrat, 51.88
Polk, Jimmy Carter, Democrat, 52.2
Pottawattamie, Gerald Ford, Republican, 53.09
Poweshiek, Jimmy Carter, Democrat, 49.91
Ringgold, Jimmy Carter, Democrat, 52.13
Sac, Gerald Ford, Republican, 51.55
Scott, Gerald Ford, Republican, 53.11
Shelby, Gerald Ford, Republican, 52.72
Sioux, Gerald Ford, Republican, 73.04
Story, Gerald Ford, Republican, 51.85
Tama, Jimmy Carter, Democrat, 50.29
Taylor, Gerald Ford, Republican, 50.42
Union, Jimmy Carter, Democrat, 49.68
Van Buren, Jimmy Carter, Democrat, 49.22
Wapello, Jimmy Carter, Democrat, 59.35
Warren, Jimmy Carter, Democrat, 54.25
Washington, Gerald Ford, Republican, 54.03
Wayne, Jimmy Carter, Democrat, 53.69
Webster, Jimmy Carter, Democrat, 52.73
Winnebago, Gerald Ford, Republican, 52.24
Winneshiek, Gerald Ford, Republican, 52.08
Woodbury, Gerald Ford, Republican, 52.79
Worth, Jimmy Carter, Democrat, 54.21
Wright, Jimmy Carter, Democrat, 49.95
