Adams, Gerald Ford, Republican, 59.47
Alexander, Jimmy Carter, Democrat, 57.37
Bond, Gerald Ford, Republican, 49.69
Boone, Gerald Ford, Republican, 58.38
Brown, Jimmy Carter, Democrat, 49.4
Bureau, Gerald Ford, Republican, 58.2
Calhoun, Jimmy Carter, Democrat, 52.63
Carroll, Gerald Ford, Republican, 59.34
Cass, Jimmy Carter, Democrat, 50.24
Champaign, Gerald Ford, Republican, 54.74
Christian, Jimmy Carter, Democrat, 54.87
Clark, Gerald Ford, Republican, 52.26
Clay, Gerald Ford, Republican, 49.94
Clinton, Gerald Ford, Republican, 53
Coles, Gerald Ford, Republican, 54.66
Cook, Jimmy Carter, Democrat, 53.44
Crawford, Gerald Ford, Republican, 51.99
Cumberland, Jimmy Carter, Democrat, 51.5
DeKalb, Gerald Ford, Republican, 59.21
DeWitt, Gerald Ford, Republican, 53.97
Douglas, Gerald Ford, Republican, 54.39
DuPage, Gerald Ford, Republican, 68.77
Edgar, Gerald Ford, Republican, 53.01
Edwards, Gerald Ford, Republican, 58.51
Effingham, Gerald Ford, Republican, 53.72
Fayette, Jimmy Carter, Democrat, 50
Ford, Gerald Ford, Republican, 63.56
Franklin, Jimmy Carter, Democrat, 63.07
Fulton, Gerald Ford, Republican, 50.23
Gallatin, Jimmy Carter, Democrat, 63.33
Greene, Jimmy Carter, Democrat, 51.83
Grundy, Gerald Ford, Republican, 57.43
Hamilton, Jimmy Carter, Democrat, 55.22
Hancock, Gerald Ford, Republican, 55.54
Hardin, Jimmy Carter, Democrat, 53.1
Henderson, Gerald Ford, Republican, 50.15
Henry, Gerald Ford, Republican, 56.03
Iroquois, Gerald Ford, Republican, 65.43
Jackson, Jimmy Carter, Democrat, 53.64
Jasper, Gerald Ford, Republican, 49.45
Jefferson, Jimmy Carter, Democrat, 54.41
Jersey, Jimmy Carter, Democrat, 51.49
Jo Daviess, Gerald Ford, Republican, 56.9
Johnson, Gerald Ford, Republican, 52.23
Kane, Gerald Ford, Republican, 62.15
Kankakee, Gerald Ford, Republican, 54.63
Kendall, Gerald Ford, Republican, 67.5
Knox, Gerald Ford, Republican, 54.39
Lake, Gerald Ford, Republican, 60.32
LaSalle, Gerald Ford, Republican, 51.39
Lawrence, Gerald Ford, Republican, 51.47
Lee, Gerald Ford, Republican, 57.54
Livingston, Gerald Ford, Republican, 64.56
Logan, Gerald Ford, Republican, 59.94
Macon, Jimmy Carter, Democrat, 52.69
Macoupin, Jimmy Carter, Democrat, 52.97
Madison, Jimmy Carter, Democrat, 55.35
Marion, Jimmy Carter, Democrat, 52.53
Marshall, Gerald Ford, Republican, 60.3
Mason, Jimmy Carter, Democrat, 50.29
Massac, Jimmy Carter, Democrat, 52.85
McDonough, Gerald Ford, Republican, 62.33
McHenry, Gerald Ford, Republican, 67.5
McLean, Gerald Ford, Republican, 62.1
Menard, Gerald Ford, Republican, 57.25
Mercer, Gerald Ford, Republican, 53.62
Monroe, Gerald Ford, Republican, 57.66
Montgomery, Jimmy Carter, Democrat, 52.51
Morgan, Gerald Ford, Republican, 53.88
Moultrie, Jimmy Carter, Democrat, 54.01
Ogle, Gerald Ford, Republican, 62.22
Peoria, Gerald Ford, Republican, 56.65
Perry, Jimmy Carter, Democrat, 52.44
Piatt, Gerald Ford, Republican, 55.39
Pike, Jimmy Carter, Democrat, 49.52
Pope, Gerald Ford, Republican, 52.18
Pulaski, Jimmy Carter, Democrat, 57.28
Putnam, Gerald Ford, Republican, 53.13
Randolph, Jimmy Carter, Democrat, 51.02
Richland, Gerald Ford, Republican, 55.03
Rock Island, Jimmy Carter, Democrat, 50.51
Saline, Jimmy Carter, Democrat, 55.38
Sangamon, Gerald Ford, Republican, 52.24
Schuyler, Gerald Ford, Republican, 56.44
Scott, Gerald Ford, Republican, 55.35
Shelby, Jimmy Carter, Democrat, 53.7
St. Clair, Jimmy Carter, Democrat, 58.55
Stark, Gerald Ford, Republican, 63.34
Stephenson, Gerald Ford, Republican, 61.02
Tazewell, Gerald Ford, Republican, 55.14
Union, Jimmy Carter, Democrat, 58.32
Vermilion, Gerald Ford, Republican, 51.24
Wabash, Gerald Ford, Republican, 54.41
Warren, Gerald Ford, Republican, 59.25
Washington, Gerald Ford, Republican, 57.18
Wayne, Gerald Ford, Republican, 54.39
White, Jimmy Carter, Democrat, 53.42
Whiteside, Gerald Ford, Republican, 55.34
Will, Gerald Ford, Republican, 53.85
Williamson, Jimmy Carter, Democrat, 55.39
Winnebago, Gerald Ford, Republican, 54.15
Woodford, Gerald Ford, Republican, 64
