Accomack, Jimmy Carter, Democrat, 50.41
Albemarle, Gerald Ford, Republican, 54.62
Alleghany, Jimmy Carter, Democrat, 57.73
Amelia, Jimmy Carter, Democrat, 49.6
Amherst, Gerald Ford, Republican, 50.87
Appomattox, Gerald Ford, Republican, 50.84
Arlington, Jimmy Carter, Democrat, 50.37
Augusta, Gerald Ford, Republican, 57.53
Bath, Jimmy Carter, Democrat, 53.26
Bedford, Jimmy Carter, Democrat, 51.55
Bland, Gerald Ford, Republican, 51.91
Botetourt, Jimmy Carter, Democrat, 53.1
Brunswick, Jimmy Carter, Democrat, 54.18
Buchanan, Jimmy Carter, Democrat, 53.98
Buckingham, Jimmy Carter, Democrat, 57.98
Campbell, Gerald Ford, Republican, 60.78
Caroline, Jimmy Carter, Democrat, 63.89
Carroll, Gerald Ford, Republican, 53.75
Charles City, Jimmy Carter, Democrat, 74.58
Charlotte, Jimmy Carter, Democrat, 52.62
Chesterfield, Gerald Ford, Republican, 65.54
Clarke, Gerald Ford, Republican, 51.54
Craig, Jimmy Carter, Democrat, 66.17
Culpeper, Gerald Ford, Republican, 54.64
Cumberland, Jimmy Carter, Democrat, 47.23
Dickenson, Jimmy Carter, Democrat, 55.83
Dinwiddie, Jimmy Carter, Democrat, 59.83
Essex, Gerald Ford, Republican, 50.55
Fairfax, Gerald Ford, Republican, 53.62
Fauquier, Gerald Ford, Republican, 51.75
Floyd, Gerald Ford, Republican, 52.76
Fluvanna, Jimmy Carter, Democrat, 51.08
Franklin, Jimmy Carter, Democrat, 63.13
Frederick, Gerald Ford, Republican, 59.52
Giles, Jimmy Carter, Democrat, 56.08
Gloucester, Jimmy Carter, Democrat, 49.28
Goochland, Jimmy Carter, Democrat, 50.71
Grayson, Jimmy Carter, Democrat, 50.33
Greene, Gerald Ford, Republican, 51.41
Greensville, Jimmy Carter, Democrat, 66.18
Halifax, Jimmy Carter, Democrat, 50.04
Hanover, Gerald Ford, Republican, 64.72
Henrico, Gerald Ford, Republican, 65.82
Henry, Jimmy Carter, Democrat, 60.41
Highland, Gerald Ford, Republican, 55.57
Isle of Wight, Jimmy Carter, Democrat, 59.14
James City, Gerald Ford, Republican, 49.36
King and Queen, Jimmy Carter, Democrat, 55.77
King George, Jimmy Carter, Democrat, 51.15
King William, Gerald Ford, Republican, 50.6
Lancaster, Gerald Ford, Republican, 58.44
Lee, Jimmy Carter, Democrat, 52.65
Loudoun, Gerald Ford, Republican, 51.79
Louisa, Jimmy Carter, Democrat, 55.64
Lunenburg, Gerald Ford, Republican, 49.73
Madison, Gerald Ford, Republican, 52.97
Mathews, Gerald Ford, Republican, 57.77
Mecklenburg, Gerald Ford, Republican, 50.44
Middlesex, Gerald Ford, Republican, 52.91
Montgomery, Gerald Ford, Republican, 50.64
Nelson, Jimmy Carter, Democrat, 60.24
New Kent, Jimmy Carter, Democrat, 50.61
Northampton, Jimmy Carter, Democrat, 51.93
Northumberland, Gerald Ford, Republican, 52.52
Nottoway, Jimmy Carter, Democrat, 48.99
Orange, Gerald Ford, Republican, 49.39
Page, Gerald Ford, Republican, 51.52
Patrick, Jimmy Carter, Democrat, 50.96
Pittsylvania, Gerald Ford, Republican, 51.21
Powhatan, Gerald Ford, Republican, 55.28
Prince Edward, Gerald Ford, Republican, 50.36
Prince George, Jimmy Carter, Democrat, 53.02
Prince William, Gerald Ford, Republican, 49
Pulaski, Jimmy Carter, Democrat, 52.2
Rappahannock, Jimmy Carter, Democrat, 54.06
Richmond, Gerald Ford, Republican, 60.8
Roanoke, Gerald Ford, Republican, 50.42
Rockbridge, Jimmy Carter, Democrat, 51.11
Rockingham, Gerald Ford, Republican, 61.87
Russell, Jimmy Carter, Democrat, 56.38
Scott, Jimmy Carter, Democrat, 47.36
Shenandoah, Gerald Ford, Republican, 64.05
Smyth, Jimmy Carter, Democrat, 49.3
Southampton, Jimmy Carter, Democrat, 57.72
Spotsylvania, Jimmy Carter, Democrat, 55.69
Stafford, Jimmy Carter, Democrat, 51.57
Surry, Jimmy Carter, Democrat, 64.56
Sussex, Jimmy Carter, Democrat, 60.99
Tazewell, Jimmy Carter, Democrat, 56.29
Warren, Jimmy Carter, Democrat, 49.42
Washington, Gerald Ford, Republican, 48.98
Westmoreland, Jimmy Carter, Democrat, 51.55
Wise, Jimmy Carter, Democrat, 53.43
Wythe, Gerald Ford, Republican, 51.34
York, Gerald Ford, Republican, 53.61
Alexandria City, Jimmy Carter, Democrat, 52.38
Bedford City, Jimmy Carter, Democrat, 48.91
Bristol City, Jimmy Carter, Democrat, 52.55
Buena Vista City, Jimmy Carter, Democrat, 53.59
Charlottesville City, Jimmy Carter, Democrat, 49.36
Chesapeake City, Jimmy Carter, Democrat, 54.89
Clifton Forge City, Jimmy Carter, Democrat, 52.46
Colonial Heights City, Gerald Ford, Republican, 61.88
Covington City, Jimmy Carter, Democrat, 57.5
Danville City, Gerald Ford, Republican, 59.46
Emporia City, Gerald Ford, Republican, 52.23
Fairfax City, Gerald Ford, Republican, 53.36
Falls Church City, Gerald Ford, Republican, 50.63
Franklin City, Gerald Ford, Republican, 49.21
Fredericksburg City, Jimmy Carter, Democrat, 49.51
Galax City, Jimmy Carter, Democrat, 51.39
Hampton City, Jimmy Carter, Democrat, 53.27
Harrisonburg City, Gerald Ford, Republican, 63.01
Hopewell City, Gerald Ford, Republican, 48.21
Lexington City, Gerald Ford, Republican, 50.47
Lynchburg City, Gerald Ford, Republican, 61.18
Manassas City, Gerald Ford, Republican, 53.3
Manassas Park City, Jimmy Carter, Democrat, 59.63
Martinsville City, Jimmy Carter, Democrat, 50.34
Newport News City, Jimmy Carter, Democrat, 51.83
Norfolk City, Jimmy Carter, Democrat, 55.82
Norton City, Jimmy Carter, Democrat, 56.71
Petersburg City, Jimmy Carter, Democrat, 60.02
Poquoson City, Gerald Ford, Republican, 55.34
Portsmouth City, Jimmy Carter, Democrat, 63.01
Radford City, Jimmy Carter, Democrat, 54.34
Richmond City, Jimmy Carter, Democrat, 53.77
Roanoke City, Jimmy Carter, Democrat, 57.57
Salem City, Jimmy Carter, Democrat, 50.68
South Boston City, Gerald Ford, Republican, 56.97
Staunton City, Gerald Ford, Republican, 59.53
Suffolk City, Jimmy Carter, Democrat, 59.24
Virginia Beach City, Gerald Ford, Republican, 54.46
Waynesboro City, Gerald Ford, Republican, 59.64
Williamsburg City, Gerald Ford, Republican, 51.77
Winchester City, Gerald Ford, Republican, 62.85
