Alamance, Kay Hagan, Democrat, 48.8
Alexander, Elizabeth Dole, Republican, 57.9
Alleghany, Elizabeth Dole, Republican, 48.9
Anson, Kay Hagan, Democrat, 66.4
Ashe, Elizabeth Dole, Republican, 51.2
Avery, Elizabeth Dole, Republican, 64
Beaufort, Elizabeth Dole, Republican, 50.9
Bertie, Kay Hagan, Democrat, 67.4
Bladen, Kay Hagan, Democrat, 58.8
Brunswick, Kay Hagan, Democrat, 49
Buncombe, Kay Hagan, Democrat, 57.8
Burke, Elizabeth Dole, Republican, 49.9
Cabarrus, Elizabeth Dole, Republican, 51.6
Caldwell, Elizabeth Dole, Republican, 53.9
Camden, Elizabeth Dole, Republican, 63.1
Carteret, Elizabeth Dole, Republican, 59.2
Caswell, Kay Hagan, Democrat, 56.5
Catawba, Elizabeth Dole, Republican, 55.6
Chatham, Kay Hagan, Democrat, 56
Cherokee, Elizabeth Dole, Republican, 64.4
Chowan, Kay Hagan, Democrat, 50.5
Clay, Elizabeth Dole, Republican, 63.2
Cleveland, Elizabeth Dole, Republican, 48.6
Columbus, Kay Hagan, Democrat, 58.6
Craven, Elizabeth Dole, Republican, 51.4
Cumberland, Kay Hagan, Democrat, 60.8
Currituck, Elizabeth Dole, Republican, 65.2
Dare, Elizabeth Dole, Republican, 55.3
Davidson, Elizabeth Dole, Republican, 57.1
Davie, Elizabeth Dole, Republican, 61.8
Duplin, Kay Hagan, Democrat, 52.9
Durham, Kay Hagan, Democrat, 74.2
Edgecombe, Kay Hagan, Democrat, 70.2
Forsyth, Kay Hagan, Democrat, 56.9
Franklin, Kay Hagan, Democrat, 53
Gaston, Elizabeth Dole, Republican, 54.7
Gates, Kay Hagan, Democrat, 53.3
Graham, Elizabeth Dole, Republican, 56.8
Granville, Kay Hagan, Democrat, 57
Greene, Kay Hagan, Democrat, 53.1
Guilford, Kay Hagan, Democrat, 61.9
Halifax, Kay Hagan, Democrat, 67.6
Harnett, Elizabeth Dole, Republican, 50.9
Haywood, Kay Hagan, Democrat, 51.2
Henderson, Elizabeth Dole, Republican, 55
Hertford, Kay Hagan, Democrat, 72.1
Hoke, Kay Hagan, Democrat, 61.6
Hyde, Kay Hagan, Democrat, 56.4
Iredell, Elizabeth Dole, Republican, 55.1
Jackson, Kay Hagan, Democrat, 55.7
Johnston, Elizabeth Dole, Republican, 55.2
Jones, Kay Hagan, Democrat, 49.9
Lee, Kay Hagan, Democrat, 49.3
Lenoir, Kay Hagan, Democrat, 53.1
Lincoln, Elizabeth Dole, Republican, 57.2
McDowell, Elizabeth Dole, Republican, 51.9
Macon, Elizabeth Dole, Republican, 51.9
Madison, Kay Hagan, Democrat, 52.3
Martin, Kay Hagan, Democrat, 59
Mecklenburg, Kay Hagan, Democrat, 61.6
Mitchell, Elizabeth Dole, Republican, 63.1
Montgomery, Kay Hagan, Democrat, 52.1
Moore, Elizabeth Dole, Republican, 53.3
Nash, Kay Hagan, Democrat, 53.1
New Hanover, Kay Hagan, Democrat, 53.5
Northampton, Kay Hagan, Democrat, 69.1
Onslow, Elizabeth Dole, Republican, 52.1
Orange, Kay Hagan, Democrat, 70.3
Pamlico, Elizabeth Dole, Republican, 51.4
Pasquotank, Kay Hagan, Democrat, 55.4
Pender, Kay Hagan, Democrat, 47.6
Perquimans, Elizabeth Dole, Republican, 54.4
Person, Kay Hagan, Democrat, 50.3
Pitt, Kay Hagan, Democrat, 55.6
Polk, Elizabeth Dole, Republican, 48.2
Randolph, Elizabeth Dole, Republican, 60.8
Richmond, Kay Hagan, Democrat, 58.9
Robeson, Kay Hagan, Democrat, 58.6
Rockingham, Kay Hagan, Democrat, 48.1
Rowan, Elizabeth Dole, Republican, 53.8
Rutherford, Elizabeth Dole, Republican, 51.6
Sampson, Kay Hagan, Democrat, 51
Scotland, Kay Hagan, Democrat, 60.9
Stanly, Elizabeth Dole, Republican, 57.8
Stokes, Elizabeth Dole, Republican, 57
Surry, Elizabeth Dole, Republican, 53.7
Swain, Kay Hagan, Democrat, 56.5
Transylvania, Elizabeth Dole, Republican, 48.9
Tyrrell, Kay Hagan, Democrat, 52.4
Union, Elizabeth Dole, Republican, 58
Vance, Kay Hagan, Democrat, 66.9
Wake, Kay Hagan, Democrat, 56.1
Warren, Kay Hagan, Democrat, 71.1
Washington, Kay Hagan, Democrat, 64
Watauga, Kay Hagan, Democrat, 51
Wayne, Elizabeth Dole, Republican, 49.3
Wilkes, Elizabeth Dole, Republican, 58.1
Wilson, Kay Hagan, Democrat, 56.6
Yadkin, Elizabeth Dole, Republican, 62.1
Yancey, Kay Hagan, Democrat, 52.1
