Anderson, Lamar Alexander, Republican, 71.4
Bedford, Lamar Alexander, Republican, 70.4
Benton, Lamar Alexander, Republican, 59.7
Bledsoe, Lamar Alexander, Republican, 68.9
Blount, Lamar Alexander, Republican, 79.2
Bradley, Lamar Alexander, Republican, 79.4
Campbell, Lamar Alexander, Republican, 72
Cannon, Lamar Alexander, Republican, 64.4
Carroll, Lamar Alexander, Republican, 67.8
Carter, Lamar Alexander, Republican, 79.7
Cheatham, Lamar Alexander, Republican, 69.4
Chester, Lamar Alexander, Republican, 74
Claiborne, Lamar Alexander, Republican, 73.4
Clay, Lamar Alexander, Republican, 63
Cocke, Lamar Alexander, Republican, 77.4
Coffee, Lamar Alexander, Republican, 65.8
Crockett, Lamar Alexander, Republican, 72.6
Cumberland, Lamar Alexander, Republican, 72.1
Davidson, Lamar Alexander, Republican, 49.2
Decatur, Lamar Alexander, Republican, 64.5
DeKalb, Lamar Alexander, Republican, 64.6
Dickson, Lamar Alexander, Republican, 62.2
Dyer, Lamar Alexander, Republican, 73.3
Fayette, Lamar Alexander, Republican, 70
Fentress, Lamar Alexander, Republican, 76.4
Franklin, Lamar Alexander, Republican, 64.9
Gibson, Lamar Alexander, Republican, 69.5
Giles, Lamar Alexander, Republican, 62
Grainger, Lamar Alexander, Republican, 75.5
Greene, Lamar Alexander, Republican, 77.4
Grundy, Lamar Alexander, Republican, 57.9
Hamblen, Lamar Alexander, Republican, 76.5
Hamilton, Lamar Alexander, Republican, 64.3
Hancock, Lamar Alexander, Republican, 77.3
Hardeman, Lamar Alexander, Republican, 51.8
Hardin, Lamar Alexander, Republican, 72.3
Hawkins, Lamar Alexander, Republican, 75.1
Haywood, Bob Tuke, Democrat, 52.9
Henderson, Lamar Alexander, Republican, 73.3
Henry, Lamar Alexander, Republican, 66.8
Hickman, Lamar Alexander, Republican, 60.2
Houston, Lamar Alexander, Republican, 52.9
Humphreys, Lamar Alexander, Republican, 55.5
Jackson, Lamar Alexander, Republican, 52.9
Jefferson, Lamar Alexander, Republican, 77
Johnson, Lamar Alexander, Republican, 76.1
Knox, Lamar Alexander, Republican, 71.2
Lake, Lamar Alexander, Republican, 56.5
Lauderdale, Lamar Alexander, Republican, 64.6
Lawrence, Lamar Alexander, Republican, 70.5
Lewis, Lamar Alexander, Republican, 63.7
Lincoln, Lamar Alexander, Republican, 69.9
Loudon, Lamar Alexander, Republican, 80.3
McMinn, Lamar Alexander, Republican, 75.4
McNairy, Lamar Alexander, Republican, 69.3
Macon, Lamar Alexander, Republican, 72.2
Madison, Lamar Alexander, Republican, 59.1
Marion, Lamar Alexander, Republican, 62.2
Marshall, Lamar Alexander, Republican, 64.6
Maury, Lamar Alexander, Republican, 61.9
Meigs, Lamar Alexander, Republican, 72.3
Monroe, Lamar Alexander, Republican, 75.2
Montgomery, Lamar Alexander, Republican, 62.7
Moore, Lamar Alexander, Republican, 70
Morgan, Lamar Alexander, Republican, 75.9
Obion, Lamar Alexander, Republican, 68.2
Overton, Lamar Alexander, Republican, 62.2
Perry, Lamar Alexander, Republican, 58
Pickett, Lamar Alexander, Republican, 73.6
Polk, Lamar Alexander, Republican, 67.8
Putnam, Lamar Alexander, Republican, 67.4
Rhea, Lamar Alexander, Republican, 76.7
Roane, Lamar Alexander, Republican, 74.5
Robertson, Lamar Alexander, Republican, 69.5
Rutherford, Lamar Alexander, Republican, 65.4
Scott, Lamar Alexander, Republican, 77.7
Sequatchie, Lamar Alexander, Republican, 71.7
Sevier, Lamar Alexander, Republican, 79.5
Shelby, Lamar Alexander, Republican, 50.9
Smith, Lamar Alexander, Republican, 64.2
Stewart, Lamar Alexander, Republican, 59.9
Sullivan, Lamar Alexander, Republican, 77.1
Sumner, Lamar Alexander, Republican, 71.8
Tipton, Lamar Alexander, Republican, 74.2
Trousdale, Lamar Alexander, Republican, 62.8
Unicoi, Lamar Alexander, Republican, 78.3
Union, Lamar Alexander, Republican, 75.8
Van Buren, Lamar Alexander, Republican, 62.3
Warren, Lamar Alexander, Republican, 64
Washington, Lamar Alexander, Republican, 75.9
Wayne, Lamar Alexander, Republican, 76.2
Weakley, Lamar Alexander, Republican, 66.7
White, Lamar Alexander, Republican, 66.2
Williamson, Lamar Alexander, Republican, 75.5
Wilson, Lamar Alexander, Republican, 70.8
