Adams, Kent Conrad, Democrat, 57.9
Barnes, Kent Conrad, Democrat, 61.1
Benson, Kent Conrad, Democrat, 66.8
Billings, Ben Clayburgh, Republican, 53.9
Bottineau, Kent Conrad, Democrat, 60
Bowman, Kent Conrad, Democrat, 55.5
Burke, Kent Conrad, Democrat, 62.2
Burleigh, Kent Conrad, Democrat, 50.3
Cass, Kent Conrad, Democrat, 56
Cavalier, Kent Conrad, Democrat, 63.3
Dickey, Kent Conrad, Democrat, 53.9
Divide, Kent Conrad, Democrat, 70.7
Dunn, Kent Conrad, Democrat, 54.6
Eddy, Kent Conrad, Democrat, 60.6
Emmons, Kent Conrad, Democrat, 50.6
Foster, Kent Conrad, Democrat, 59.9
Golden Valley, Kent Conrad, Democrat, 52
Grand Forks, Kent Conrad, Democrat, 59.2
Grant, Kent Conrad, Democrat, 50.4
Griggs, Kent Conrad, Democrat, 60.8
Hettinger, Kent Conrad, Democrat, 54.3
Kidder, Kent Conrad, Democrat, 51
LaMoure, Kent Conrad, Democrat, 56.7
Logan, Kent Conrad, Democrat, 52.7
McHenry, Kent Conrad, Democrat, 62.7
McIntosh, Ben Clayburgh, Republican, 53.9
McKenzie, Kent Conrad, Democrat, 56.4
McLean, Kent Conrad, Democrat, 55.3
Mercer, Kent Conrad, Democrat, 50.6
Morton, Kent Conrad, Democrat, 53.9
Mountrail, Kent Conrad, Democrat, 67.5
Nelson, Kent Conrad, Democrat, 67.9
Oliver, Kent Conrad, Democrat, 51.6
Pembina, Kent Conrad, Democrat, 56.7
Pierce, Kent Conrad, Democrat, 58.6
Ramsey, Kent Conrad, Democrat, 63.7
Ransom, Kent Conrad, Democrat, 67
Renville, Kent Conrad, Democrat, 68.4
Richland, Kent Conrad, Democrat, 60.4
Rolette, Kent Conrad, Democrat, 78.8
Sargent, Kent Conrad, Democrat, 64.4
Sheridan, Ben Clayburgh, Republican, 53.1
Sioux, Kent Conrad, Democrat, 69.5
Slope, Kent Conrad, Democrat, 55.5
Stark, Kent Conrad, Democrat, 58.4
Steele, Kent Conrad, Democrat, 68.8
Stutsman, Kent Conrad, Democrat, 58.2
Towner, Kent Conrad, Democrat, 66.3
Traill, Kent Conrad, Democrat, 63.2
Walsh, Kent Conrad, Democrat, 60.3
Ward, Kent Conrad, Democrat, 61.4
Wells, Kent Conrad, Democrat, 55.6
Williams, Kent Conrad, Democrat, 59.3
