Accomack, Oliver North, Republican, 51.7
Albemarle, Chuck Robb, Democrat, 49.5
Alleghany, Oliver North, Republican, 45.8
Amelia, Oliver North, Republican, 54.7
Amherst, Chuck Robb, Democrat, 44
Appomattox, Oliver North, Republican, 46.5
Arlington, Chuck Robb, Democrat, 66.2
Augusta, Oliver North, Republican, 65.7
Bath, Oliver North, Republican, 49.9
Bedford, Oliver North, Republican, 50.5
Bland, Oliver North, Republican, 59.2
Botetourt, Oliver North, Republican, 49.7
Brunswick, Chuck Robb, Democrat, 54.9
Buchanan, Chuck Robb, Democrat, 56.6
Buckingham, Chuck Robb, Democrat, 45.6
Campbell, Oliver North, Republican, 50.1
Caroline, Chuck Robb, Democrat, 50.5
Carroll, Oliver North, Republican, 57.8
Charles City, Chuck Robb, Democrat, 69.1
Charlotte, Oliver North, Republican, 49.5
Chesterfield, Oliver North, Republican, 58.2
Clarke, Oliver North, Republican, 50.2
Craig, Oliver North, Republican, 50.2
Culpeper, Oliver North, Republican, 54.4
Cumberland, Oliver North, Republican, 51.7
Dickenson, Chuck Robb, Democrat, 55
Dinwiddie, Oliver North, Republican, 47.2
Essex, Oliver North, Republican, 48.4
Fairfax, Chuck Robb, Democrat, 51.1
Fauquier, Oliver North, Republican, 52.1
Floyd, Oliver North, Republican, 49.3
Fluvanna, Oliver North, Republican, 47.7
Franklin, Oliver North, Republican, 43.3
Frederick, Oliver North, Republican, 58.4
Giles, Oliver North, Republican, 43.8
Gloucester, Oliver North, Republican, 48
Goochland, Oliver North, Republican, 51.8
Grayson, Oliver North, Republican, 53.5
Greene, Oliver North, Republican, 54.7
Greensville, Chuck Robb, Democrat, 56.6
Halifax, Oliver North, Republican, 51.1
Hanover, Oliver North, Republican, 61.4
Henrico, Oliver North, Republican, 49.7
Henry, Oliver North, Republican, 47.1
Highland, Oliver North, Republican, 53.6
Isle of Wight, Oliver North, Republican, 44.4
James City, Chuck Robb, Democrat, 46.7
King and Queen, Chuck Robb, Democrat, 49.2
King George, Oliver North, Republican, 46.1
King William, Oliver North, Republican, 51.5
Lancaster, Oliver North, Republican, 50.9
Lee, Oliver North, Republican, 47.8
Loudoun, Oliver North, Republican, 45.3
Louisa, Oliver North, Republican, 47.1
Lunenburg, Oliver North, Republican, 48.1
Madison, Oliver North, Republican, 52.5
Mathews, Oliver North, Republican, 47.8
Mecklenburg, Oliver North, Republican, 55.8
Middlesex, Oliver North, Republican, 49.4
Montgomery, Chuck Robb, Democrat, 46.2
Nelson, Chuck Robb, Democrat, 51.6
New Kent, Oliver North, Republican, 52.9
Northampton, Chuck Robb, Democrat, 50
Northumberland, Oliver North, Republican, 52.6
Nottoway, Oliver North, Republican, 46.1
Orange, Oliver North, Republican, 47.1
Page, Oliver North, Republican, 60.1
Patrick, Oliver North, Republican, 56.9
Pittsylvania, Oliver North, Republican, 57.5
Powhatan, Oliver North, Republican, 63.1
Prince Edward, Oliver North, Republican, 45.2
Prince George, Oliver North, Republican, 56.4
Prince William, Oliver North, Republican, 46.4
Pulaski, Oliver North, Republican, 46
Rappahannock, Oliver North, Republican, 48.7
Richmond, Oliver North, Republican, 54.3
Roanoke, Oliver North, Republican, 45.7
Rockbridge, Oliver North, Republican, 43.7
Rockingham, Oliver North, Republican, 67.2
Russell, Chuck Robb, Democrat, 50.5
Scott, Oliver North, Republican, 55.9
Shenandoah, Oliver North, Republican, 56.8
Smyth, Oliver North, Republican, 50.4
Southampton, Chuck Robb, Democrat, 48.7
Spotsylvania, Oliver North, Republican, 49.4
Stafford, Oliver North, Republican, 49.7
Surry, Chuck Robb, Democrat, 59.3
Sussex, Chuck Robb, Democrat, 56.8
Tazewell, Oliver North, Republican, 47.8
Warren, Oliver North, Republican, 52.5
Washington, Oliver North, Republican, 53.8
Westmoreland, Chuck Robb, Democrat, 44.9
Wise, Chuck Robb, Democrat, 47
Wythe, Oliver North, Republican, 50.5
York, Oliver North, Republican, 43.6
Alexandria City, Chuck Robb, Democrat, 67.2
Bedford City, Chuck Robb, Democrat, 46.5
Bristol City, Oliver North, Republican, 50.3
Buena Vista City, Chuck Robb, Democrat, 47.4
Charlottesville City, Chuck Robb, Democrat, 64.1
Chesapeake City, Chuck Robb, Democrat, 44.6
