Arkansas, Franklin D Roosevelt, Democrat, 85.19
Ashley, Franklin D Roosevelt, Democrat, 93.57
Baxter, Franklin D Roosevelt, Democrat, 66.93
Benton, Franklin D Roosevelt, Democrat, 58.77
Boone, Franklin D Roosevelt, Democrat, 69.2
Bradley, Franklin D Roosevelt, Democrat, 95.97
Calhoun, Franklin D Roosevelt, Democrat, 95.78
Carroll, Franklin D Roosevelt, Democrat, 63.55
Chicot, Franklin D Roosevelt, Democrat, 93.78
Clark, Franklin D Roosevelt, Democrat, 90.71
Clay, Franklin D Roosevelt, Democrat, 68.94
Cleburne, Franklin D Roosevelt, Democrat, 72.93
Cleveland, Franklin D Roosevelt, Democrat, 95.77
Columbia, Franklin D Roosevelt, Democrat, 96.65
Conway, Franklin D Roosevelt, Democrat, 86.77
Craighead, Franklin D Roosevelt, Democrat, 82.02
Crawford, Franklin D Roosevelt, Democrat, 73.47
Crittenden, Franklin D Roosevelt, Democrat, 98.83
Cross, Franklin D Roosevelt, Democrat, 91.49
Dallas, Franklin D Roosevelt, Democrat, 93.29
Desha, Franklin D Roosevelt, Democrat, 96.12
Drew, Franklin D Roosevelt, Democrat, 94.47
Faulkner, Franklin D Roosevelt, Democrat, 82.82
Franklin, Franklin D Roosevelt, Democrat, 84.11
Fulton, Franklin D Roosevelt, Democrat, 68.25
Garland, Franklin D Roosevelt, Democrat, 70.07
Grant, Franklin D Roosevelt, Democrat, 86.86
Greene, Franklin D Roosevelt, Democrat, 81.25
Hempstead, Franklin D Roosevelt, Democrat, 92.68
Hot Spring, Franklin D Roosevelt, Democrat, 77.77
Howard, Franklin D Roosevelt, Democrat, 83.69
Independence, Franklin D Roosevelt, Democrat, 75.25
Izard, Franklin D Roosevelt, Democrat, 76.44
Jackson, Franklin D Roosevelt, Democrat, 86.77
Jefferson, Franklin D Roosevelt, Democrat, 93.66
Johnson, Franklin D Roosevelt, Democrat, 80.81
Lafayette, Franklin D Roosevelt, Democrat, 92.55
Lawrence, Franklin D Roosevelt, Democrat, 82.5
Lee, Franklin D Roosevelt, Democrat, 94.87
Lincoln, Franklin D Roosevelt, Democrat, 95.9
Little River, Franklin D Roosevelt, Democrat, 84.14
Logan, Franklin D Roosevelt, Democrat, 77.41
Lonoke, Franklin D Roosevelt, Democrat, 89.76
Madison, Franklin D Roosevelt, Democrat, 53.02
Marion, Franklin D Roosevelt, Democrat, 68.68
Miller, Franklin D Roosevelt, Democrat, 89.01
Mississippi, Franklin D Roosevelt, Democrat, 93.94
Monroe, Franklin D Roosevelt, Democrat, 92.84
Montgomery, Franklin D Roosevelt, Democrat, 68.07
Nevada, Franklin D Roosevelt, Democrat, 85.69
Newton, Alf Landon, Republican, 52.89
Ouachita, Franklin D Roosevelt, Democrat, 91.47
Perry, Franklin D Roosevelt, Democrat, 78.31
Phillips, Franklin D Roosevelt, Democrat, 95.6
Pike, Franklin D Roosevelt, Democrat, 77.78
Poinsett, Franklin D Roosevelt, Democrat, 85.38
Polk, Franklin D Roosevelt, Democrat, 67.44
Pope, Franklin D Roosevelt, Democrat, 88.38
Prairie, Franklin D Roosevelt, Democrat, 82.25
Pulaski, Franklin D Roosevelt, Democrat, 89.49
Randolph, Franklin D Roosevelt, Democrat, 80.24
St. Francis, Franklin D Roosevelt, Democrat, 94.72
Saline, Franklin D Roosevelt, Democrat, 79.87
Scott, Franklin D Roosevelt, Democrat, 75.7
Searcy, Alf Landon, Republican, 56.81
Sebastian, Franklin D Roosevelt, Democrat, 79.35
Sevier, Franklin D Roosevelt, Democrat, 80
Sharp, Franklin D Roosevelt, Democrat, 75.63
Stone, Franklin D Roosevelt, Democrat, 67.49
Union, Franklin D Roosevelt, Democrat, 93.94
Van Buren, Franklin D Roosevelt, Democrat, 72.22
Washington, Franklin D Roosevelt, Democrat, 67.87
White, Franklin D Roosevelt, Democrat, 82.2
Woodruff, Franklin D Roosevelt, Democrat, 84.7
Yell, Franklin D Roosevelt, Democrat, 88.22
