Anderson, Franklin D Roosevelt, Democrat, 55.73
Bedford, Franklin D Roosevelt, Democrat, 82
Benton, Franklin D Roosevelt, Democrat, 72.54
Bledsoe, Franklin D Roosevelt, Democrat, 50.35
Blount, Alf Landon, Republican, 57.22
Bradley, Franklin D Roosevelt, Democrat, 52.19
Campbell, Alf Landon, Republican, 50.96
Cannon, Franklin D Roosevelt, Democrat, 69.82
Carroll, Franklin D Roosevelt, Democrat, 56.15
Carter, Alf Landon, Republican, 72.27
Cheatham, Franklin D Roosevelt, Democrat, 87.62
Chester, Franklin D Roosevelt, Democrat, 67.2
Claiborne, Franklin D Roosevelt, Democrat, 55.71
Clay, Franklin D Roosevelt, Democrat, 62.42
Cocke, Alf Landon, Republican, 75.31
Coffee, Franklin D Roosevelt, Democrat, 83.58
Crockett, Franklin D Roosevelt, Democrat, 78.41
Cumberland, Franklin D Roosevelt, Democrat, 50.05
Davidson, Franklin D Roosevelt, Democrat, 84.76
Decatur, Franklin D Roosevelt, Democrat, 62.04
DeKalb, Franklin D Roosevelt, Democrat, 57.73
Dickson, Franklin D Roosevelt, Democrat, 82.97
Dyer, Franklin D Roosevelt, Democrat, 83.9
Fayette, Franklin D Roosevelt, Democrat, 98.38
Fentress, Alf Landon, Republican, 61.53
Franklin, Franklin D Roosevelt, Democrat, 86.92
Gibson, Franklin D Roosevelt, Democrat, 82.79
Giles, Franklin D Roosevelt, Democrat, 85.88
Grainger, Alf Landon, Republican, 60.15
Greene, Franklin D Roosevelt, Democrat, 51.98
Grundy, Franklin D Roosevelt, Democrat, 86.01
Hamblen, Franklin D Roosevelt, Democrat, 51.88
Hamilton, Franklin D Roosevelt, Democrat, 70.24
Hancock, Alf Landon, Republican, 63.54
Hardeman, Franklin D Roosevelt, Democrat, 92.25
Hardin, Franklin D Roosevelt, Democrat, 53.13
Hawkins, Alf Landon, Republican, 59.04
Haywood, Franklin D Roosevelt, Democrat, 98.23
Henderson, Alf Landon, Republican, 50.13
Henry, Franklin D Roosevelt, Democrat, 86.69
Hickman, Franklin D Roosevelt, Democrat, 83.33
Houston, Franklin D Roosevelt, Democrat, 80.82
Humphreys, Franklin D Roosevelt, Democrat, 81
Jackson, Franklin D Roosevelt, Democrat, 79.98
Jefferson, Alf Landon, Republican, 68.33
Johnson, Alf Landon, Republican, 84.39
Knox, Franklin D Roosevelt, Democrat, 61.76
Lake, Franklin D Roosevelt, Democrat, 96.88
Lauderdale, Franklin D Roosevelt, Democrat, 94.27
Lawrence, Franklin D Roosevelt, Democrat, 58.46
Lewis, Franklin D Roosevelt, Democrat, 76.34
Lincoln, Franklin D Roosevelt, Democrat, 88.76
Loudon, Alf Landon, Republican, 51.99
Macon, Alf Landon, Republican, 61.22
Madison, Franklin D Roosevelt, Democrat, 82.93
Marion, Franklin D Roosevelt, Democrat, 60.08
Marshall, Franklin D Roosevelt, Democrat, 88.76
Maury, Franklin D Roosevelt, Democrat, 88.07
McMinn, Alf Landon, Republican, 51.11
McNairy, Franklin D Roosevelt, Democrat, 51.19
Meigs, Franklin D Roosevelt, Democrat, 56.9
Monroe, Franklin D Roosevelt, Democrat, 54.03
Montgomery, Franklin D Roosevelt, Democrat, 79.28
Moore, Franklin D Roosevelt, Democrat, 87.15
Morgan, Franklin D Roosevelt, Democrat, 51.13
Obion, Franklin D Roosevelt, Democrat, 89.94
Overton, Franklin D Roosevelt, Democrat, 62.91
Perry, Franklin D Roosevelt, Democrat, 80.65
Pickett, Alf Landon, Republican, 58.13
Polk, Franklin D Roosevelt, Democrat, 56.2
Putnam, Franklin D Roosevelt, Democrat, 68.35
Rhea, Franklin D Roosevelt, Democrat, 52.34
Roane, Alf Landon, Republican, 52.66
Robertson, Franklin D Roosevelt, Democrat, 86.03
Rutherford, Franklin D Roosevelt, Democrat, 87.07
Scott, Alf Landon, Republican, 70.67
Sequatchie, Franklin D Roosevelt, Democrat, 70.12
Sevier, Alf Landon, Republican, 77.73
Shelby, Franklin D Roosevelt, Democrat, 96.56
Smith, Franklin D Roosevelt, Democrat, 76.74
Stewart, Franklin D Roosevelt, Democrat, 84.71
Sullivan, Franklin D Roosevelt, Democrat, 64
Sumner, Franklin D Roosevelt, Democrat, 85.82
Tipton, Franklin D Roosevelt, Democrat, 97.58
Trousdale, Franklin D Roosevelt, Democrat, 91.18
Unicoi, Alf Landon, Republican, 67.13
Union, Alf Landon, Republican, 64.7
Van Buren, Franklin D Roosevelt, Democrat, 73.33
Warren, Franklin D Roosevelt, Democrat, 80.28
Washington, Alf Landon, Republican, 51.52
Wayne, Alf Landon, Republican, 63.89
Weakley, Franklin D Roosevelt, Democrat, 77.26
White, Franklin D Roosevelt, Democrat, 75.14
Williamson, Franklin D Roosevelt, Democrat, 90.52
Wilson, Franklin D Roosevelt, Democrat, 85.27
