Adams, Franklin D Roosevelt, Democrat, 63.23
Allen, Franklin D Roosevelt, Democrat, 59.19
Bartholomew, Franklin D Roosevelt, Democrat, 56.5
Benton, Franklin D Roosevelt, Democrat, 50.72
Blackford, Franklin D Roosevelt, Democrat, 59.02
Boone, Franklin D Roosevelt, Democrat, 53.8
Brown, Franklin D Roosevelt, Democrat, 55.73
Carroll, Franklin D Roosevelt, Democrat, 51.01
Cass, Franklin D Roosevelt, Democrat, 53.93
Clark, Franklin D Roosevelt, Democrat, 63.64
Clay, Franklin D Roosevelt, Democrat, 56.09
Clinton, Franklin D Roosevelt, Democrat, 53.02
Crawford, Franklin D Roosevelt, Democrat, 52.89
Daviess, Franklin D Roosevelt, Democrat, 50.84
Dearborn, Franklin D Roosevelt, Democrat, 56.56
Decatur, Alf Landon, Republican, 50.72
DeKalb, Franklin D Roosevelt, Democrat, 53.5
Delaware, Franklin D Roosevelt, Democrat, 56.81
Dubois, Franklin D Roosevelt, Democrat, 66.87
Elkhart, Alf Landon, Republican, 49.05
Fayette, Franklin D Roosevelt, Democrat, 52.7
Floyd, Franklin D Roosevelt, Democrat, 58.79
Fountain, Franklin D Roosevelt, Democrat, 54.45
Franklin, Franklin D Roosevelt, Democrat, 54.31
Fulton, Alf Landon, Republican, 50.43
Gibson, Franklin D Roosevelt, Democrat, 56.21
Grant, Franklin D Roosevelt, Democrat, 52
Greene, Franklin D Roosevelt, Democrat, 56.1
Hamilton, Alf Landon, Republican, 56.9
Hancock, Franklin D Roosevelt, Democrat, 58.57
Harrison, Franklin D Roosevelt, Democrat, 55.92
Hendricks, Alf Landon, Republican, 52.05
Henry, Franklin D Roosevelt, Democrat, 52.38
Howard, Franklin D Roosevelt, Democrat, 54.99
Huntington, Franklin D Roosevelt, Democrat, 53.26
Jackson, Franklin D Roosevelt, Democrat, 61.5
Jasper, Alf Landon, Republican, 52.67
Jay, Franklin D Roosevelt, Democrat, 54.61
Jefferson, Alf Landon, Republican, 52.12
Jennings, Alf Landon, Republican, 52.67
Johnson, Franklin D Roosevelt, Democrat, 56.24
Knox, Franklin D Roosevelt, Democrat, 61.02
Kosciusko, Alf Landon, Republican, 53.9
LaGrange, Alf Landon, Republican, 51.72
Lake, Franklin D Roosevelt, Democrat, 66.07
LaPorte, Franklin D Roosevelt, Democrat, 56.07
Lawrence, Alf Landon, Republican, 54.91
Madison, Franklin D Roosevelt, Democrat, 61.46
Marion, Franklin D Roosevelt, Democrat, 57.71
Marshall, Franklin D Roosevelt, Democrat, 51.28
Martin, Franklin D Roosevelt, Democrat, 52.7
Miami, Franklin D Roosevelt, Democrat, 54.05
Monroe, Franklin D Roosevelt, Democrat, 50.91
Montgomery, Franklin D Roosevelt, Democrat, 51.79
Morgan, Alf Landon, Republican, 51.14
Newton, Alf Landon, Republican, 54.31
Noble, Franklin D Roosevelt, Democrat, 50.18
Ohio, Franklin D Roosevelt, Democrat, 57.13
Orange, Alf Landon, Republican, 52.68
Owen, Franklin D Roosevelt, Democrat, 52.62
Parke, Franklin D Roosevelt, Democrat, 50.42
Perry, Franklin D Roosevelt, Democrat, 55.13
Pike, Franklin D Roosevelt, Democrat, 55.75
Porter, Alf Landon, Republican, 52.6
Posey, Franklin D Roosevelt, Democrat, 63.34
Pulaski, Franklin D Roosevelt, Democrat, 53.5
Putnam, Franklin D Roosevelt, Democrat, 55.12
Randolph, Alf Landon, Republican, 50.3
Ripley, Franklin D Roosevelt, Democrat, 51.84
Rush, Franklin D Roosevelt, Democrat, 52.17
St. Joseph, Franklin D Roosevelt, Democrat, 61.32
Scott, Franklin D Roosevelt, Democrat, 56.81
Shelby, Franklin D Roosevelt, Democrat, 58.11
Spencer, Franklin D Roosevelt, Democrat, 51.32
Starke, Franklin D Roosevelt, Democrat, 52.11
Steuben, Alf Landon, Republican, 52.99
Sullivan, Franklin D Roosevelt, Democrat, 67.33
Switzerland, Franklin D Roosevelt, Democrat, 56.06
Tippecanoe, Alf Landon, Republican, 50.08
Tipton, Franklin D Roosevelt, Democrat, 54.88
Union, Franklin D Roosevelt, Democrat, 50.17
Vanderburgh, Franklin D Roosevelt, Democrat, 72.68
Vermillion, Franklin D Roosevelt, Democrat, 61.78
Vigo, Franklin D Roosevelt, Democrat, 65.08
Wabash, Alf Landon, Republican, 53.02
Warren, Alf Landon, Republican, 55.1
Warrick, Franklin D Roosevelt, Democrat, 56.67
Washington, Franklin D Roosevelt, Democrat, 56.19
Wayne, Franklin D Roosevelt, Democrat, 51.93
Wells, Franklin D Roosevelt, Democrat, 62.81
White, Franklin D Roosevelt, Democrat, 52.57
Whitley, Franklin D Roosevelt, Democrat, 55.9
