Autauga, Franklin D Roosevelt, Democrat, 94.37
Baldwin, Franklin D Roosevelt, Democrat, 78.79
Barbour, Franklin D Roosevelt, Democrat, 97.51
Bibb, Franklin D Roosevelt, Democrat, 90.42
Blount, Franklin D Roosevelt, Democrat, 78.23
Bullock, Franklin D Roosevelt, Democrat, 99.5
Butler, Franklin D Roosevelt, Democrat, 96.32
Calhoun, Franklin D Roosevelt, Democrat, 87.12
Chambers, Franklin D Roosevelt, Democrat, 96.9
Cherokee, Franklin D Roosevelt, Democrat, 84.28
Chilton, Franklin D Roosevelt, Democrat, 63.26
Choctaw, Franklin D Roosevelt, Democrat, 95.32
Clarke, Franklin D Roosevelt, Democrat, 97.73
Clay, Franklin D Roosevelt, Democrat, 71.84
Cleburne, Franklin D Roosevelt, Democrat, 68.63
Coffee, Franklin D Roosevelt, Democrat, 96.16
Colbert, Franklin D Roosevelt, Democrat, 92.75
Conecuh, Franklin D Roosevelt, Democrat, 95.6
Coosa, Franklin D Roosevelt, Democrat, 83.24
Covington, Franklin D Roosevelt, Democrat, 95.93
Crenshaw, Franklin D Roosevelt, Democrat, 95.95
Cullman, Franklin D Roosevelt, Democrat, 68.75
Dale, Franklin D Roosevelt, Democrat, 92.5
Dallas, Franklin D Roosevelt, Democrat, 98.37
DeKalb, Franklin D Roosevelt, Democrat, 56.89
Elmore, Franklin D Roosevelt, Democrat, 92.47
Escambia, Franklin D Roosevelt, Democrat, 92.72
Etowah, Franklin D Roosevelt, Democrat, 82.24
Fayette, Franklin D Roosevelt, Democrat, 74.82
Franklin, Franklin D Roosevelt, Democrat, 61.62
Geneva, Franklin D Roosevelt, Democrat, 89.93
Greene, Franklin D Roosevelt, Democrat, 97.4
Hale, Franklin D Roosevelt, Democrat, 98.31
Henry, Franklin D Roosevelt, Democrat, 98.06
Houston, Franklin D Roosevelt, Democrat, 93.52
Jackson, Franklin D Roosevelt, Democrat, 78.71
Jefferson, Franklin D Roosevelt, Democrat, 89.52
Lamar, Franklin D Roosevelt, Democrat, 92.25
Lauderdale, Franklin D Roosevelt, Democrat, 91.97
Lawrence, Franklin D Roosevelt, Democrat, 83.1
Lee, Franklin D Roosevelt, Democrat, 95.62
Limestone, Franklin D Roosevelt, Democrat, 95.69
Lowndes, Franklin D Roosevelt, Democrat, 99.01
Macon, Franklin D Roosevelt, Democrat, 96.71
Madison, Franklin D Roosevelt, Democrat, 91.03
Marengo, Franklin D Roosevelt, Democrat, 98.54
Marion, Franklin D Roosevelt, Democrat, 73.96
Marshall, Franklin D Roosevelt, Democrat, 81.68
Mobile, Franklin D Roosevelt, Democrat, 90.78
Monroe, Franklin D Roosevelt, Democrat, 98.54
Montgomery, Franklin D Roosevelt, Democrat, 97.8
Morgan, Franklin D Roosevelt, Democrat, 92.39
Perry, Franklin D Roosevelt, Democrat, 98.45
Pickens, Franklin D Roosevelt, Democrat, 93.59
Pike, Franklin D Roosevelt, Democrat, 98.19
Randolph, Franklin D Roosevelt, Democrat, 77.39
Russell, Franklin D Roosevelt, Democrat, 96.68
Shelby, Franklin D Roosevelt, Democrat, 74.54
St. Clair, Franklin D Roosevelt, Democrat, 61.83
Sumter, Franklin D Roosevelt, Democrat, 98.28
Talladega, Franklin D Roosevelt, Democrat, 85.42
Tallapoosa, Franklin D Roosevelt, Democrat, 96.1
Tuscaloosa, Franklin D Roosevelt, Democrat, 94.31
Walker, Franklin D Roosevelt, Democrat, 76.12
Washington, Franklin D Roosevelt, Democrat, 95.28
Wilcox, Franklin D Roosevelt, Democrat, 99.13
Winston, Alf Landon, Republican, 52.72
