Accomack, Franklin D Roosevelt, Democrat, 70.08
Albemarle, Franklin D Roosevelt, Democrat, 73.98
Alleghany, Franklin D Roosevelt, Democrat, 60.18
Amelia, Franklin D Roosevelt, Democrat, 75.53
Amherst, Franklin D Roosevelt, Democrat, 87.75
Appomattox, Franklin D Roosevelt, Democrat, 86.64
Arlington, Franklin D Roosevelt, Democrat, 63.45
Augusta, Franklin D Roosevelt, Democrat, 62.83
Bath, Franklin D Roosevelt, Democrat, 54.34
Bedford, Franklin D Roosevelt, Democrat, 78.32
Bland, Franklin D Roosevelt, Democrat, 54.6
Botetourt, Franklin D Roosevelt, Democrat, 53.22
Brunswick, Franklin D Roosevelt, Democrat, 95.46
Buchanan, Franklin D Roosevelt, Democrat, 69.88
Buckingham, Franklin D Roosevelt, Democrat, 77.46
Campbell, Franklin D Roosevelt, Democrat, 84.09
Caroline, Franklin D Roosevelt, Democrat, 80.76
Carroll, Alf Landon, Republican, 60.45
Charles City, Franklin D Roosevelt, Democrat, 74.68
Charlotte, Franklin D Roosevelt, Democrat, 89.85
Chesterfield, Franklin D Roosevelt, Democrat, 79.48
Clarke, Franklin D Roosevelt, Democrat, 82.38
Craig, Franklin D Roosevelt, Democrat, 62.25
Culpeper, Franklin D Roosevelt, Democrat, 69.41
Cumberland, Franklin D Roosevelt, Democrat, 77.27
Dickenson, Franklin D Roosevelt, Democrat, 70.05
Dinwiddie, Franklin D Roosevelt, Democrat, 91.05
Elizabeth City, Franklin D Roosevelt, Democrat, 75.79
Essex, Franklin D Roosevelt, Democrat, 81.71
Fairfax, Franklin D Roosevelt, Democrat, 64.35
Fauquier, Franklin D Roosevelt, Democrat, 76.24
Floyd, Alf Landon, Republican, 68.9
Fluvanna, Franklin D Roosevelt, Democrat, 72.52
Franklin, Franklin D Roosevelt, Democrat, 69.83
Frederick, Franklin D Roosevelt, Democrat, 67.35
Giles, Franklin D Roosevelt, Democrat, 59.59
Gloucester, Franklin D Roosevelt, Democrat, 78.03
Goochland, Franklin D Roosevelt, Democrat, 73.33
Grayson, Alf Landon, Republican, 52.63
Greene, Franklin D Roosevelt, Democrat, 51.43
Greensville, Franklin D Roosevelt, Democrat, 100
Halifax, Franklin D Roosevelt, Democrat, 93.3
Hanover, Franklin D Roosevelt, Democrat, 80.47
Henrico, Franklin D Roosevelt, Democrat, 73.39
Henry, Franklin D Roosevelt, Democrat, 79.48
Highland, Alf Landon, Republican, 50.19
Isle of Wight, Franklin D Roosevelt, Democrat, 83
James City, Franklin D Roosevelt, Democrat, 81.18
King and Queen, Franklin D Roosevelt, Democrat, 74.85
King George, Franklin D Roosevelt, Democrat, 61.23
King William, Franklin D Roosevelt, Democrat, 76.48
Lancaster, Franklin D Roosevelt, Democrat, 67.95
Lee, Franklin D Roosevelt, Democrat, 66.46
Loudoun, Franklin D Roosevelt, Democrat, 72.33
Louisa, Franklin D Roosevelt, Democrat, 68.84
Lunenburg, Franklin D Roosevelt, Democrat, 94.23
Madison, Franklin D Roosevelt, Democrat, 54.81
Mathews, Franklin D Roosevelt, Democrat, 57.65
Mecklenburg, Franklin D Roosevelt, Democrat, 93.05
Middlesex, Franklin D Roosevelt, Democrat, 83.61
Montgomery, Alf Landon, Republican, 49.88
Nansemond, Franklin D Roosevelt, Democrat, 89.36
Nelson, Franklin D Roosevelt, Democrat, 76.35
New Kent, Franklin D Roosevelt, Democrat, 71.9
Norfolk, Franklin D Roosevelt, Democrat, 84.75
Northampton, Franklin D Roosevelt, Democrat, 77.69
Northumberland, Franklin D Roosevelt, Democrat, 70.39
Nottoway, Franklin D Roosevelt, Democrat, 82.72
Orange, Franklin D Roosevelt, Democrat, 75
Page, Franklin D Roosevelt, Democrat, 54.77
Patrick, Franklin D Roosevelt, Democrat, 68.45
Pittsylvania, Franklin D Roosevelt, Democrat, 86.82
Powhatan, Franklin D Roosevelt, Democrat, 73.49
Prince Edward, Franklin D Roosevelt, Democrat, 81.77
Prince George, Franklin D Roosevelt, Democrat, 84.48
Prince William, Franklin D Roosevelt, Democrat, 76.29
Princess Anne, Franklin D Roosevelt, Democrat, 81.29
Pulaski, Franklin D Roosevelt, Democrat, 66.37
Rappahannock, Franklin D Roosevelt, Democrat, 73.92
Richmond, Franklin D Roosevelt, Democrat, 67.51
Roanoke, Franklin D Roosevelt, Democrat, 61.57
Rockbridge, Franklin D Roosevelt, Democrat, 64.98
Rockingham, Franklin D Roosevelt, Democrat, 50.33
Russell, Franklin D Roosevelt, Democrat, 66.03
Scott, Franklin D Roosevelt, Democrat, 50.91
Shenandoah, Alf Landon, Republican, 52.29
Smyth, Franklin D Roosevelt, Democrat, 52.86
Southampton, Franklin D Roosevelt, Democrat, 91.62
Spotsylvania, Franklin D Roosevelt, Democrat, 64.61
Stafford, Franklin D Roosevelt, Democrat, 52.08
Surry, Franklin D Roosevelt, Democrat, 88.93
Sussex, Franklin D Roosevelt, Democrat, 87.48
Tazewell, Franklin D Roosevelt, Democrat, 59.9
Warren, Franklin D Roosevelt, Democrat, 73.19
Warwick, Franklin D Roosevelt, Democrat, 80.93
Washington, Franklin D Roosevelt, Democrat, 55.76
Westmoreland, Franklin D Roosevelt, Democrat, 74.64
Wise, Franklin D Roosevelt, Democrat, 72.28
Wythe, Alf Landon, Republican, 57.01
York, Franklin D Roosevelt, Democrat, 73.79
Alexandria City, Franklin D Roosevelt, Democrat, 72.71
Bristol City, Franklin D Roosevelt, Democrat, 81.09
Buena Vista City, Franklin D Roosevelt, Democrat, 67.22
Charlottesville City, Franklin D Roosevelt, Democrat, 79.97
Clifton Forge City, Franklin D Roosevelt, Democrat, 77.35
Danville City, Franklin D Roosevelt, Democrat, 84.94
Fredericksburg City, Franklin D Roosevelt, Democrat, 69.57
Hampton City, Franklin D Roosevelt, Democrat, 83.56
Harrisonburg City, Franklin D Roosevelt, Democrat, 60.51
Hopewell City, Franklin D Roosevelt, Democrat, 79.29
Lynchburg City, Franklin D Roosevelt, Democrat, 72.6
Martinsville City, Franklin D Roosevelt, Democrat, 78.56
Newport News City, Franklin D Roosevelt, Democrat, 81.04
Norfolk City, Franklin D Roosevelt, Democrat, 76.26
Petersburg City, Franklin D Roosevelt, Democrat, 82.69
Portsmouth City, Franklin D Roosevelt, Democrat, 86.3
Radford City, Franklin D Roosevelt, Democrat, 60.3
Richmond City, Franklin D Roosevelt, Democrat, 80.45
Roanoke City, Franklin D Roosevelt, Democrat, 67.47
South Norfolk City, Franklin D Roosevelt, Democrat, 82.14
Staunton City, Franklin D Roosevelt, Democrat, 65.41
Suffolk City, Franklin D Roosevelt, Democrat, 82.88
Williamsburg City, Franklin D Roosevelt, Democrat, 79.55
Winchester City, Franklin D Roosevelt, Democrat, 59.21
