Arkansas, Blanche Lincoln, Democrat, 53.9
Ashley, John Boozman, Republican, 56.5
Baxter, John Boozman, Republican, 68.3
Benton, John Boozman, Republican, 74.3
Boone, John Boozman, Republican, 67.3
Bradley, John Boozman, Republican, 54.4
Calhoun, John Boozman, Republican, 58.5
Carroll, John Boozman, Republican, 62.8
Chicot, Blanche Lincoln, Democrat, 63.3
Clark, Blanche Lincoln, Democrat, 49.7
Clay, John Boozman, Republican, 47.8
Cleburne, John Boozman, Republican, 67
Cleveland, John Boozman, Republican, 61.8
Columbia, John Boozman, Republican, 59.2
Conway, John Boozman, Republican, 50.4
Craighead, John Boozman, Republican, 56.1
Crawford, John Boozman, Republican, 75.3
Crittenden, Blanche Lincoln, Democrat, 54
Cross, John Boozman, Republican, 51.1
Dallas, John Boozman, Republican, 50.4
Desha, Blanche Lincoln, Democrat, 61.7
Drew, John Boozman, Republican, 53.2
Faulkner, John Boozman, Republican, 62.6
Franklin, John Boozman, Republican, 66.3
Fulton, John Boozman, Republican, 55.6
Garland, John Boozman, Republican, 61.6
Grant, John Boozman, Republican, 64.6
Greene, John Boozman, Republican, 59
Hempstead, John Boozman, Republican, 56.8
Hot Spring, John Boozman, Republican, 56.6
Howard, John Boozman, Republican, 56.5
Independence, John Boozman, Republican, 58.5
Izard, John Boozman, Republican, 53.3
Jackson, Blanche Lincoln, Democrat, 48
Jefferson, Blanche Lincoln, Democrat, 60.5
Johnson, John Boozman, Republican, 60.4
Lafayette, John Boozman, Republican, 56.6
Lawrence, Blanche Lincoln, Democrat, 47.5
Lee, Blanche Lincoln, Democrat, 65.6
Lincoln, Blanche Lincoln, Democrat, 45.5
Little River, John Boozman, Republican, 56.7
Logan, John Boozman, Republican, 64.1
Lonoke, John Boozman, Republican, 68.5
Madison, John Boozman, Republican, 66.1
Marion, John Boozman, Republican, 65.9
Miller, John Boozman, Republican, 66.8
Mississippi, Blanche Lincoln, Democrat, 52.9
Monroe, Blanche Lincoln, Democrat, 60.3
Montgomery, John Boozman, Republican, 60
Nevada, John Boozman, Republican, 51.2
Newton, John Boozman, Republican, 64.8
Ouachita, John Boozman, Republican, 50.3
Perry, John Boozman, Republican, 57.2
Phillips, Blanche Lincoln, Democrat, 66.4
Pike, John Boozman, Republican, 60
Poinsett, John Boozman, Republican, 50.2
Polk, John Boozman, Republican, 67.6
Pope, John Boozman, Republican, 60.5
Prairie, John Boozman, Republican, 49.4
Pulaski, Blanche Lincoln, Democrat, 51.4
Randolph, John Boozman, Republican, 51
St. Francis, Blanche Lincoln, Democrat, 58.7
Saline, John Boozman, Republican, 66.9
Scott, John Boozman, Republican, 69.4
Searcy, John Boozman, Republican, 63
Sebastian, John Boozman, Republican, 71.5
Sevier, John Boozman, Republican, 64.9
Sharp, John Boozman, Republican, 57
Stone, John Boozman, Republican, 54.6
Union, John Boozman, Republican, 60.2
Van Buren, John Boozman, Republican, 53.9
Washington, John Boozman, Republican, 62.2
White, John Boozman, Republican, 66.6
Woodruff, Blanche Lincoln, Democrat, 64.7
Yell, John Boozman, Republican, 52.9
