Anderson, Richard M Nixon, Republican, 52.56
Bedford, John F Kennedy, Democrat, 62.32
Benton, John F Kennedy, Democrat, 51.75
Bledsoe, Richard M Nixon, Republican, 58.69
Blount, Richard M Nixon, Republican, 68.2
Bradley, Richard M Nixon, Republican, 69.69
Campbell, Richard M Nixon, Republican, 61.21
Cannon, John F Kennedy, Democrat, 51.27
Carroll, Richard M Nixon, Republican, 59.36
Carter, Richard M Nixon, Republican, 77.31
Cheatham, John F Kennedy, Democrat, 72.23
Chester, Richard M Nixon, Republican, 59.05
Claiborne, Richard M Nixon, Republican, 64.2
Clay, Richard M Nixon, Republican, 52.14
Cocke, Richard M Nixon, Republican, 81.3
Coffee, John F Kennedy, Democrat, 59.26
Crockett, Richard M Nixon, Republican, 48.69
Cumberland, Richard M Nixon, Republican, 60.7
Davidson, John F Kennedy, Democrat, 52.98
Decatur, Richard M Nixon, Republican, 54.76
DeKalb, John F Kennedy, Democrat, 51.12
Dickson, John F Kennedy, Democrat, 66.68
Dyer, Richard M Nixon, Republican, 49.95
Fayette, Richard M Nixon, Republican, 48.95
Fentress, Richard M Nixon, Republican, 71.89
Franklin, John F Kennedy, Democrat, 70.61
Gibson, John F Kennedy, Democrat, 51.16
Giles, John F Kennedy, Democrat, 74.91
Grainger, Richard M Nixon, Republican, 75.86
Greene, Richard M Nixon, Republican, 66.55
Grundy, John F Kennedy, Democrat, 72.4
Hamblen, Richard M Nixon, Republican, 69.23
Hamilton, Richard M Nixon, Republican, 55.7
Hancock, Richard M Nixon, Republican, 82.56
Hardeman, John F Kennedy, Democrat, 47.48
Hardin, Richard M Nixon, Republican, 65.18
Hawkins, Richard M Nixon, Republican, 72.48
Haywood, John F Kennedy, Democrat, 56
Henderson, Richard M Nixon, Republican, 70.14
Henry, John F Kennedy, Democrat, 61.48
Hickman, John F Kennedy, Democrat, 65.12
Houston, John F Kennedy, Democrat, 75.02
Humphreys, John F Kennedy, Democrat, 68.83
Jackson, John F Kennedy, Democrat, 58.38
Jefferson, Richard M Nixon, Republican, 78.79
Johnson, Richard M Nixon, Republican, 86.74
Knox, Richard M Nixon, Republican, 61
Lake, John F Kennedy, Democrat, 62.58
Lauderdale, John F Kennedy, Democrat, 71.65
Lawrence, Richard M Nixon, Republican, 53.66
Lewis, John F Kennedy, Democrat, 74.52
Lincoln, John F Kennedy, Democrat, 76.71
Loudon, Richard M Nixon, Republican, 65.47
Macon, Richard M Nixon, Republican, 74.8
Madison, Richard M Nixon, Republican, 50.09
Marion, John F Kennedy, Democrat, 53.27
Marshall, John F Kennedy, Democrat, 67.29
Maury, John F Kennedy, Democrat, 60.81
McMinn, Richard M Nixon, Republican, 61.17
McNairy, Richard M Nixon, Republican, 59.15
Meigs, Richard M Nixon, Republican, 56.14
Monroe, Richard M Nixon, Republican, 59.05
Montgomery, John F Kennedy, Democrat, 74.34
Moore, John F Kennedy, Democrat, 72.7
Morgan, Richard M Nixon, Republican, 58.13
Obion, John F Kennedy, Democrat, 51.78
Overton, John F Kennedy, Democrat, 56.19
Perry, John F Kennedy, Democrat, 61.95
Pickett, Richard M Nixon, Republican, 67.05
Polk, Richard M Nixon, Republican, 58.3
Putnam, John F Kennedy, Democrat, 50.98
Rhea, Richard M Nixon, Republican, 59.78
Roane, Richard M Nixon, Republican, 56.25
Robertson, John F Kennedy, Democrat, 68.8
Rutherford, John F Kennedy, Democrat, 58
Scott, Richard M Nixon, Republican, 74.84
Sequatchie, John F Kennedy, Democrat, 56.19
Sevier, Richard M Nixon, Republican, 85.05
Shelby, Richard M Nixon, Republican, 49.37
Smith, John F Kennedy, Democrat, 59.38
Stewart, John F Kennedy, Democrat, 75.86
Sullivan, Richard M Nixon, Republican, 59.46
Sumner, John F Kennedy, Democrat, 65.17
Tipton, John F Kennedy, Democrat, 65.12
Trousdale, John F Kennedy, Democrat, 76.4
Unicoi, Richard M Nixon, Republican, 75.04
Union, Richard M Nixon, Republican, 75.63
Van Buren, John F Kennedy, Democrat, 57.99
Warren, John F Kennedy, Democrat, 53.4
Washington, Richard M Nixon, Republican, 69.93
Wayne, Richard M Nixon, Republican, 75.21
Weakley, John F Kennedy, Democrat, 55.35
White, John F Kennedy, Democrat, 55.2
Williamson, John F Kennedy, Democrat, 61.86
Wilson, John F Kennedy, Democrat, 58.54
