Adair, Richard M Nixon, Republican, 63.38
Andrew, Richard M Nixon, Republican, 63.13
Atchison, Richard M Nixon, Republican, 55.1
Audrain, John F Kennedy, Democrat, 56.4
Barry, Richard M Nixon, Republican, 63.12
Barton, Richard M Nixon, Republican, 60.51
Bates, Richard M Nixon, Republican, 58.16
Benton, Richard M Nixon, Republican, 69.96
Bollinger, Richard M Nixon, Republican, 59.86
Boone, John F Kennedy, Democrat, 52.41
Buchanan, Richard M Nixon, Republican, 52.57
Butler, Richard M Nixon, Republican, 61.81
Caldwell, Richard M Nixon, Republican, 64.21
Callaway, John F Kennedy, Democrat, 56.86
Camden, Richard M Nixon, Republican, 66.61
Cape Girardeau, Richard M Nixon, Republican, 58.1
Carroll, Richard M Nixon, Republican, 58.02
Carter, Richard M Nixon, Republican, 60.57
Cass, Richard M Nixon, Republican, 53.29
Cedar, Richard M Nixon, Republican, 70.68
Chariton, John F Kennedy, Democrat, 53.37
Christian, Richard M Nixon, Republican, 74.04
Clark, Richard M Nixon, Republican, 56.44
Clay, Richard M Nixon, Republican, 52.26
Clinton, Richard M Nixon, Republican, 51.71
Cole, Richard M Nixon, Republican, 53.36
Cooper, Richard M Nixon, Republican, 54.77
Crawford, Richard M Nixon, Republican, 63
Dade, Richard M Nixon, Republican, 71.05
Dallas, Richard M Nixon, Republican, 70.38
Daviess, Richard M Nixon, Republican, 58.97
DeKalb, Richard M Nixon, Republican, 59.41
Dent, Richard M Nixon, Republican, 55.33
Douglas, Richard M Nixon, Republican, 78.08
Dunklin, Richard M Nixon, Republican, 50.53
Franklin, Richard M Nixon, Republican, 52.93
Gasconade, Richard M Nixon, Republican, 74.62
Gentry, Richard M Nixon, Republican, 54.21
Greene, Richard M Nixon, Republican, 64.36
Grundy, Richard M Nixon, Republican, 64.68
Harrison, Richard M Nixon, Republican, 65.44
Henry, Richard M Nixon, Republican, 56.65
Hickory, Richard M Nixon, Republican, 75.4
Holt, Richard M Nixon, Republican, 63.69
Howard, John F Kennedy, Democrat, 61.41
Howell, Richard M Nixon, Republican, 72.18
Iron, Richard M Nixon, Republican, 53.41
Jackson, John F Kennedy, Democrat, 53.62
Jasper, Richard M Nixon, Republican, 59.3
Jefferson, John F Kennedy, Democrat, 56.91
Johnson, Richard M Nixon, Republican, 59.66
Knox, Richard M Nixon, Republican, 51.06
Laclede, Richard M Nixon, Republican, 64.78
Lafayette, Richard M Nixon, Republican, 59.05
Lawrence, Richard M Nixon, Republican, 65.22
Lewis, John F Kennedy, Democrat, 51.57
Lincoln, John F Kennedy, Democrat, 52.22
Linn, Richard M Nixon, Republican, 52.87
Livingston, Richard M Nixon, Republican, 57.07
Macon, Richard M Nixon, Republican, 53.93
Madison, Richard M Nixon, Republican, 61.23
Maries, John F Kennedy, Democrat, 50.47
Marion, John F Kennedy, Democrat, 51.24
McDonald, Richard M Nixon, Republican, 61.31
Mercer, Richard M Nixon, Republican, 67.26
Miller, Richard M Nixon, Republican, 63.43
Mississippi, John F Kennedy, Democrat, 59.45
Moniteau, Richard M Nixon, Republican, 60.32
Monroe, John F Kennedy, Democrat, 72.53
Montgomery, Richard M Nixon, Republican, 55.19
Morgan, Richard M Nixon, Republican, 62.07
New Madrid, John F Kennedy, Democrat, 63.68
Newton, Richard M Nixon, Republican, 61.34
Nodaway, Richard M Nixon, Republican, 52.98
Oregon, Richard M Nixon, Republican, 50.51
Osage, John F Kennedy, Democrat, 51.99
Ozark, Richard M Nixon, Republican, 78.26
Pemiscot, John F Kennedy, Democrat, 62.09
Perry, Richard M Nixon, Republican, 56.51
Pettis, Richard M Nixon, Republican, 56.44
Phelps, Richard M Nixon, Republican, 55.31
Pike, John F Kennedy, Democrat, 51.23
Platte, John F Kennedy, Democrat, 55.12
Polk, Richard M Nixon, Republican, 66.52
Pulaski, Richard M Nixon, Republican, 51.48
Putnam, Richard M Nixon, Republican, 71.89
Ralls, John F Kennedy, Democrat, 62.69
Randolph, John F Kennedy, Democrat, 60.62
Ray, John F Kennedy, Democrat, 56.31
Reynolds, Richard M Nixon, Republican, 52.18
Ripley, Richard M Nixon, Republican, 62.08
Saint Charles, John F Kennedy, Democrat, 52.2
Saint Clair, Richard M Nixon, Republican, 63.15
Saint Francois, Richard M Nixon, Republican, 58.44
Saint Louis County, John F Kennedy, Democrat, 51.31
Saint Louis City, John F Kennedy, Democrat, 66.63
Sainte Genevieve, John F Kennedy, Democrat, 62.14
Saline, Richard M Nixon, Republican, 50.48
Schuyler, Richard M Nixon, Republican, 55.04
Scotland, Richard M Nixon, Republican, 50.2
Scott, John F Kennedy, Democrat, 52.23
Shannon, Richard M Nixon, Republican, 50.76
Shelby, John F Kennedy, Democrat, 58.19
Stoddard, Richard M Nixon, Republican, 54.49
Stone, Richard M Nixon, Republican, 78.24
Sullivan, Richard M Nixon, Republican, 56.12
Taney, Richard M Nixon, Republican, 71.95
Texas, Richard M Nixon, Republican, 59.32
Vernon, Richard M Nixon, Republican, 56.27
Warren, Richard M Nixon, Republican, 67.68
Washington, Richard M Nixon, Republican, 56.47
Wayne, Richard M Nixon, Republican, 58.78
Webster, Richard M Nixon, Republican, 62.97
Worth, Richard M Nixon, Republican, 50.6
Wright, Richard M Nixon, Republican, 72.66
